Objective Value, Total Weight
88576.08779498772,390470.0
72585.03521817044,361482.0
80095.97624430025,371167.0
93096.08525910386,402093.0
61358.116184949235,348178.0
86677.54728007171,386771.0
47299.78352116101,331514.0
75592.96650881978,367127.0
64146.488882487174,349352.0
78050.12055162358,370159.0
83177.69649904914,378144.0
95110.65109609324,404794.0
85007.78960860695,382030.0
96744.55084369326,413359.0
90988.33687174792,393675.0
54346.22812117607,337720.0
56118.080477545445,341204.0
69368.35811539355,357230.0
74023.22566639766,362835.0
67597.83875236404,354332.0
Objective Value, Total Weight
79702.56284308911,373938.0
53989.10010208195,338067.0
97122.19716626476,411036.0
56216.89059101039,340071.0
76688.71315277892,368071.0
88718.56939419976,390364.0
77151.20599512971,368724.0
88298.96150598803,387972.0
85652.30950350774,384768.0
94207.80534052465,403993.0
98876.6498065546,415534.0
73490.04524926346,363724.0
64895.06526523235,351950.0
91361.22326145688,396055.0
71154.7879529451,360543.0
81951.6846187053,376626.0
95398.6071423341,406524.0
67049.96572211257,354709.0
82891.82564148086,380022.0
60845.48554993735,348513.0
Objective Value, Total Weight
90351.39210684277,398197.0
76632.74443665944,369947.0
96029.88916530681,418414.0
92837.67913232459,402750.0
65693.63441289164,352844.0
78098.92329142045,372949.0
95154.76910104585,411547.0
83350.83497607464,382364.0
87909.98355627671,391913.0
58993.60223376431,343260.0
89118.49801625969,394899.0
85700.85312107077,386439.0
73640.65968698636,365139.0
54218.23016012402,338066.0
66931.52042847761,355412.0
80158.78480509389,376324.0
71027.39485932299,361071.0
68696.79889205698,358420.0
62811.67361978203,347051.0
82390.11596864794,380119.0
Objective Value, Total Weight
86286.64834466681,386642.0
72263.42372407619,361907.0
73249.31312686077,363604.0
57136.17968896986,340973.0
75655.0466451188,367408.0
96144.57240545301,411987.0
97322.96954282612,415189.0
94111.61129764811,406204.0
80063.15612712625,375554.0
98539.09398247709,422830.0
81986.9147187837,378440.0
70458.1019285788,359984.0
63490.46933293587,351435.0
93482.98791401804,401078.0
88557.755593304,390434.0
77141.21355684788,370359.0
91972.72422352695,395950.0
67016.22355412622,355702.0
84679.9177926387,383873.0
60086.92527260294,344710.0
Objective Value, Total Weight
90759.63745204418,394173.0
88970.10533491161,391885.0
69242.08188507392,356351.0
73050.95536907652,361497.0
84034.77032769157,381050.0
81274.74441339727,376600.0
57248.87208440178,343907.0
59241.58516745799,346393.0
70409.5197349544,357589.0
93220.29399111518,401295.0
96205.29956533632,406457.0
77305.39740257949,369079.0
86695.15114488831,385893.0
79489.06302487833,372806.0
74268.83378750907,363417.0
62903.736958481546,348868.0
67087.07682679,354327.0
85962.80873674998,383596.0
53033.80646501499,340398.0
48663.69541093527,334424.0
Objective Value, Total Weight
84715.05164633103,383760.0
69237.5187117299,358533.0
93958.74242975644,402123.0
58333.5079288822,346182.0
96449.03906439478,413402.0
75734.91937827336,368575.0
73234.99773782573,364408.0
86309.66978875216,385885.0
89927.09474676498,390986.0
70233.20960757014,360921.0
79162.86530172266,373580.0
67827.11628793558,355786.0
92269.66428803862,397967.0
93337.51630928722,400466.0
82664.95694994851,379420.0
52267.09344929026,338109.0
64004.3717451315,353196.0
78680.30373269,371901.0
62042.47190811782,350572.0
56936.66672728653,344037.0
Objective Value, Total Weight
98535.25022755563,428579.0
58689.637772024435,346079.0
66970.5748427303,355217.0
61788.4518308714,349206.0
79205.80209436064,372302.0
89274.74968093808,393102.0
97508.52124815283,422534.0
71360.17455251573,362172.0
83531.91568401927,382017.0
91332.11731838394,397055.0
88090.54849165701,389669.0
85336.91075443343,384064.0
94653.24985496869,409029.0
74092.80270261818,364812.0
54267.09294860199,339212.0
76365.76948852197,369395.0
64842.96091937937,351487.0
81207.35622202727,377331.0
69916.08423626021,359422.0
92607.81965289247,401678.0
Objective Value, Total Weight
95417.09564518672,415021.0
56863.362365521956,342790.0
52661.1019375975,337110.0
65713.57253526128,352464.0
73299.57190470438,366076.0
75264.45368794684,368298.0
85247.03058898111,387054.0
91101.43571151112,398301.0
81097.88017859333,378136.0
78786.24674032076,373029.0
66993.33851892088,355267.0
85141.54872199259,383194.0
94832.11497646401,410980.0
89068.59436126542,394924.0
61542.78879999975,347569.0
46892.51318501355,330588.0
70354.83324446745,361672.0
68887.46815461077,358353.0
55224.07458756177,340198.0
39189.4002170646,323272.0
Objective Value, Total Weight
91095.57021015615,394302.0
75595.36922128522,364927.0
83385.34117362433,379642.0
87490.46497192606,386871.0
85479.35514872929,382272.0
93168.12372011994,399337.0
80153.6499964355,372751.0
64335.25318658806,349722.0
77830.94134886237,371115.0
99143.4853799754,418885.0
102181.37258670753,429653.0
65911.43681356852,352413.0
75198.25865681918,363119.0
96052.98377821234,409306.0
59811.803568869655,342897.0
82465.4294053826,376302.0
68802.18026776909,354447.0
88987.62969601969,390644.0
97919.62832178659,413424.0
94900.78980625863,404582.0
Objective Value, Total Weight
99294.1678027102,430643.0
95853.43429939868,413623.0
65391.64436210098,353126.0
71973.49631990894,363657.0
70174.69992134417,360583.0
92623.17996950517,401557.0
77874.96593740699,372495.0
81132.44860812265,377904.0
84663.65514091752,383207.0
94005.66381079634,406676.0
55158.7728342741,340087.0
85675.12385575648,386175.0
74163.25736587361,366000.0
60415.45662758028,345957.0
67218.51603237988,356425.0
90201.37431983004,395502.0
78625.64579716383,373548.0
97124.81218480051,416280.0
88409.48732822342,391969.0
61277.12315004098,348820.0
