Objective Value, Total Weight
60252.679294570524,375948.0
55474.433244000014,367053.0
71507.83012407518,396194.0
58359.38253810664,371849.0
76855.05187573849,413028.0
36245.19951728871,342166.0
52241.64007436129,360544.0
46719.12572740769,354057.0
49900.68865940266,357632.0
68551.79430394724,389271.0
53688.97781204578,364075.0
63905.83456568426,380855.0
64396.79833463661,381705.0
74152.97032592905,404168.0
38198.28516193107,346477.0
31921.39013354649,336450.0
43368.218293336744,350202.0
74787.50334046822,405533.0
69648.25595416396,391726.0
59733.43058431044,374452.0
Objective Value, Total Weight
80995.7674601588,427265.0
70613.85770813876,392511.0
48080.52450506762,356522.0
67081.98836648546,385109.0
77019.16861731658,410111.0
52056.780343086575,361672.0
75875.05927943531,406349.0
80033.93721976725,424666.0
61099.174928849854,374383.0
43830.9704386667,346577.0
69696.74027134676,390623.0
78455.45761925733,412787.0
54298.66845849814,363082.0
36890.374952654005,341701.0
71807.05997828225,395536.0
47077.33607478463,353392.0
64530.1578815736,380562.0
74297.65024816687,401814.0
57532.706386290316,367956.0
57958.44851136301,369987.0
Objective Value, Total Weight
78423.59080991539,423835.0
17494.810965174285,325607.0
39074.19376175082,341184.0
71705.10497022554,396157.0
50814.062052481866,358489.0
41316.65609255014,347789.0
34241.498712929024,338811.0
60163.67010637233,370721.0
45830.20902447833,351659.0
62029.85556506715,376050.0
68300.22451477725,388490.0
70001.37621596543,392600.0
27458.873635905737,333397.0
75374.56668227265,405983.0
77285.7275646127,411242.0
64638.593123951345,381739.0
53302.38753945741,361060.0
56285.032222685695,365620.0
49301.56909146678,354275.0
21112.13814607309,327249.0
Objective Value, Total Weight
63156.35522804898,375223.0
80860.28853677306,415673.0
37044.41776424891,340072.0
50938.164848453365,357564.0
46368.07131556788,352915.0
75888.47917050251,398029.0
60068.53124474938,371545.0
75108.61894526874,396318.0
73834.3228615832,392700.0
69129.3406377107,387800.0
85064.98997127538,430185.0
52552.718308229465,360352.0
79872.55269460991,405831.0
39789.72398318426,345075.0
30977.941143110802,333809.0
64109.5730507173,377454.0
23417.814718169102,322228.0
56613.31860860024,365613.0
66929.22041043412,382246.0
44399.74653250829,351420.0
Objective Value, Total Weight
63289.844891132845,379566.0
66770.99607237423,383797.0
58197.61428120651,369180.0
75451.01697891153,404337.0
79408.67646351509,412949.0
81274.93669368513,421073.0
44344.448711789155,348702.0
84725.34950604389,428827.0
33893.37626046437,336868.0
77882.11701794685,406629.0
54143.75782401464,359966.0
56716.30646767886,367021.0
50677.42724630074,354500.0
68369.16341098887,385177.0
36608.771841395355,338800.0
41382.96711287706,345449.0
22622.23536399973,329025.0
61718.096500989166,374086.0
46061.43441274448,350654.0
71728.87135230261,393313.0
Objective Value, Total Weight
81215.2607542391,437532.0
56480.10792660032,364813.0
52460.945216977445,358658.0
40342.851598378795,346176.0
79307.81318870309,413013.0
79849.67283486872,419389.0
60143.28803972207,372144.0
30033.962923084677,332501.0
69253.43910834508,386620.0
39028.835964080296,342125.0
71483.1176450337,393088.0
66525.55156759091,382183.0
72936.77877185133,394688.0
57007.74228600279,366140.0
61743.19324760989,374526.0
46332.556707584765,353489.0
75154.78243753692,404845.0
49289.98235520767,355808.0
43074.23872382962,348448.0
23152.05325548636,331596.0
Objective Value, Total Weight
55890.825940103154,366242.0
76293.35391762003,417405.0
68321.42736504652,388201.0
60900.54603410541,375678.0
36603.54149174824,340281.0
56664.80508498143,367412.0
72317.93285430106,399352.0
64438.13798646344,376488.0
58980.64928133786,372738.0
75745.40877474018,407836.0
67326.90962776454,387950.0
37721.64085347537,345705.0
71564.12021804915,397998.0
42051.21126271115,348116.0
79078.48104062921,425461.0
29989.304205376015,336858.0
48003.19718370243,356418.0
52230.89120321837,361053.0
45686.775181336096,353103.0
25530.8840534403,332378.0
Objective Value, Total Weight
24532.859765862406,327573.0
63733.46528394596,378709.0
70831.24158469972,394785.0
9900.794457621523,314176.0
36868.600844636676,340285.0
42327.34980641038,344980.0
68050.42837685707,390749.0
76407.16369760822,413596.0
40890.86847743741,343707.0
65648.62623061525,384272.0
78625.26818090572,420997.0
60059.683410765254,372504.0
58926.85531407822,370103.0
54715.01915432769,363865.0
47646.110953976866,351682.0
75520.58847117901,405865.0
53385.740859292506,362089.0
32359.55019111908,333808.0
27822.493912741716,329319.0
13336.895698833163,320457.0
Objective Value, Total Weight
61991.440213330265,373115.0
66732.9527704991,381596.0
59579.1141829167,370797.0
56972.98981568479,366911.0
76847.9806143893,404874.0
63883.73423244327,377661.0
73015.95646785235,396965.0
69784.82706099836,387058.0
82212.97765826894,421591.0
72552.20350911224,393114.0
50425.95663143782,354999.0
84786.7231637116,438616.0
77672.13104394684,406492.0
51599.99011221924,355928.0
39024.84875761473,342432.0
46442.03348432982,351773.0
55170.736525277374,363745.0
24963.880382605654,327402.0
42953.58244745352,343239.0
80356.88628842862,416589.0
Objective Value, Total Weight
67649.97382057528,388875.0
54917.80466541974,365312.0
49150.78045401967,357519.0
41213.34732254845,345833.0
51797.792694274336,361790.0
65993.17096175608,382439.0
48362.71716110379,354733.0
76750.13411483483,408164.0
35368.13437192084,339106.0
70116.32165609521,393141.0
44148.152960421925,349602.0
31673.893267235835,335073.0
57160.106239285495,369316.0
78648.71944755182,415878.0
26658.522134789207,330527.0
67451.98910428741,385396.0
72150.18541282415,397134.0
61600.79967455054,377472.0
59358.270763702574,372415.0
75539.14472685556,400002.0
