Objective Value, Total Weight
76459.1184866855,442456.0
-86405.37117650057,212863.0
55560.750458432245,382038.0
41083.27733954089,354391.0
-38728.33936380042,268566.0
24464.066701101663,340401.0
-50364.28916193143,257156.0
-25643.12906013307,276349.0
14626.634565814456,322396.0
30078.885940178938,346161.0
60830.45335809415,399454.0
-21822.078700804443,286849.0
72364.97367568826,422064.0
-65694.58880303387,242840.0
-79767.2564897298,221681.0
-58249.316205813666,253413.0
-75455.8792148222,231691.0
69441.16556217842,414232.0
-15893.468694269308,296910.0
62466.57937463507,407309.0
Objective Value, Total Weight
72886.57073920284,440876.0
-81290.79079014173,218499.0
-33299.83519541402,270437.0
-70946.01878757193,228818.0
17017.3362152162,330175.0
-57079.25833428529,243977.0
29102.36551397288,352211.0
62192.66972950735,398675.0
10210.279451216338,321446.0
-50460.889172923984,251895.0
45252.93303532264,364729.0
67996.63580424554,418695.0
36477.46010526735,352390.0
-832.0502702374943,311397.0
56927.386501171335,389963.0
-10362.116682742839,295815.0
-30416.813958372397,284525.0
69537.61226959084,425261.0
-18044.280513765232,294880.0
-23499.04825651791,285674.0
Objective Value, Total Weight
76081.6730199242,438497.0
-69666.28852159192,225543.0
72110.32464378269,413082.0
-63499.4148052996,235515.0
34732.99825081683,354315.0
-54201.82597841864,248108.0
67420.69495441887,404848.0
-7838.8624640378985,293290.0
23480.202092281368,337215.0
58942.754827737575,391446.0
-2907.8988720644847,302609.0
17177.20821185934,320841.0
30027.612645686895,344439.0
-21239.29155752476,291384.0
44372.91191336245,368453.0
-46116.34005056019,253903.0
49559.322669959394,375079.0
57719.31895692693,383556.0
-29795.276342699362,270687.0
1071.8961141951731,315961.0
Objective Value, Total Weight
75056.86053826369,431474.0
-99196.61564390629,198009.0
56197.241603142524,382010.0
711.6490102653042,314126.0
16661.216962306644,331516.0
-62943.77318860323,252702.0
45204.00838589622,359995.0
-12502.146754092362,288215.0
-87373.26560840121,216037.0
-72757.88910381898,229613.0
-3417.304338707938,305107.0
70669.18051299558,417204.0
-47032.830930802564,255467.0
68503.1254172998,401444.0
-69866.52443933801,236317.0
62244.31637728575,391694.0
-28207.963714397338,276518.0
35949.17028677423,342803.0
-35612.04507367837,267466.0
39590.39840390312,355121.0
Objective Value, Total Weight
71414.95887954312,434310.0
-92933.2420650631,203888.0
51942.561343461624,377004.0
64273.772115387896,414344.0
2791.3191442591487,307399.0
15378.553155958303,330406.0
45725.65321617946,365294.0
-86279.64893063193,215314.0
-75795.93401918851,222058.0
26177.369245448615,340935.0
37037.47792025539,352996.0
-64736.89151355595,236550.0
-26012.896040152933,276678.0
-34105.109731928795,268406.0
-54474.18436958984,245151.0
-69549.78481297399,231692.0
65227.45649636065,425681.0
-16846.755410643993,285502.0
-43300.387916472566,256025.0
33780.34141694516,347346.0
Objective Value, Total Weight
74810.20473892463,428780.0
-78270.80196591001,221127.0
6126.546832554741,320738.0
-45763.17200265755,257577.0
-33714.21282882546,270218.0
67680.4344358609,417962.0
48257.18779186712,378978.0
-8868.173966037168,303084.0
38432.17436893599,361374.0
28244.312146414362,346795.0
-53126.00017801399,245837.0
-64531.02040117339,231376.0
-13114.22699670808,288455.0
54698.73038303404,383963.0
61412.83063097368,401769.0
-60831.94503744069,241876.0
21911.5519906641,332485.0
-76669.24624867307,227918.0
-24185.75066179951,278905.0
14358.065624602721,325393.0
Objective Value, Total Weight
73376.78714402963,438198.0
-71280.1933885116,221217.0
-35460.10479092569,264608.0
-17316.109348816623,281687.0
-214.9543808469316,303408.0
-14686.841280957218,288999.0
-57693.57105368754,240309.0
64149.128896251495,420755.0
-65485.88186904008,230523.0
17062.032837965467,322638.0
-46802.05046700197,247260.0
49332.321252060705,384085.0
23664.659697728872,338437.0
-42120.63751460158,255364.0
69368.1097938838,434264.0
61157.18919934059,406630.0
55798.33288121503,395752.0
2263.0790115670534,311195.0
25957.292149146146,346540.0
43740.46822598309,375972.0
Objective Value, Total Weight
72534.09673339111,437577.0
-73105.49062614806,220089.0
-42354.570298404025,255291.0
-63042.253726642986,235677.0
-11362.515140825708,296221.0
-25487.116339990112,278130.0
46966.200254346884,375082.0
17038.332484395185,325622.0
9503.345523398253,313198.0
29082.388267250324,337949.0
30842.83920125151,352626.0
-37069.470257149136,265563.0
70069.05223952967,417644.0
-63325.96437696775,231345.0
18921.96533722384,336759.0
41306.1723544781,365669.0
-33840.2633892186,276077.0
39604.73460865044,355851.0
54361.337259183,385249.0
59953.68630370061,408828.0
Objective Value, Total Weight
71630.7828176574,429385.0
-71416.09492121905,219669.0
-55415.03601365659,233581.0
-44930.9017231731,248053.0
66144.33769353386,412969.0
58579.89467122953,398579.0
-24770.408611144114,272808.0
-8061.613202527224,300821.0
-36991.23005664279,257119.0
-19328.2110256218,287244.0
-32906.2504668333,266500.0
44044.62552721979,372346.0
16673.75930422044,326033.0
22254.89891449985,336593.0
9187.707985418208,322633.0
-821.3377562897513,310674.0
37816.29417323822,354745.0
50291.1424298698,386994.0
4041.4784940167447,312000.0
51408.728210404515,388348.0
Objective Value, Total Weight
77999.90419197024,427890.0
-67104.48678852053,226997.0
-48634.128997673455,246935.0
15556.883676775033,319355.0
-37878.288630901196,263612.0
434.1270665965276,310705.0
-61125.831188653945,237217.0
34609.97107530222,349395.0
22800.34339518781,330107.0
45838.26600087038,364066.0
72008.55669436231,415373.0
27746.96209379693,345486.0
-17423.32292692951,283310.0
-30021.2762540697,270741.0
48556.435595241084,369919.0
-23771.0208807225,274527.0
54073.71299710061,383042.0
-11437.1045467722,290911.0
65388.40430698526,408243.0
60386.56728515588,405336.0
