Objective Value, Total Weight
-140425.35875697958,308858.0
-159843.15983328858,283272.0
-337801.6335049893,89047.0
-178946.9648680482,258463.0
-250961.2521412511,175496.0
-216258.96429252025,214259.0
-315513.78695500665,111846.0
-262574.9170556564,163371.0
-408622.815434144,23135.0
-75498.15231702593,392164.0
-348231.67982618447,76565.0
-304607.99982721056,122713.0
-234233.1544234017,192943.0
-95828.9482964992,364900.0
-285004.6935194986,145291.0
-122045.48718949547,330948.0
-46802.48693772021,433161.0
-197000.45814671408,234403.0
-384685.22646152944,46374.0
-429231.63655004255,4402.0
Objective Value, Total Weight
-200504.6477633994,248811.0
-247657.29540150345,189772.0
-132241.10980944504,318554.0
-398448.9951785938,31492.0
-110994.36683726346,345304.0
-266107.4466625885,167696.0
-279699.9747437956,152966.0
-138460.5996173189,312254.0
-76048.42232651671,395387.0
-311966.5312191183,114813.0
-55801.243106663576,421370.0
-242062.33756997815,195820.0
-361433.33409421425,70611.0
-331227.2182733447,102147.0
-294591.536235814,134737.0
-379092.44421851245,51652.0
-224358.15075055312,215689.0
-214499.31918330636,231389.0
-345691.03439997206,86273.0
-416854.9585111386,14814.0
Objective Value, Total Weight
-409421.1535838599,22976.0
-207074.88498599693,235772.0
-78573.18529360835,388645.0
-389823.1503643373,41519.0
-252352.2992672043,184295.0
-184521.8171958782,266653.0
-331254.8922442761,94317.0
-174216.80038470228,278969.0
-78573.18529360835,388645.0
-220758.77797923033,220856.0
-65354.89814942202,401854.0
-264708.4244954218,170241.0
-278326.25401891203,155053.0
-355370.64744682587,73936.0
-370440.6923771793,56632.0
-193694.4514269402,253435.0
-233190.17404116306,204175.0
-298637.2761322425,130010.0
-316013.99682232854,111213.0
-290851.17215390527,139667.0
Objective Value, Total Weight
-143387.20556167734,303336.0
-130615.60752387444,318270.0
-185613.8819913473,252329.0
-270878.71426718973,164316.0
-80349.85204275895,385961.0
-200826.9316126653,233661.0
-171440.8667528408,268970.0
-238599.77104337473,201637.0
-301918.1982535859,130056.0
-215811.61936345085,216654.0
-110421.35298101627,343205.0
-59462.38260398607,414857.0
-397199.7097038247,36364.0
-365084.2202227573,66376.0
-160656.23227288696,282012.0
-283418.5694805589,150101.0
-43425.238393599866,441921.0
-323663.8547577899,106693.0
-252467.60713900434,183944.0
-347971.0911941983,83611.0
Objective Value, Total Weight
-178609.60558727116,263683.0
-291829.6971493419,138649.0
-236694.78195273463,199072.0
-273308.5157982901,157639.0
-165761.7836524616,276869.0
-71053.51030225249,397258.0
-145603.44207644678,300690.0
-31923.337438415387,456381.0
-253345.87265623524,179843.0
-360841.1015227567,71240.0
-50108.24839888525,430288.0
-381562.60584914766,47260.0
-116129.76532539015,337911.0
-106061.87556773843,348770.0
-132419.2667606742,314494.0
-215404.11001817428,226691.0
-335413.1852812008,91182.0
-317006.3960657352,110837.0
-408464.96192451444,24188.0
-201324.1733934207,246843.0
Objective Value, Total Weight
-255590.34425454412,179903.0
-272345.04898898024,162165.0
-90090.05086579651,378093.0
-220735.95136039058,216443.0
-127458.26235013385,328712.0
-146069.30771626916,302872.0
-190142.23868156463,250506.0
-163158.94466821785,283636.0
-67654.38427643955,399620.0
-316425.7334625535,114929.0
-173099.77661468228,270203.0
-358675.5668572496,71633.0
-328801.3888335503,99926.0
-111525.56624930061,346565.0
-395301.13500275736,37620.0
-206159.6442293721,233997.0
-372609.0434504852,57671.0
-294662.24082027056,137375.0
-242762.98571031116,192590.0
-49039.62803555408,429793.0
Objective Value, Total Weight
-295653.813662601,136838.0
-152919.36771971075,298034.0
-94155.11769531236,373308.0
-358024.2684041136,73503.0
-286000.1926332035,147407.0
-314380.77878716425,119721.0
-222415.1642393045,219690.0
-170529.80594612524,273946.0
-399459.420184364,33380.0
-113807.97087691003,344720.0
-53861.41099207243,428428.0
-75932.99622528616,394283.0
-255872.0926051056,182291.0
-369072.3245314518,63530.0
-240923.1776920918,199646.0
-188496.9788416213,251125.0
-336734.2250870413,96754.0
-205548.8608064719,237234.0
-268816.8229301994,167245.0
-129475.18800702831,324025.0
Objective Value, Total Weight
-298877.58101608534,132012.0
-321134.4409741736,107095.0
-343105.79689741664,87066.0
-62155.75020929519,404880.0
-368124.8842912301,61319.0
-131110.81414385064,320481.0
-193412.51115923224,244828.0
-388522.4216459027,43209.0
-281176.4375326471,150732.0
-312575.03886690695,116073.0
-169298.95947851276,274171.0
-50347.92737987044,429387.0
-217244.3198516764,217621.0
-251607.79563282704,181950.0
-154974.96022028534,290253.0
-81623.98009135411,386005.0
-267527.47093756625,165834.0
-108125.6544507842,350237.0
-232390.5600607376,204258.0
-409788.6925163972,22918.0
Objective Value, Total Weight
-100502.63945562718,359030.0
-59576.95259441156,409863.0
-125404.60991367453,325653.0
-156042.19393930025,294257.0
-369685.1424468855,61556.0
-255764.30519727117,179454.0
-187713.57072692353,263480.0
-306555.9217405316,121534.0
-337975.85335053306,92018.0
-270865.3145189547,161698.0
-385788.0751301983,44716.0
-199774.48841831606,239351.0
-215785.93960226083,221751.0
-352298.27049189777,80637.0
-83943.99332117941,379962.0
-291885.73389412765,137035.0
-242722.04919995955,192304.0
-145865.22929122724,305636.0
-324140.95960465615,105716.0
-405749.9040310351,25559.0
Objective Value, Total Weight
-352273.11552816443,76197.0
-212735.37692134082,225603.0
-247172.7362787769,185576.0
-278719.7116045831,149865.0
-318319.6174277061,107861.0
-68157.114080898,399801.0
-395371.08690430335,34937.0
-102130.23917985032,355949.0
-135902.35824080888,313758.0
-383847.58097300155,46465.0
-127684.38764126366,323552.0
-366078.3524748648,62836.0
-112609.75989675731,343141.0
-288455.5036559361,139436.0
-232947.51845843496,203312.0
-261544.56638234464,167962.0
-304187.85061841033,122495.0
-337731.39404177055,90997.0
-197760.28990284185,243125.0
-416718.137926961,15791.0
