Objective Value, Total Weight
51383.76214275567,517795.0
26087.946174808894,475888.0
65926.4691218976,545426.0
31516.696570589556,482293.0
7909.229105801322,456684.0
50475.52796039777,513714.0
-101.0631332474295,446406.0
13269.414907794679,461322.0
-8431.355584334582,436596.0
-18605.026406151126,424299.0
19763.190163868712,468480.0
61548.70314530807,537368.0
56953.74226594693,526805.0
41686.588818607735,500068.0
75885.93606276682,567503.0
35917.03959064232,490202.0
-12003.824083712534,432194.0
-29424.265686547616,410759.0
69642.55724333366,553681.0
44887.211584414705,506992.0
Objective Value, Total Weight
35526.06077579758,494922.0
62236.24571530742,537565.0
20898.05290660262,474758.0
76489.89936946915,568032.0
16328.250932767754,468041.0
-24644.68809640291,418754.0
-10719.247049736674,433536.0
84339.50493086211,585592.0
67161.4197953702,545406.0
42758.53101999767,504992.0
-39788.193210399244,405264.0
46815.36981963925,511353.0
26177.650635406608,482003.0
6976.556001752499,453857.0
-17350.751969502075,426045.0
12024.81904794299,459739.0
55966.59735877963,526595.0
74062.7675731451,560987.0
-734.2472831698833,443881.0
32218.504603567417,489724.0
Objective Value, Total Weight
26588.184529609513,482180.0
77136.70367660664,572687.0
36232.88239658601,494276.0
66897.15796205052,546054.0
72730.08462426276,557251.0
42668.17768878769,502475.0
32341.733682627208,489555.0
48239.19592336798,510004.0
12920.895582470112,463235.0
18515.811518830596,470632.0
-1087.3207658289466,445841.0
6624.3926954458,454922.0
78984.71891536168,575630.0
63202.86849052459,537211.0
53787.45662318694,521076.0
22186.709372991463,476370.0
56801.20595490141,526740.0
-20296.783415841986,423311.0
-27595.148979772697,413978.0
-8323.509830108378,436389.0
Objective Value, Total Weight
55203.9517776717,526126.0
76904.37206377077,567937.0
81557.78376782557,576928.0
-11139.999270502944,433487.0
60811.445369475055,535343.0
20635.244344151346,472677.0
69120.72533424164,549508.0
2712.298255609814,450280.0
74002.52648398245,558849.0
-1293.881800216157,443934.0
64775.74375839427,542507.0
51875.2049782885,521373.0
33553.78202135884,493048.0
13586.964941328159,464260.0
38158.25860806985,499048.0
47471.73263676383,514114.0
-19253.957744610496,423453.0
42599.081233441946,505636.0
8164.143120038323,457764.0
28058.652813535882,483814.0
Objective Value, Total Weight
11005.923065053998,462112.0
39.54301855282392,448188.0
62030.44093551824,539915.0
-5028.272845838219,442175.0
17033.728956718813,468568.0
76158.33619937557,569302.0
25382.273405548418,478328.0
-13298.406056329724,435389.0
82696.05546145898,582170.0
68615.34567077749,552189.0
32499.1422667366,491602.0
71425.53033693798,558049.0
20956.959987078677,474015.0
42281.87645257346,506749.0
35571.039943133364,495775.0
58288.62095120875,534072.0
52910.80438002059,524399.0
49492.34814231354,517772.0
5027.0008186250925,454706.0
-21004.51130176685,425767.0
Objective Value, Total Weight
17738.34827944031,468524.0
34188.628101906856,489068.0
72120.77133782941,564292.0
45232.75814643013,508692.0
64704.47048785968,542604.0
41714.01032182912,503167.0
5477.43432465673,453294.0
9898.265196361113,458219.0
52239.850790589,522100.0
67396.02883834194,548667.0
76584.41812748497,573215.0
-39520.284584358335,396337.0
24052.86093655252,477320.0
32030.90950511163,486551.0
59341.47803748748,531999.0
-8873.88963072421,435650.0
-14952.16635881504,428349.0
-2239.1909685340943,443515.0
-30658.555361919454,405632.0
-21731.950431121862,417404.0
Objective Value, Total Weight
2423.5025024457136,447752.0
15020.724780600984,462933.0
68932.46438316873,554489.0
73741.0869976288,560192.0
9130.268163226661,457418.0
47068.622886996134,512416.0
85650.45284462231,596313.0
24180.15307719237,479031.0
-5885.716481090873,439818.0
-19689.94777469535,421817.0
-12145.456767634489,430575.0
40882.98044496053,503351.0
31890.729744951008,489180.0
59625.97670745943,532922.0
49985.067546442966,517238.0
19513.591146624298,471092.0
56146.95563023654,527613.0
64266.217743264395,542352.0
81676.58715930535,580957.0
34710.47607132676,493734.0
Objective Value, Total Weight
16651.22275418893,468618.0
4336.313981986372,451517.0
54264.90473814134,526057.0
59767.60633138858,535622.0
70021.39969154529,557402.0
10049.20282448642,459189.0
77767.03803842166,587869.0
32644.621569179348,490219.0
55727.534311127965,527663.0
40901.66332776856,502798.0
36309.83640241227,495942.0
66095.7172154662,546906.0
48259.7460894332,515808.0
16139.133410085575,467631.0
-10344.237069248105,434148.0
73761.89383735799,568367.0
-5952.767131221946,440330.0
45514.92790543579,511465.0
28552.393079604954,485374.0
24157.0637396822,478849.0
Objective Value, Total Weight
-25871.93596018525,419006.0
-8069.409744534874,437341.0
77084.16869751073,569462.0
19786.240872141905,472026.0
30010.10795719782,485613.0
82987.57060676557,594755.0
58257.11554903968,530574.0
68111.89464769,549926.0
40656.11391363619,502175.0
-1957.3386391928652,443532.0
-30411.066617935314,412264.0
55292.80009463092,523210.0
11096.179783006548,459582.0
-17499.348772351048,427610.0
3482.2245081465226,452592.0
75372.05672522844,563666.0
34257.6770343401,492800.0
24939.51908987353,478363.0
46759.79333797342,512285.0
61625.908209951245,537410.0
Objective Value, Total Weight
-17909.062710611848,426132.0
-7938.1403676166665,435847.0
-29667.213402557652,410854.0
30478.28500726295,485021.0
61573.17879560846,537382.0
42815.98696356034,505042.0
-1936.9539386458928,442448.0
25049.614823257318,478792.0
64776.16761443543,545833.0
2230.70697276562,447223.0
17781.03368025669,468285.0
84171.00754670845,596932.0
59533.84553377156,532441.0
39264.1806665567,499052.0
71245.58439983637,556800.0
75712.34529221838,566378.0
34892.02454167139,492865.0
9140.699197403505,456221.0
47898.53932420898,513116.0
52072.50735258963,518945.0
