Objective Value, Total Weight
6887.377393864561,479439.0
-9913.823424806935,448434.0
-20877.671776208328,433606.0
-24008.661495796405,431825.0
5003.260466290056,475987.0
-2082.5265393867157,463293.0
-14668.281596346176,441759.0
-16199.834315858083,439865.0
696.6140196115011,469340.0
-5082.853759229882,456694.0
-8844.507791881682,449558.0
2538.1288685159525,472237.0
7908.022153008613,480563.0
-13490.484693043516,443715.0
-18171.115221147775,438090.0
-20234.667353707948,435427.0
-11761.388354605762,445507.0
-7446.391157088452,451942.0
-3996.663576187566,458912.0
-28860.516965606133,428689.0
Objective Value, Total Weight
-2197.637643659604,458553.0
-4283.181982518756,455497.0
3430.877489468432,466780.0
-9097.362972870353,448045.0
-585.6959082753165,460507.0
4361.088284049765,467886.0
-1238.146429634071,459717.0
293.88930811651517,461482.0
-7413.91758336185,449497.0
-3219.590217009303,456621.0
-5691.202141166199,453871.0
-2552.140941746533,457734.0
-4804.99592288374,454846.0
-10844.386519473628,445599.0
-11995.21957537497,444297.0
-3642.3561068447307,456071.0
-6991.803686849307,450318.0
2380.0525633093202,464998.0
1599.795590110356,463465.0
-10169.18052428367,446359.0
Objective Value, Total Weight
3518.7179926030803,476953.0
-1062.3817661675857,471116.0
5260.747663914226,482727.0
1329.9134495572653,474323.0
8823.636340926285,489323.0
3782.033251525718,477197.0
6647.678211675258,485175.0
118.56699606240727,472260.0
-8368.012435056735,460113.0
7978.469909014762,486475.0
13074.11701569974,498044.0
-5954.243598323781,463964.0
-9775.534415493603,458893.0
-4911.696160353138,465088.0
11897.168047607993,495653.0
10854.142593655619,494041.0
-2400.547602862818,468801.0
-6925.132605550229,462786.0
-3436.0350785336923,467127.0
-12127.99201317539,457314.0
Objective Value, Total Weight
-1806.5847683568718,460743.0
7026.156386484043,477218.0
-2439.963627817342,459449.0
-3798.3019512427272,458149.0
-9012.171013365733,451010.0
376.83162236679345,465669.0
4017.7276866469765,471765.0
7697.141664685798,478092.0
-347.3692072239937,463469.0
-5908.790886106086,455091.0
-19459.751805614098,438661.0
4988.685360749834,474117.0
3214.0169589287834,470245.0
1439.1215722325724,467677.0
-10321.22415236209,449388.0
-8177.482314900029,452117.0
-16310.726346682175,441673.0
-13418.336663661059,445421.0
-11639.688426829991,447668.0
-15192.706043335376,443016.0
Objective Value, Total Weight
-15271.413637154154,441585.0
-20617.26262801094,434900.0
-5660.7114985499065,453013.0
-3817.1614792332985,455692.0
-4934.1302162124775,454222.0
-21220.497305945493,434311.0
-10274.403711652965,448085.0
-2513.461229022825,458063.0
-25905.965413205908,431021.0
-8564.49689506134,450205.0
-1470.1005209159339,461100.0
-22951.36674416787,432644.0
-13862.99141691241,444109.0
-6951.546218007337,451835.0
-18423.81499655079,437508.0
-12293.817460597493,445531.0
-19259.115511036944,436350.0
-15799.165859279805,440550.0
-16831.952052152017,438976.0
-28625.447252174257,429260.0
Objective Value, Total Weight
17479.83362799324,500056.0
3767.123115026159,472001.0
-1329.796121807536,465835.0
14931.320556655293,496304.0
21241.15407725214,505428.0
12369.326430807123,491814.0
6200.456635516719,479470.0
10230.95753234066,486114.0
2788.0750872659264,470937.0
