Objective Value, Total Weight
-434642.23000000004,0.0
83953.39668652113,675231.0
-434642.23000000004,0.0
-133910.00273826404,323529.0
-41053.28418983228,462524.0
-194664.26717687078,276620.0
-82546.18988789187,384879.0
-10284.130460519693,498269.0
-393911.0460264779,42742.0
14300.447234756546,574981.0
-93357.85051988473,373096.0
-219838.98107324523,231365.0
14210.753722688067,537084.0
-272120.890200356,177659.0
-304380.62290537194,141571.0
44977.886287253,661833.0
-342969.4066970393,100162.0
-272120.890200356,177659.0
38210.60305968183,635614.0
-342969.4066970393,100162.0
Objective Value, Total Weight
-434642.23000000004,0.0
99167.14894469024,709987.0
-434642.23000000004,0.0
-245899.8692354298,217496.0
-23488.79406405764,508445.0
-71372.2351087277,395816.0
47396.03553915385,627309.0
87688.58697863272,660199.0
-352702.39165645646,87286.0
-244457.54901090096,218808.0
-352702.39165645646,87286.0
-139384.84399444377,322779.0
6839.490215261816,585882.0
-176491.22968850093,275584.0
-131286.03382541728,332213.0
-413211.0189324848,22548.0
-183094.70827579184,268885.0
-92838.53685504384,366642.0
-2051.015132016968,557586.0
-375518.8331109568,63511.0
Objective Value, Total Weight
-434642.23000000004,0.0
92199.85781477031,687585.0
-434642.23000000004,0.0
-368540.0364933968,72679.0
-220516.06862476608,226355.0
-192893.61898438772,255124.0
-402325.48899801355,33408.0
-147661.5370345671,317033.0
-87489.21298219706,372096.0
-47464.79531712399,435251.0
-34655.09312425449,453044.0
-151961.85973518738,311696.0
-86909.07544768252,373142.0
49167.09539451508,629556.0
56171.578428671,647158.0
-319463.5446296789,114231.0
-9115.30338262557,523603.0
11678.99322197691,592741.0
7387.041196464794,587292.0
-289474.80270724336,143028.0
Objective Value, Total Weight
-434642.23000000004,0.0
87208.9179262676,677384.0
-434642.23000000004,0.0
-284896.7917447082,157864.0
-219447.06483490742,240652.0
-394897.5131549308,44087.0
-333852.7318029289,103845.0
53612.3579377,596680.0
-132564.35712957522,327826.0
79897.87855289062,661956.0
-13203.277417324367,506613.0
-40140.86530478462,451445.0
-107211.69847482815,383779.0
-187511.60491150751,261227.0
-426955.320857424,7288.0
-147440.13854990056,310020.0
-3847.8320267711533,521414.0
-72493.86146546027,401859.0
