Objective Value, Total Weight
-174030.45528797735,275287.0
85246.71213410737,636859.0
-23846.048302170122,472065.0
38837.60480005853,540892.0
48004.34758323885,561623.0
-842.7617809235817,486002.0
-125781.12787518895,333913.0
-61575.82819690055,413422.0
-85862.21485731588,384428.0
15659.858066665241,519174.0
-42148.94418750005,444806.0
58728.79828982416,597678.0
-114167.90403850505,349484.0
-59865.593455711496,419636.0
-142391.15464961203,315741.0
-44131.30475021037,440557.0
8809.220322019653,510637.0
-160153.60552299232,293137.0
69166.167616733,612947.0
-105179.73077639448,358477.0
Objective Value, Total Weight
79690.88535098662,627507.0
-172221.37290781952,270342.0
25044.37018588558,533478.0
-49846.16202021623,421076.0
6817.030545680202,510493.0
-37886.91146302584,453474.0
-87339.18069508823,369945.0
-106654.33037094865,347369.0
38697.70941842988,553354.0
71195.48421056033,608788.0
-127777.83296991978,329597.0
-73547.36484746274,388939.0
-57876.978765494074,404515.0
-137098.58537721954,315157.0
-15000.605066412478,474800.0
62680.6055497973,589876.0
-116916.30520375399,334042.0
-143820.48630205233,307586.0
-84385.65015946678,378544.0
-65029.75580452115,396979.0
Objective Value, Total Weight
-177871.08528182656,271312.0
83359.97805119609,644917.0
-14255.966418896918,471772.0
11895.26592441462,508687.0
-61694.122622675495,420350.0
42905.75777387724,575382.0
-30367.991658303305,463533.0
-40919.093173335656,443304.0
-166634.21424380702,288292.0
-93731.03105289058,372787.0
-74769.2057505222,393783.0
-53835.19000835449,431531.0
62208.83225585136,592458.0
-79475.7422889435,392835.0
-124676.31719337986,332987.0
-108156.08997422317,353176.0
32005.407073905808,548218.0
-115246.53972450597,344120.0
35245.056232443894,563734.0
-98193.54664527113,366371.0
Objective Value, Total Weight
87988.86038304947,643211.0
-181701.6331468218,272244.0
-105749.07970296743,367282.0
-127764.64886568044,332878.0
44558.23771194217,579375.0
-84689.01098068734,379874.0
-165451.48392115696,291357.0
14997.87390427012,524210.0
-38580.782043781364,447076.0
34295.39344311308,555420.0
27332.874250475084,540773.0
54482.32809309277,603455.0
-141388.7620937681,314959.0
-72290.00251633755,394395.0
-23111.22343735455,465734.0
67347.93885542848,605173.0
78463.10669343558,619005.0
-4064.2376634959364,485979.0
4956.4265135315945,508378.0
78814.82881364273,631578.0
Objective Value, Total Weight
-169305.92291415622,278893.0
84919.95136695355,636600.0
-75724.64177518035,402238.0
-109096.99080295791,347911.0
5223.808601802797,505992.0
47821.211513071205,567507.0
22307.14728409669,518661.0
-14549.804379261332,471295.0
-6636.141315844026,482676.0
75604.97500899562,612473.0
34904.043391698855,534102.0
-154957.2066480416,299345.0
-32154.525220870855,453582.0
-56438.96983293805,422610.0
59271.06156820571,595787.0
37353.68041718227,553709.0
-48046.673662185785,429266.0
-166046.62955981045,283180.0
-132154.32819728507,318121.0
-126362.34294942673,332091.0
Objective Value, Total Weight
88780.79357348965,647731.0
-175255.0037122575,264434.0
52221.52600053779,568991.0
29712.138085443643,543970.0
-70776.99279989838,394737.0
-17959.90321352298,460038.0
-93865.19298631384,371751.0
-2091.861635467736,480209.0
-122578.24384198501,329422.0
-143353.32317066286,305566.0
66236.71053738927,585856.0
-28561.66205281706,444154.0
-108864.82963612361,348113.0
80148.92072154663,615477.0
-153330.93182759557,292947.0
81145.96062796214,627716.0
-158843.85331155005,282586.0
-169830.34445839975,272465.0
-51946.19107881305,425212.0
11355.589384519728,513045.0
Objective Value, Total Weight
82510.28486857959,629446.0
-175342.90140471153,268503.0
49871.5725667401,561327.0
72039.32693536673,609482.0
