Objective Value, Total Weight
-225086.92394536856,210801.0
89793.82456220163,638275.0
-165918.4349531359,268538.0
-99370.20127524139,347492.0
-71422.96286892047,371744.0
62407.05024093122,566051.0
-201273.70419386995,244131.0
48656.93488188903,530036.0
-139643.2010029878,307241.0
75452.699089395,594855.0
-117953.48365048756,318237.0
-209800.79705778637,228458.0
35656.21941441123,507272.0
-53173.900240849296,390869.0
-12597.314293149277,438871.0
-28648.90005986567,415142.0
-122562.26046119665,312903.0
-44474.45639188122,402022.0
80576.56971287425,623839.0
78297.93051942496,617526.0
Objective Value, Total Weight
-215611.7386671758,218498.0
86566.17068302014,622110.0
8958.93004000571,471830.0
55179.24157984182,534097.0
37841.74935601745,522330.0
-72447.90250523272,389585.0
-201441.90893618233,238435.0
-84483.32660764863,370067.0
-124318.28271702433,319412.0
-9184.76998788328,437635.0
-42887.52742390701,394165.0
59224.65454219293,577835.0
-147829.5378969573,288781.0
-162872.29135578696,272543.0
-139302.09290133376,309574.0
-181732.4734367135,252787.0
-102550.55866387195,338018.0
77690.71722759656,602731.0
25740.099105376285,493125.0
65170.76989534148,592433.0
Objective Value, Total Weight
-231809.42942140164,203677.0
83097.65983806283,633585.0
-123113.15013117087,317833.0
-35155.18260160141,403550.0
-139518.2475782779,296226.0
-54746.344247799076,380730.0
71648.55935226253,583098.0
33617.139858072274,504712.0
-220983.84771824803,213900.0
48518.43110682897,526239.0
-100164.66561044008,331142.0
-22107.336493187468,421435.0
-203923.11420685152,237630.0
-163642.9225585172,288820.0
55796.25665305962,541998.0
-70685.8642288209,368166.0
23446.94097932556,482134.0
-168278.3344291249,278822.0
-14049.65856493183,435131.0
-92416.78930522018,342035.0
Objective Value, Total Weight
85936.27564945107,631155.0
-209492.742991474,228662.0
-23948.84649904596,425602.0
26938.863628078136,489731.0
-163782.3932406134,277818.0
-186355.4775027613,255745.0
76376.93194486073,626297.0
-86034.32476796512,353347.0
74132.19903886074,585655.0
-146131.26987864234,292527.0
-97937.319118182,336462.0
-69345.86010259186,374912.0
-119263.87852817622,329256.0
-52741.98185767641,390083.0
67587.99474592507,581857.0
53852.37527291349,559469.0
-203055.10057244345,236109.0
-191719.54334541952,248007.0
56951.12675581721,564615.0
50762.27990029473,529143.0
Objective Value, Total Weight
-221123.9890371174,217195.0
82635.65126334503,624304.0
-188957.26479929284,257480.0
-41508.730351042,404600.0
47137.744560258,532287.0
-148898.92205845402,291208.0
-61321.84492795501,376750.0
74958.50036645622,586482.0
1635.763303738786,459398.0
63763.00312230317,570571.0
33117.41034079844,513134.0
-111968.0068705866,336532.0
-22497.881577307126,423555.0
-9582.270399726229,438818.0
-132511.71987805777,315142.0
-164509.66925581265,276199.0
-168370.55960415333,264787.0
11822.505640545278,478355.0
29032.778972880682,493847.0
-120401.3191437599,319460.0
Objective Value, Total Weight
85134.92117883114,622767.0
-212604.89826067066,227647.0
-142951.5476786468,302192.0
-22309.183887783787,435678.0
2494.185172862839,474396.0
-193356.265763568,251652.0
-115699.27792351786,324766.0
-166803.19350561738,280153.0
36402.86282700696,537048.0
-88665.84649453813,364630.0
-108126.88574819785,334019.0
-49773.222884535906,405689.0
-67259.50250342995,377121.0
28569.586455828627,495101.0
17589.37932585727,482936.0
32366.672029989306,519050.0
-57725.57066174853,389117.0
57033.48949862807,553631.0
-181188.6444914738,266772.0
78541.11901782558,594170.0
Objective Value, Total Weight
-223339.1214971064,214661.0
82952.84363391995,630924.0
-155039.01575913426,278490.0
77438.77957013203,600770.0
-106697.23379171081,334783.0
-132779.8348243978,300564.0
-65.16082300443668,452124.0
-76938.57785323396,356990.0
48779.603450734285,531208.0
-48686.83960947534,395942.0
-178456.56378850614,266730.0
-12781.461371007957,439348.0
67061.68078064034,562482.0
63842.0123726133,561510.0
-186402.23266421095,258484.0
16405.72513763304,476262.0
41809.06410057738,520184.0
29194.75589813199,506754.0
-117402.10015159613,322136.0
-121207.34843401622,311041.0
Objective Value, Total Weight
-217787.4889955328,219210.0
91552.79849053477,650645.0
-9012.634997674497,433889.0
49127.71154478635,531780.0
-52177.34401798865,391414.0
-190430.18075635686,255930.0
-146353.1687853948,297505.0
-117167.6124260762,330220.0
31593.622507883236,489835.0
66912.39043258387,566333.0
-156787.21163188986,281397.0
85427.00140252104,604071.0
25005.513686299557,482427.0
87428.32459596347,629691.0
11406.840580283315,461615.0
-76412.97103891207,377477.0
-64265.33631451102,389458.0
73515.54839996505,586078.0
5801.203862250433,454081.0
-110080.68481774186,331130.0
Objective Value, Total Weight
82150.87793419708,618066.0
-211611.02272442146,220954.0
-7680.366043443792,437297.0
-182934.51464148867,259344.0
-161304.00684879557,272546.0
-93133.87631255208,347581.0
-140722.78023151722,298758.0
15187.411478462396,475188.0
-118924.57061675325,326805.0
-78505.01101021626,364734.0
