Objective Value, Total Weight
2004.8740450893529,485047.0
71073.62039186317,613588.0
-149039.8457268002,297902.0
54379.93986097735,583259.0
-100448.31333642697,349141.0
-24263.07945116097,452794.0
-13008.844889512635,461438.0
-118191.40957972303,328815.0
-63752.83873887884,398194.0
-33494.297235050006,439442.0
-89067.61023187928,364363.0
-51536.33237679012,410754.0
12810.105483358726,502818.0
-131147.0106526403,315584.0
-41022.91496132815,424695.0
-73814.48920584295,380588.0
-170278.29907123698,276811.0
-193372.75602338236,252893.0
31290.013760081027,525399.0
34259.50214944815,554495.0
Objective Value, Total Weight
16195.260638978914,518836.0
-62257.03371241724,406958.0
-69593.47027709894,388846.0
-97644.71706203849,355125.0
49845.64465636783,571305.0
-125661.7362677962,321103.0
-82539.21994801343,369890.0
-230929.61820517894,209172.0
-28164.49864934117,448266.0
-2768.52994224953,496119.0
-141138.79744075052,306936.0
-155370.42789519113,294121.0
-206294.42769576475,235422.0
-45100.78967878921,429199.0
-112776.52779425576,337940.0
-185425.14578075882,259616.0
-166616.09381420072,277909.0
-13662.453159085358,471689.0
66242.90669615194,610435.0
33220.44847029669,544507.0
Objective Value, Total Weight
-17624.291949170758,465151.0
-103893.96530134184,352183.0
-116646.02615971834,334454.0
-35467.485884563415,433280.0
-56664.20212766959,402289.0
27841.296742005972,557966.0
-69204.25466086552,385775.0
17656.723688939936,528990.0
-3806.248236159445,479075.0
-147521.38231544575,297142.0
-45684.485826162854,416109.0
12788.650679016835,503368.0
-214995.7141064083,228863.0
-86252.5705850583,370338.0
-169265.43501644104,278009.0
-160540.24011931638,290188.0
-27040.54250710504,451279.0
-131231.4815420055,313014.0
-186169.79134787986,257491.0
48387.59465349652,581985.0
Objective Value, Total Weight
-7085.309455056442,481307.0
-175116.90111192781,272502.0
-102552.83497965825,354406.0
-41888.99887842254,431718.0
18706.883107606554,519345.0
-29274.991317262524,448371.0
-67756.15843243967,396005.0
34104.97557672777,543848.0
-111736.69417656836,340422.0
-14376.451520221308,466212.0
-130728.18182674685,322534.0
-193306.67447471234,251797.0
6058.059948987444,503315.0
-142443.73420540983,305159.0
-85079.42335067375,377561.0
-49320.75552981743,416334.0
-214118.6006629293,229547.0
39661.6252591057,572169.0
-158284.47952986934,290343.0
58316.78473225259,607776.0
Objective Value, Total Weight
-142551.58401391818,306708.0
-124789.52152255864,322835.0
-92063.06590490893,360718.0
-31271.52609122498,444320.0
-41560.455390148796,428136.0
-66281.6015955921,396902.0
-22265.99885066494,461119.0
-75237.68699952553,380995.0
-3434.2114557414316,489169.0
4337.285444090143,506263.0
17557.87359166972,520020.0
-111559.09216408478,337949.0
-52739.678511501756,410917.0
-12176.330438171746,471984.0
25083.55815991608,540191.0
-189466.46122623188,256364.0
40931.257158022956,558393.0
-99267.07424722926,353188.0
61518.17712766933,589184.0
-162604.57850628375,284068.0
Objective Value, Total Weight
51368.42984654056,584435.0
-129967.40328465641,316687.0
-172395.51785127143,267733.0
-49283.57415051188,412441.0
-80194.1008283958,379525.0
-16242.597659910913,475690.0
-117456.80588569591,332882.0
-1821.324924722896,497381.0
-103497.38701276743,347893.0
-68589.50468489295,390522.0
21923.291430462035,537736.0
-36793.17495719204,433028.0
-142561.60573817015,302671.0
38843.64564527979,559568.0
-87993.92225814029,363356.0
-26377.112026160466,452967.0
-154996.7077613293,284221.0
15619.874998835032,513175.0
-184919.05116225313,253092.0
-207417.59158267407,231173.0
Objective Value, Total Weight
12654.579902437283,520253.0
-32372.330856776563,442521.0
-165975.4125679442,278426.0
-118904.98143566231,332108.0
-41519.449667687644,421047.0
-6864.738791799871,481598.0
1895.1301595245022,501929.0
-63440.138769823825,392746.0
-135691.75203352323,311723.0
-81682.72795935301,375926.0
-52701.66271164315,403854.0
-91963.98037714441,360204.0
-151298.10842924262,295844.0
29356.47346621356,545653.0
-18754.571844660444,462445.0
48206.66484481783,565583.0
-106817.08852608316,349097.0
62068.67202569998,599064.0
-181575.93096638733,261480.0
-207329.18089980946,233402.0
Objective Value, Total Weight
17273.0404651328,525622.0
-97100.43684005656,361649.0
-10711.414826500346,485555.0
25880.269954873598,545816.0
-80860.65964993916,384151.0
49713.38883209275,588479.0
-129744.22073812532,321945.0
-32317.171211977373,447491.0
-21914.527777908137,465668.0
-114118.98425550351,338031.0
-49095.414388375124,426203.0
-59478.46621583239,404671.0
-177478.98548131302,264143.0
-158166.60601472983,285829.0
36428.63658143475,567145.0
-198804.39570379292,245244.0
-138147.21043908957,305231.0
7785.778595322976,503884.0
-223838.03557346,216878.0
62744.865445372765,610536.0
Objective Value, Total Weight
-4690.748529524193,466760.0
-202573.1202781867,241786.0
31875.24374135479,538365.0
18351.06194247643,514064.0
-162359.14402622532,286670.0
-134623.747798412,310442.0
-32619.885307224,435112.0
-104999.46719109424,345612.0
44043.87778770109,565673.0
-90643.79535621719,365248.0
-76304.23723447009,382998.0
-60171.177097107866,402634.0
-123526.85355605558,322418.0
-17963.048937378102,450245.0
-114146.70046931802,332263.0
-180834.13167327718,265484.0
-145152.97677089466,301303.0
12830.990751988837,487255.0
-43963.42131599132,418660.0
65005.755376067944,603155.0
Objective Value, Total Weight
-37178.50603317993,436180.0
41740.19012492662,552178.0
25519.832000618102,523914.0
-126066.13662719895,326220.0
-50212.064971760614,417756.0
-20665.973153769155,454432.0
