Objective Value, Total Weight
-106120.09010141203,348036.0
-5114.451607185532,463748.0
-30132.40063496004,434027.0
-171635.32244153856,272206.0
-47676.567794530536,414239.0
6346.579734899453,485534.0
-17867.272083640913,446197.0
-123545.42146322556,319860.0
59605.751273994916,554680.0
42909.94544862665,544132.0
-60069.78253675543,398457.0
-85158.98181013652,361398.0
-142063.46998456633,300187.0
80180.65177754429,608821.0
-159849.64957352844,286797.0
29511.894321412547,506084.0
-75983.67495886493,381990.0
-185114.49536688917,255977.0
72202.19219569478,581644.0
91649.66661782796,631766.0
Objective Value, Total Weight
18539.373275994672,494295.0
-3046.303357813158,467858.0
-104384.43097694055,347813.0
-22470.175131817698,444738.0
-134943.82785044605,313521.0
36722.79769034276,528707.0
-49104.602228782605,414023.0
-33256.166156362044,425398.0
-115763.28097623325,332077.0
59558.74987662304,557797.0
70786.9790514987,575014.0
-67589.22323334613,390133.0
29294.318246283685,513382.0
-84401.34958036535,369252.0
78764.7565164034,598603.0
86206.45345304848,613751.0
48503.194976360304,540855.0
-147484.88791854074,296169.0
-166827.26384108444,273007.0
95808.32481076603,638848.0
Objective Value, Total Weight
7038.197007010807,485004.0
55922.305243133684,551334.0
19077.078852608334,497727.0
83701.89184520987,606771.0
-119570.81356391497,330995.0
-90901.33272202441,361364.0
-79144.00422040548,372860.0
-38255.294611621764,421465.0
-23441.095887245494,440117.0
-4366.04101741116,465144.0
-50513.338333422085,402910.0
-67214.66289388726,385914.0
-103212.4567125981,345724.0
36547.85598844953,520918.0
-135365.4082697652,309294.0
-171362.96209788084,271790.0
68679.56075077341,571810.0
-149671.09340470238,294642.0
97198.66794278391,630547.0
-188183.5669138168,250216.0
Objective Value, Total Weight
-117770.97696020233,320099.0
-72029.13939031342,372172.0
-34038.993311945,423782.0
-47326.6193430369,414765.0
-65038.891851249384,392339.0
22811.747696546605,505728.0
4301.417376244324,468436.0
9498.670065794257,490448.0
-11604.67736092594,457509.0
-94180.94014104258,356058.0
50939.10997169337,545918.0
-23073.436172683956,436691.0
59540.899757747655,570780.0
35603.477936592535,521755.0
-106114.76797311654,335833.0
-138131.72546145227,296020.0
74683.08103780553,593274.0
88663.34745482041,614033.0
99216.21106696804,639582.0
-155307.47556913953,278222.0
Objective Value, Total Weight
-51089.33210170083,401274.0
55395.60541498428,564133.0
6115.684039025218,476507.0
-39900.812042643665,417823.0
-121483.15072027291,327709.0
-11501.074574158178,449140.0
-147913.1990747609,294051.0
-63881.03953438043,385569.0
-100171.4271324309,343906.0
-87802.48802161484,362252.0
71033.6486095062,579956.0
29239.32689702406,511427.0
19039.912836318486,487384.0
-23827.295887793764,432203.0
-128618.07593798469,309435.0
79657.71113757568,611045.0
48255.717711119214,533022.0
87097.65616311226,637588.0
-163010.83754538937,276956.0
-179515.1076656034,256735.0
Objective Value, Total Weight
-91288.05068686011,357426.0
7549.632287790533,491828.0
-56169.07983545738,394969.0
