Objective Value, Total Weight
-304.5701093484231,3275.0
1733.913600018257,5026.0
2403.2355434415467,5653.0
1211.6193075829906,4563.0
3051.868747935927,6441.0
-733.2633396668589,2924.0
961.5488321240891,4363.0
648.7588461579389,4075.0
1487.0558993826608,4826.0
-22.296261955290902,3486.0
3510.941182346138,7327.0
2161.577447120212,5453.0
2800.3091570590723,6153.0
-1005.1274184803597,2724.0
3252.2662443445743,6641.0
292.52810349406263,3774.0
-2106.6662940206324,1869.0
-1381.738664634212,2431.0
-1815.5960552720144,2080.0
-2701.270687856246,1447.0
Objective Value, Total Weight
210.34032217966615,3716.0
3306.692910322563,6615.0
2082.0626686387805,5395.0
-1199.3615680323473,2588.0
-483.19562378940736,3150.0
2677.844317946824,5988.0
1522.8734740851578,4936.0
-2888.587874042888,1322.0
1406.1651728503466,4768.0
-2011.0773805743038,1944.0
879.7976948509404,4305.0
-2595.3618448303414,1533.0
-925.7418443806937,2788.0
459.3404555641191,3939.0
2178.8071746658807,5525.0
-212.56881597876963,3350.0
-1566.9171797203926,2306.0
990.5104804006987,4402.0
-3220.67772059442,1120.0
-3860.362318709045,716.0
Objective Value, Total Weight
-1456.7066901881926,2353.0
1691.133147463136,5008.0
879.0992743400038,4274.0
-375.1110494368404,3197.0
-3108.882466737843,1167.0
1155.493575295618,4485.0
3097.322363350695,6397.0
-92.12290086446501,3408.0
1956.9916025636667,5219.0
2595.342181843487,5909.0
2367.14963781812,5663.0
3776.8558202407476,7394.0
-1167.440798147025,2564.0
487.4404775543753,3896.0
3344.3870198499617,6761.0
-2777.585923377005,1369.0
-804.3730099947588,2846.0
-2182.430719406303,1791.0
-1890.9486316270286,2002.0
-3617.1337841917893,843.0
Objective Value, Total Weight
2840.6532769961377,6324.0
3165.293055894879,7240.0
590.2391799113293,3983.0
-652.7303539052728,2958.0
2152.8647940602186,5590.0
2593.894685045034,6062.0
1940.3802408052115,5222.0
1248.6464629332222,4594.0
-1730.346101793465,2114.0
-3229.8637445368986,1088.0
-1008.0981542406316,2676.0
-487.61831999203605,3097.0
-106.05315641607285,3397.0
751.312142624427,4122.0
220.31961458507885,3659.0
-2182.430719406303,1791.0
1560.2949200195371,4856.0
-1284.0653060603654,2476.0
-2495.4445833064465,1569.0
-3918.4331490503737,662.0
Objective Value, Total Weight
-1893.921538748451,2013.0
-1170.534770459577,2575.0
3057.910479344694,6318.0
344.28659148788756,3769.0
712.6334001970436,4093.0
1013.3455359881582,4358.0
1784.4014854278412,5098.0
-527.164073582826,3068.0
-882.6973538625662,2786.0
2165.4359469805204,5439.0
17.299272297666903,3507.0
2412.885751486284,5691.0
-1603.6466929336775,2224.0
-361.5827465107832,3207.0
3640.4659701042992,7033.0
1378.9686098151815,4682.0
2807.779843673865,6041.0
-3277.6569910336457,1066.0
-2195.5166535230783,1802.0
-2660.915341670603,1468.0
Objective Value, Total Weight
-1178.1080076861244,2553.0
441.6472439818899,3871.0
706.6352664873666,4071.0
3017.2871279863475,6246.0
1780.5677087919257,5026.0
-890.1228170972718,2764.0
1117.7845090437477,4437.0
-533.8112083524074,3046.0
2664.4121623536594,5880.0
3627.7987908827263,6873.0
2051.4912583010537,5287.0
2449.8896522152154,5653.0
-106.05315641607285,3397.0
3299.6613058406747,6507.0
175.0471772253186,3608.0
1373.172615343804,4660.0
-1901.7363375777477,1991.0
-2495.4445833064465,1569.0
-1611.3369222315814,2202.0
-3220.67772059442,1120.0
Objective Value, Total Weight
2836.7508892776996,6115.0
1015.4299818157642,4359.0
-804.3730099947588,2846.0
-106.05315641607285,3397.0
1373.172615343804,4660.0
1679.0884618452128,4948.0
1923.6599468952536,5148.0
2485.022339365757,5758.0
3431.637646749038,6835.0
3765.6804640183427,7224.0
