Objective Value, Total Weight
3587.3783621395132,6865.0
3113.288156685,6377.0
-1730.346101793465,2114.0
2471.1387118697457,5750.0
2073.2506002865484,5271.0
-2323.1055807053153,1692.0
3812.619133391707,7076.0
-720.9578294244402,2887.0
337.50440515646915,3731.0
1923.6599468952536,5148.0
1006.850236620573,4320.0
3360.496939094237,6588.0
-1440.6579121097502,2325.0
1532.9980681512106,4783.0
737.2260906622741,4096.0
73.60985878096017,3531.0
2729.9862072346104,5961.0
-369.09277207551804,3169.0
-995.5739260881292,2687.0
-3108.882466737843,1167.0
Objective Value, Total Weight
3181.39912191869,6444.0
1416.836584094085,4736.0
2710.395543208634,5956.0
57.66185962392228,3520.0
590.2391799113293,3983.0
2542.703924341441,5817.0
1963.1458268788138,5224.0
1262.3396771996195,4559.0
867.626858452104,4194.0
1555.4909112860678,4808.0
-1603.6466929336775,2224.0
3413.527620163947,6655.0
-720.9578294244402,2887.0
2230.445398714399,5435.0
2960.5624442159906,6167.0
337.50440515646915,3731.0
-369.09277207551804,3169.0
-2203.3880053050525,1780.0
-995.5739260881292,2687.0
-1440.6579121097502,2325.0
Objective Value, Total Weight
3622.6784155650585,7634.0
2606.7307586402503,5915.0
3452.217307277252,7156.0
2936.0450934220953,6279.0
4066.745386587272,8052.0
1405.914485264423,4737.0
209.41437459616373,3685.0
-375.1110494368404,3197.0
1985.4607906889769,5253.0
2350.5270095501573,5575.0
1015.4299818157642,4359.0
-1278.939859988419,2490.0
487.4404775543753,3896.0
1679.0884618452128,4948.0
-92.12290086446501,3408.0
3180.821233019433,6490.0
-804.3730099947588,2846.0
-2182.430719406303,1791.0
-1890.9486316270286,2002.0
-2777.585923377005,1369.0
Objective Value, Total Weight
-26.270464495709348,3606.0
805.5730332494977,4318.0
1082.3090884955045,4595.0
536.0189050225354,4094.0
1964.7636016242232,5287.0
-106.05315641607285,3397.0
1283.4938806200335,4597.0
175.0471772253186,3608.0
3369.399812832641,6613.0
737.2260906622741,4096.0
1555.4909112860678,4808.0
1006.850236620573,4320.0
-369.09277207551804,3169.0
-1440.6579121097502,2325.0
337.50440515646915,3731.0
-890.1228170972718,2764.0
-652.7303539052728,2958.0
-1717.6948079947888,2125.0
-2310.3671205246683,1703.0
Objective Value, Total Weight
3287.4350193979753,6667.0
-652.7303539052728,2958.0
-1730.346101793465,2114.0
1937.7244222560948,5199.0
2661.9123005371403,6040.0
-2495.4445833064465,1569.0
57.66185962392228,3520.0
-1008.0981542406316,2676.0
1257.5586046134758,4572.0
1532.9980681512106,4783.0
337.50440515646915,3731.0
2905.6655708657718,6251.0
2208.5449790561834,5410.0
-369.09277207551804,3169.0
1006.850236620573,4320.0
3515.771851638534,6878.0
706.6352664873666,4071.0
-1440.6579121097502,2325.0
-2203.3880053050525,1780.0
-2777.585923377005,1369.0
Objective Value, Total Weight
1257.5586046134758,4572.0
3127.4420003967325,6402.0
-652.7303539052728,2958.0
57.66185962392228,3520.0
1805.2009183946739,5060.0
1532.9980681512106,4783.0
2883.514269421198,6125.0
3369.399812832641,6613.0
-369.09277207551804,3169.0
1006.850236620573,4320.0
337.50440515646915,3731.0
2601.2589242672084,5885.0
737.2260906622741,4096.0
-890.1228170972718,2764.0
3698.056909232886,7107.0
2073.2506002865484,5271.0
-1440.6579121097502,2325.0
-2008.5214805114147,1914.0
-1717.6948079947888,2125.0
-2811.3209638625885,1387.0
Objective Value, Total Weight
2029.3381568129753,5433.0
3212.83715585398,6653.0
-1197.0092583749802,2685.0
-208.2393428716423,3320.0
737.2260906622741,4096.0
337.50440515646915,3731.0
1403.5335243229802,4685.0
1006.850236620573,4320.0
3413.527620163947,6655.0
2960.5624442159906,6167.0
73.60985878096017,3531.0
1691.7579478748485,4947.0
2230.445398714399,5435.0
-369.09277207551804,3169.0
-1440.6579121097502,2325.0
-720.9578294244402,2887.0
-1717.6948079947888,2125.0
-2484.57392293211,1580.0
-995.5739260881292,2687.0
Objective Value, Total Weight
3703.579784992904,8158.0
2819.8801708781575,6080.0
-396.529030138081,3175.0
1833.168916728604,5071.0
2122.6606178944967,5376.0
1464.7312334981107,4747.0
644.6501045617451,4019.0
3498.4493779235745,6952.0
3292.7280936732022,6596.0
2423.5022004675093,5702.0
1170.9115004436871,4482.0
-636.5942869818009,2969.0
3062.2188775246786,6291.0
799.0094760694319,4158.0
-41.499980341191076,3459.0
-995.5739260881292,2687.0
238.9761047822658,3670.0
-2008.5214805114147,1914.0
-1543.3208525336431,2264.0
-2651.2935659886152,1479.0
Objective Value, Total Weight
