Objective Value, Total Weight
-570.4228169617481,3167.0
2359.229055428783,5691.0
590.2391799113293,3983.0
2844.9445768113846,6154.0
3332.3732386541114,6642.0
3088.074872472659,6365.0
1662.84682373965,4938.0
1512.8994483353154,4837.0
-1611.3369222315814,2202.0
999.0793112884912,4349.0
3587.2533454532113,6947.0
2588.440547850957,5898.0
867.626858452104,4194.0
337.50440515646915,3731.0
-720.9578294244402,2887.0
-995.5739260881292,2687.0
57.66185962392228,3520.0
-2031.674887966301,1903.0
-369.09277207551804,3169.0
-2602.8003511920297,1492.0
Objective Value, Total Weight
1067.3879951689669,4599.0
-1284.0653060603654,2476.0
-884.6521076883773,2776.0
57.66185962392228,3520.0
-1008.0981542406316,2676.0
-369.09277207551804,3169.0
-250.16081252766799,3269.0
73.60985878096017,3531.0
-1440.6579121097502,2325.0
337.50440515646915,3731.0
867.626858452104,4194.0
1006.850236620573,4320.0
-995.5739260881292,2687.0
-2944.7608180731377,1268.0
-720.9578294244402,2887.0
-2323.1055807053153,1692.0
-1730.346101793465,2114.0
Objective Value, Total Weight
3463.541026862864,7444.0
2541.482322573438,5913.0
1305.2646824030026,4698.0
3254.948946958837,6706.0
2742.524028127421,5915.0
3678.4081433297215,7633.0
2319.8558747764228,5637.0
746.543966743563,4097.0
1743.2158232108804,5027.0
1532.9980681512106,4783.0
3023.8046575077587,6220.0
57.66185962392228,3520.0
867.626858452104,4194.0
-1440.6579121097502,2325.0
337.50440515646915,3731.0
-369.09277207551804,3169.0
-720.9578294244402,2887.0
-2195.5166535230783,1802.0
-995.5739260881292,2687.0
-2602.8003511920297,1492.0
Objective Value, Total Weight
2555.7443167516776,5792.0
3920.1202208892664,8211.0
3622.371252449777,6970.0
1932.9500705380551,5149.0
1532.9980681512106,4783.0
2329.0925287035243,5517.0
-1807.8009155896216,2102.0
2807.3436214985595,6003.0
3435.249984231905,6630.0
-1440.6579121097502,2325.0
-369.09277207551804,3169.0
454.48980555786784,3831.0
-1147.4223773978438,2564.0
-720.9578294244402,2887.0
1271.6422943100588,4560.0
-2182.430719406303,1791.0
73.60985878096017,3531.0
-3561.2424999976283,1065.0
867.626858452104,4194.0
-2648.565573980297,1490.0
Objective Value, Total Weight
1142.8135241581476,4471.0
-1953.4535251647849,2020.0
1707.501464143501,4960.0
-890.1228170972718,2764.0
1413.533002621496,4682.0
-2814.7245369753027,1389.0
867.626858452104,4194.0
498.64237138261433,3870.0
2960.5624442159906,6167.0
-205.22116743170773,3308.0
-1611.3369222315814,2202.0
-1269.6549250999678,2464.0
-2150.122780146012,1831.0
-2814.7245369753027,1389.0
1026.9815257770651,4333.0
-720.9578294244402,2887.0
-3108.882466737843,1167.0
175.0471772253186,3608.0
Objective Value, Total Weight
2527.1754020408043,6244.0
1532.2812694649783,4874.0
2788.515563407411,6641.0
-652.7303539052728,2958.0
1805.2009183946739,5060.0
1257.5586046134758,4572.0
3529.2103322278663,6849.0
616.3924258720717,4008.0
-720.9578294244402,2887.0
2073.2506002865484,5271.0
1805.2009183946739,5060.0
890.367823078438,4219.0
454.48980555786784,3831.0
175.0471772253186,3608.0
1403.5335243229802,4685.0
-106.05315641607285,3397.0
-1922.3139183565818,2003.0
-369.09277207551804,3169.0
-1316.6396772534272,2425.0
-2660.915341670603,1468.0
Objective Value, Total Weight
1117.4036875254114,4534.0
2064.957265111838,5306.0
2873.0526720667376,6072.0
4236.152927820702,7782.0
3551.8494991027574,6959.0
3125.3652217089966,6283.0
-1178.1080076861244,2553.0
3362.01112477057,6604.0
2478.703929875139,5656.0
1532.9980681512106,4783.0
-205.22116743170773,3308.0
1825.0157923865563,5067.0
-720.9578294244402,2887.0
175.0471772253186,3608.0
-1730.346101793465,2114.0
1006.850236620573,4320.0
454.48980555786784,3831.0
-1440.6579121097502,2325.0
-2323.1055807053153,1692.0
-3437.503072476843,966.0
Objective Value, Total Weight
3016.4895575587298,6654.0
3170.6636263828823,7152.0
1571.2885343035268,5007.0
2237.3766141677997,5680.0
57.66185962392228,3520.0
2757.5757264790564,6185.0
963.2958454288428,4297.0
2551.3154378595927,6092.0
1369.1245683250054,4663.0
1843.398257693173,5302.0
-720.9578294244402,2887.0
-369.09277207551804,3169.0
337.50440515646915,3731.0
702.6146241182851,4074.0
-890.1228170972718,2764.0
-1730.346101793465,2114.0
-2476.0316529466654,1602.0
-2031.674887966301,1903.0
-1316.6396772534272,2425.0
-3823.202964797443,871.0
Objective Value, Total Weight
3154.3183304011764,7104.0
1806.132605131802,5124.0
3736.272635886149,8010.0
2435.6596972074876,5735.0
997.0015858813349,4342.0
613.3719897652454,3970.0
2029.4447258969994,5319.0
1154.6644277864207,4481.0
2711.644667187701,6051.0
2877.369804735752,6332.0
454.48980555786784,3831.0
1545.3824035026664,4831.0
-3220.8758172511616,1290.0
-1316.6396772534272,2425.0
57.66185962392228,3520.0
-1717.6948079947888,2125.0
-890.1228170972718,2764.0
-250.16081252766799,3269.0
-598.2335544712305,2987.0
-2310.3671205246683,1703.0
Objective Value, Total Weight
2899.797661580167,6338.0
57.66185962392228,3520.0
2016.4328678376169,5293.0
3455.859937264673,7233.0
3652.3372062741073,7566.0
2482.613955683534,5791.0
1893.1407712951059,5148.0
-1004.1928839627017,2691.0
1379.7470917800956,4660.0
-369.09277207551804,3169.0
-720.9578294244402,2887.0
337.50440515646915,3731.0
1026.9815257770651,4333.0
-2310.3671205246683,1703.0
867.626858452104,4194.0
73.60985878096017,3531.0
-1316.6396772534272,2425.0
-2879.795181874405,1344.0
-1901.7363375777477,1991.0
