Objective Value, Total Weight
-6314.820000000001,0.0
3665.7075341380805,7860.0
3665.7075341380805,7860.0
-6314.820000000001,0.0
-501.01971396557747,3425.0
550.3149537759937,4535.0
2852.8224390535097,6682.0
2232.5212133649493,6101.0
-3825.702007634688,847.0
-1371.1250599539235,2853.0
94.50327846633263,3827.0
1183.2031984432178,5062.0
1543.1715620042378,5689.0
3133.9510129173705,7436.0
-4758.772362430512,702.0
-5122.38855390364,210.0
-3092.0768142016123,1409.0
-2081.2815685959067,2207.0
-1790.2005949760824,2488.0
-6104.494785365145,122.0
Objective Value, Total Weight
-6314.820000000001,0.0
3680.9804659674282,7888.0
3680.9804659674282,7888.0
-6314.820000000001,0.0
934.7516049521519,4963.0
1863.5727558258186,5587.0
-316.9604037030622,3843.0
297.81331637503627,4504.0
2639.280599808503,6946.0
2030.3939914887424,6254.0
-796.280604935996,3245.0
-1963.5731814082737,2330.0
-1524.0670904115486,2845.0
-3549.9777593085564,1254.0
3233.3548205942516,7316.0
-2609.303967790157,1861.0
-5323.097987652048,208.0
-3192.1386748993173,1657.0
-4284.6499664086905,692.0
-4542.75750868325,490.0
Objective Value, Total Weight
-6314.820000000001,0.0
3465.0806595019894,7892.0
3465.0806595019894,7892.0
-6314.820000000001,0.0
-4963.848596261255,196.0
-3040.076788129336,1806.0
-3557.4403070971184,1173.0
-4308.618057406904,708.0
2992.343534877614,6904.0
1619.7568008242615,5366.0
-2227.074464203337,2230.0
-579.3643707419396,3606.0
1086.91575019858,4962.0
2034.2049212960173,6101.0
-139.72588927269044,4285.0
435.865040405738,4492.0
-1864.1118333032637,2760.0
2195.377730674816,6615.0
3371.7244836267837,7770.0
-1435.6729046200035,3240.0
Objective Value, Total Weight
-6314.820000000001,0.0
3953.711258706193,8104.0
-6314.820000000001,0.0
2840.5996593038135,6793.0
2029.709066626283,6013.0
263.02950797911217,4241.0
3710.813016372278,7641.0
1093.8767604183695,4856.0
1356.2892758623511,5428.0
-3208.144308297723,1408.0
-417.0115669013594,3808.0
-936.4913494106631,3456.0
-4912.459756955975,332.0
-1677.592480966805,2892.0
-3720.972314692158,924.0
-5958.328272328869,305.0
-2682.6662589355337,1846.0
-2313.8328412469527,2258.0
-1627.5283630468866,3193.0
-4430.631266949218,618.0
Objective Value, Total Weight
-6314.820000000001,0.0
4009.0754494306293,8158.0
4009.0754494306293,8158.0
-6314.820000000001,0.0
-3604.729152382857,1329.0
-4261.4434318690655,619.0
-5227.632021802583,292.0
-3055.522614402449,2064.0
3381.3759352358393,6938.0
1615.1621290274652,5677.0
-418.8573367656436,4238.0
3563.777216529382,7390.0
-761.3660985491351,3265.0
-2228.0086419836107,2280.0
-1811.7949549028508,2746.0
2606.5720946472093,6217.0
1099.50757939304,5426.0
2508.8263709997427,6170.0
538.6875295447526,5196.0
449.7925477264316,4629.0
Objective Value, Total Weight
-6314.820000000001,0.0
3958.854980827982,8219.0
-6314.820000000001,0.0
-3501.5319155121006,1284.0
2918.871190275405,6723.0
186.57007556689223,4329.0
1283.4350411741589,5100.0
1899.4261368131301,5554.0
-1690.6546551141773,2597.0
-1297.8029062756532,2887.0
-639.6620494977969,3370.0
-5165.4504278019385,194.0
-5165.4504278019385,194.0
-2390.513024652342,2128.0
3216.636443598156,7123.0
-5712.110862447686,6.0
-181.22779688146056,3812.0
3452.097081012189,7711.0
1698.3118353543196,5552.0
-3118.395758291308,1566.0
Objective Value, Total Weight
-6314.820000000001,0.0
3839.7516088476314,8027.0
3839.7516088476314,8027.0
-6314.820000000001,0.0
-3456.041486112592,1231.0
-5063.906008139154,195.0
-105.53011462038648,3900.0
-830.8801972595465,3125.0
-4187.82972344193,709.0
3170.1786363941465,6849.0
2441.101770691821,5835.0
3552.235158499121,7692.0
1867.8648973095687,5485.0
-1555.4317742204375,2683.0
1268.855899887003,5085.0
2631.869077683232,6607.0
-2677.4645845318437,1973.0
509.4840263886472,4432.0
881.192600198643,4608.0
-2212.0811114320013,2547.0
Objective Value, Total Weight
-6314.820000000001,0.0
3893.610822280669,7983.0
-6314.820000000001,0.0
-1675.291969441988,2485.0
-2823.660520188074,1738.0
3501.3833565271025,7217.0
678.4343772237835,4819.0
1688.8755308734608,5383.0
-187.2847546288158,4673.0
-642.3916840844458,3975.0
2877.987243326619,6414.0
-5122.38855390364,210.0
-3296.9399603870834,1372.0
-1120.0550374431677,2884.0
-894.2020324952482,3367.0
1925.005989608043,5992.0
-3792.321727776809,975.0
2492.364882685425,6196.0
-4246.297579410862,701.0
-4777.021230705847,396.0
Objective Value, Total Weight
-6314.820000000001,0.0
3832.297247991486,8023.0
-6314.820000000001,0.0
-1220.1850457672736,2874.0
-383.2425700881395,3631.0
204.63917400012542,4250.0
-2019.3962580960797,2347.0
994.240472217858,4663.0
3661.892134055358,7322.0
3195.0607810426027,6734.0
-2514.5173631984935,1879.0
-5576.74873958263,99.0
-3117.5781929320838,1484.0
2721.953930506116,6330.0
1368.2071447382305,5165.0
-4867.003947174371,514.0
2105.085992147385,5957.0
-3770.951302458272,1218.0
1921.3288595492877,5513.0
-4592.405012247851,788.0
Objective Value, Total Weight
-6314.820000000001,0.0
3961.555436632034,8126.0
3961.555436632034,8126.0
-6314.820000000001,0.0
2671.19017482836,6359.0
3545.6048930789784,7263.0
-3056.7639553842437,1618.0
1104.3825598630292,4838.0
621.1222987443407,4502.0
-1991.1163768042934,2245.0
1765.1446321168332,5713.0
-4574.891034748865,850.0
-2941.6766631117416,2213.0
-68.87340446018788,3973.0
-1361.5376098938705,2733.0
1761.8587640713959,5427.0
-3840.3692871441017,1055.0
-6175.347579963782,100.0
-5183.840197485521,406.0
-846.4217993292505,3137.0
