Objective Value, Total Weight
-6314.820000000001,0.0
3014.578219485078,7951.0
3014.578219485078,7951.0
-6314.820000000001,0.0
-1949.8803752781669,2475.0
-4217.743301320775,878.0
-5164.546103252221,194.0
-143.87160314105586,4373.0
-3046.5698294214317,1876.0
2160.184070929876,6077.0
-870.1853938548502,3466.0
1624.5196110461757,5673.0
-384.22015801134785,3679.0
-1732.59091671036,3174.0
1189.879191803053,5313.0
-4945.629136221464,722.0
2636.2029668072464,7137.0
2361.2632065119724,6731.0
-3248.0959570371006,1874.0
983.9584113637002,4899.0
Objective Value, Total Weight
-6314.820000000001,0.0
2752.198147025145,8246.0
2752.198147025145,8246.0
-6314.820000000001,0.0
-5284.021726735149,550.0
-3937.8622378273985,1606.0
2538.3883177246926,7224.0
1962.5443992501614,6597.0
-1269.7096962058276,3394.0
-960.0142398090193,3819.0
-347.6131416702574,4223.0
432.1266686839217,5039.0
-3399.263189744831,2266.0
-1956.8219879147637,2843.0
-283.46658944769115,4833.0
1411.3078492452705,6004.0
1411.3078492452705,6004.0
-4642.7208052700535,954.0
432.1266686839217,5039.0
-3399.263189744831,2266.0
Objective Value, Total Weight
-6314.820000000001,0.0
2770.3305797931534,7695.0
2770.3305797931534,7695.0
-6314.820000000001,0.0
932.932585374645,5007.0
2205.7351643212824,6475.0
-3024.68051896864,1817.0
-888.4642732888578,3425.0
-5921.8888302336545,356.0
-1600.438906529419,2863.0
-4818.506605152251,792.0
2285.6573998923814,7489.0
363.8368066339726,4603.0
1428.522969983338,5911.0
-3904.4066340039326,1083.0
-3733.4438272571724,1528.0
-2624.679009085765,2704.0
-246.65749464619603,4502.0
-4616.930272908247,794.0
-2423.1652428436964,2706.0
Objective Value, Total Weight
-6314.820000000001,0.0
3498.8346701746777,8224.0
3498.8346701746777,8224.0
-6314.820000000001,0.0
3127.30727411346,7380.0
-633.1782020569381,3888.0
2488.6824474334007,6522.0
-2070.8784883453836,2668.0
-1616.1580097630995,3416.0
-3074.312994125483,2196.0
1927.0766595486348,5912.0
-4073.1684998910796,1410.0
1308.5220838512641,5499.0
-5038.3356987920815,823.0
588.7817183839943,5175.0
-5567.407155655166,190.0
312.2217081142826,4924.0
-5227.382180034101,676.0
58.32949392567298,4515.0
-3690.513163241464,1612.0
Objective Value, Total Weight
-6314.820000000001,0.0
2414.210325397731,8042.0
2414.210325397731,8042.0
-6314.820000000001,0.0
-2659.8929440272213,3000.0
-4066.1936320910218,1596.0
2333.4263987499344,7842.0
-4764.017013027708,614.0
-1136.4451673674885,4291.0
-3409.601777476866,2200.0
1771.5418156376836,6742.0
-4578.990601751063,1266.0
-422.3886272675627,4857.0
1127.3059545078295,6409.0
-3115.5923993391534,2486.0
-422.3886272675627,4857.0
-5712.187177806686,422.0
514.9836145235786,5747.0
770.4885729501057,6157.0
-1397.0914350191988,3942.0
Objective Value, Total Weight
-6314.820000000001,0.0
2721.3647078426384,7775.0
2721.3647078426384,7775.0
-6314.820000000001,0.0
-98.02918542276893,4247.0
-711.98173748722,3843.0
1869.0929797550743,6929.0
