Objective Value, Total Weight
-5567.407155655166,190.0
3658.4697674100107,7339.0
-4830.264860256522,289.0
-1903.5327596056613,2248.0
405.88953999374644,4133.0
-717.4818317237878,3104.0
-2316.543499459559,1947.0
-3479.934644609897,998.0
-12.889985645950219,3742.0
-3008.5858365616505,1476.0
901.4844084046372,4316.0
2203.9432030302505,5536.0
1232.9574099561723,4692.0
-4116.328197474025,594.0
1661.4779264863537,5202.0
3170.7793682094325,6613.0
2687.7054421966886,6059.0
-1277.3658925287446,2517.0
4217.788662707311,8075.0
-6314.820000000001,0.0
Objective Value, Total Weight
613.93990653523,4316.0
964.6767334086999,4672.0
-1820.8221212691333,2378.0
-475.33530861813415,3287.0
-4831.450568030989,305.0
3557.8402531979627,7297.0
2699.709975961412,6069.0
217.28334600402013,3874.0
-2493.945032111418,1699.0
-1196.4349946376906,2685.0
-3437.789368984646,996.0
-4116.328197474025,594.0
-2111.0174093251644,1980.0
-5576.3995245285105,99.0
-2939.785501253634,1396.0
2185.1331302623094,5518.0
1638.6214247785783,5080.0
3323.3031264123074,6696.0
4065.0329789027383,7996.0
-6314.820000000001,0.0
Objective Value, Total Weight
110.78659566134957,4041.0
-364.57748912154875,3560.0
-1052.9697557146374,3137.0
-2632.095447810305,1660.0
3177.938028659384,6687.0
1035.61160734426,4541.0
626.0938235465383,4245.0
2057.207462456028,5597.0
1558.2792075775087,5004.0
-4342.092522555343,492.0
-1548.979331928781,2374.0
2640.2566851294914,6102.0
-2140.0603180928347,1952.0
3636.2784309834906,7280.0
-3698.2759928872774,896.0
-3156.71953018545,1220.0
-5677.041555424806,98.0
-4963.848596261255,196.0
4172.642491321354,8029.0
-6314.820000000001,0.0
Objective Value, Total Weight
-1719.2933033275149,2392.0
-772.7758569703747,3125.0
-441.47154586706165,3639.0
-2711.553584452193,1519.0
1749.8928355343132,5325.0
728.4415456495535,4456.0
243.3158150721356,4102.0
2635.6100771755573,6114.0
-1168.9637089353118,2725.0
-4104.608468716662,593.0
-3505.529833635197,1055.0
-4757.430361700347,413.0
-2108.7317920025307,1972.0
1318.264223005829,4844.0
2246.9671341605645,5811.0
3126.516783835993,6649.0
3762.9444938280394,7175.0
4239.216778955413,8009.0
-5510.4930931739755,8.0
-6314.820000000001,0.0
Objective Value, Total Weight
-2092.1072322411155,2161.0
1855.344665024506,5304.0
-694.0441924045081,3596.0
2510.4100619452884,5890.0
-698.0961040447091,3062.0
-3166.443853315419,1257.0
-3708.4413716049576,1069.0
-1259.1190986471056,2645.0
813.0598994646134,4313.0
-2666.3762948610374,1521.0
1241.3703976332263,4765.0
106.80107666644653,3751.0
2881.684891811824,6240.0
-4987.319584567488,303.0
-4241.463391945715,493.0
3397.2997507934333,6917.0
3819.3561355811316,7321.0
-5677.041555424806,98.0
4246.110540378439,7948.0
-6314.820000000001,0.0
Objective Value, Total Weight
945.6736681248422,4688.0
1723.3633570412185,5377.0
-1932.0597516531052,2103.0
-1564.7208496487929,2365.0
-2400.7566506413987,1761.0
-512.1928841553508,3361.0
109.88462655523563,3779.0
3779.6832161447046,7581.0
-1060.7495991734768,2768.0
-3131.7684195065103,1199.0
-3597.682361437005,897.0
549.7198167623319,4205.0
2785.00679496485,6475.0
3295.4732457655064,6997.0
-4830.264860256522,289.0
-4214.681041514352,601.0
-5611.4618529148765,7.0
2527.3540297232576,6010.0
3884.5165408801568,8067.0
-6314.820000000001,0.0
Objective Value, Total Weight
-2979.085425161572,1367.0
3129.157755782602,6448.0
2029.1938231355916,5598.0
1524.774453880529,5123.0
2495.6201378166716,5859.0
-1904.4659711605054,2072.0
818.4949439627135,4318.0
-3579.34300098772,864.0
297.6881734582548,3786.0
-1226.8307431164085,2661.0
-683.4117009569618,3028.0
-206.19158245473045,3404.0
-2388.221505440779,1669.0
-4127.435307352133,540.0
3599.2529414804894,6936.0
3899.2234495239263,7466.0
4260.633048208445,8156.0
-4872.82918885041,350.0
-5610.559491157403,7.0
-6314.820000000001,0.0
Objective Value, Total Weight
-887.3822464474688,2973.0
-515.198396662302,3449.0
-3793.178840249604,816.0
-2804.8687416171515,1484.0
1251.1861495325156,4742.0
-1404.582024518627,2413.0
54.436597935572536,3705.0
-5510.4930931739755,8.0
-2210.5315774309174,1906.0
3641.305602075031,7011.0
683.4407476616998,4191.0
1680.0821590206042,5115.0
2706.164453065483,6044.0
-4628.671464201962,291.0
-3321.2604821872455,1119.0
3201.0433970014883,6531.0
2286.8970940114623,5622.0
4111.635994895268,7584.0
4382.994668754138,8173.0
-6314.820000000001,0.0
Objective Value, Total Weight
-43.09709122896584,3566.0
510.32294633890615,4083.0
1496.7509560310418,5034.0
-850.7516863993287,3149.0
995.6919238301489,4416.0
2404.047819028601,6134.0
-2909.8278288171605,1394.0
-3288.132903770159,1139.0
-1784.7046454205165,2151.0
