Objective Value, Total Weight
3359.7957744011965,7280.0
-3144.5960442798805,1182.0
-2039.5977159907552,2026.0
-3031.173287286708,1909.0
-40.703556338844464,3622.0
-675.947812886382,3371.0
3265.19659393216,6580.0
3931.075862016073,7404.0
1798.810616433373,5206.0
-986.1343276844718,2841.0
2792.5568477322477,6092.0
-5275.874933373688,389.0
-4532.295173346086,579.0
-3897.9343583659765,983.0
2313.311351046679,5625.0
717.5527462768678,4337.0
-1449.6693634379362,2448.0
1385.7127743455785,4806.0
4386.596271474738,8296.0
-6314.820000000001,0.0
Objective Value, Total Weight
161.3261072725154,4028.0
-1981.9278157852505,2758.0
-2691.252110810993,2041.0
-1307.302876620537,2790.0
753.8551024757462,4314.0
1798.304598804928,5341.0
2839.7156752145493,6729.0
1196.0952138210278,4884.0
3244.4883526659287,7280.0
-1984.5026562730382,2201.0
-3484.451702520566,1293.0
-493.50338411335906,3449.0
3761.860142561466,7349.0
-2926.8232229788773,1351.0
-3923.245489596655,942.0
2446.4878211395717,5930.0
-4767.413300983068,406.0
-5514.223815306902,216.0
4387.903899925732,8132.0
-6314.820000000001,0.0
Objective Value, Total Weight
2625.8288005440154,6334.0
-1141.0606709922058,2859.0
-3523.01091452347,1150.0
-2946.5468743781785,1712.0
3311.767870510197,6535.0
-2440.9614454578723,2079.0
1511.6415229933236,5226.0
3812.5312470180434,7531.0
2169.6013373469286,5734.0
-1360.3482399502027,2599.0
-766.189674678848,3061.0
-4395.707276469985,803.0
-1908.7402092333195,2267.0
-157.87795576541612,3562.0
996.6845729373917,4763.0
484.56883419104724,4223.0
-4914.706302340915,403.0
4340.33281902061,8218.0
-5571.788339498025,106.0
-6314.820000000001,0.0
Objective Value, Total Weight
-3827.2530486990527,898.0
-19.367270071378698,4191.0
2765.4355970024862,6218.0
-1414.8477876944817,3071.0
-789.7004997249205,3284.0
3399.474126386589,7177.0
721.4096257755045,4259.0
1471.221408367146,4925.0
2298.735325444175,5632.0
-127.25147360371648,3659.0
-2595.759761239583,1787.0
-1830.4095822435047,2296.0
-5165.4504278019385,194.0
3378.9697818837167,6614.0
-3080.4676412429853,1387.0
3943.159437599922,7334.0
-4493.349772342415,646.0
-5712.110862447686,6.0
4396.231749334482,8115.0
-6314.820000000001,0.0
Objective Value, Total Weight
-2998.6288538034178,1449.0
-2641.6368356677312,1771.0
-1280.6388342202126,3253.0
2136.893090229166,5540.0
2605.445791695205,6186.0
-2179.730992181574,2168.0
-1680.9894978533166,2608.0
-484.0074040701729,3580.0
933.753703386812,4496.0
4003.3498847928986,7483.0
222.11585964338155,4049.0
3565.8016303327295,7093.0
-3988.347118169758,740.0
-3352.3040198340823,1144.0
1495.454854183904,5084.0
3219.8765891240528,6550.0
-4715.143820162589,336.0
-5422.115997183753,154.0
4375.17858873908,8227.0
-6314.820000000001,0.0
Objective Value, Total Weight
3695.714528704015,8016.0
-636.7690313806061,3478.0
2735.2284967109317,6471.0
3.556426993738569,3736.0
2361.412689398032,5805.0
1051.5072994699112,4609.0
3668.461940451798,7522.0
-1210.4195915210175,2892.0
-1701.8132811248242,2490.0
1899.9703586165006,5238.0
3307.9227100316502,6735.0
-2259.583717102915,2125.0
-2734.5231166661542,1725.0
-3281.0160153609713,1218.0
622.95230308377,4258.0
-4592.452605477431,496.0
-5465.862959794756,191.0
-3971.764194133668,928.0
4387.903899925732,8132.0
-6314.820000000001,0.0
Objective Value, Total Weight
-2340.403151055052,2258.0
1112.5794255793353,5234.0
-4811.229307889972,342.0
3035.784571372762,6453.0
1620.4416046025908,5241.0
-601.6637163123605,3053.0
3461.3450945577024,6916.0
2121.4297075198683,5667.0
-3557.877338843178,1081.0
3949.8762217393614,7543.0
433.90500394335686,4116.0
1023.4809699721645,4524.0
-4229.300990307944,743.0
2614.3570301462005,6063.0
-3056.8931715199824,1483.0
-60.268613768946125,3554.0
-1394.7049785682866,2749.0
-5571.788339498025,106.0
4374.798347493441,8132.0
-6314.820000000001,0.0
Objective Value, Total Weight
1867.8570977117706,5364.0
2259.02692968104,5575.0
-5327.93725057126,229.0
2765.3298337120223,6497.0
-1636.6666655906847,2647.0
-2466.034676534171,1692.0
313.54485393594496,4439.0
860.3175730764078,4452.0
-50.54233197578469,3754.0
-1047.1567654361797,2785.0
2713.7250160864405,6090.0
3555.1801114943237,7033.0
4090.0063725371438,7529.0
1405.1650868964725,4870.0
-3608.376480755511,1069.0
-4339.373343333776,634.0
-398.94312228446506,3274.0
3173.758148761932,6529.0
4365.559913029838,8213.0
-6314.820000000001,0.0
Objective Value, Total Weight
-4568.212638629908,821.0
2465.7474490055965,5765.0
-581.6886093833882,3154.0
309.60872185492735,3989.0
995.3007311380206,4458.0
-4083.59069017787,979.0
-2487.466833938027,1673.0
3550.5923156009712,6832.0
3008.4844306580935,6326.0
-3230.4649682824183,1302.0
1680.362860752276,5020.0
-5596.878887119785,53.0
3978.175392925754,7479.0
2193.9470041864715,5460.0
-1186.4278303936608,2666.0
-59.4691682610528,3602.0
-4980.003796818052,357.0
-1864.0466331093248,2077.0
-6314.820000000001,0.0
4387.903899925732,8132.0
Objective Value, Total Weight
79.62009292129733,3765.0
-2652.5036044885437,1609.0
1595.2690729681917,5294.0
-345.3994198236933,3405.0
-878.0227701975055,2876.0
2760.001659653907,6042.0
3098.9271500541527,6551.0
1005.3208102938606,4760.0
2186.181017729158,5557.0
-1463.6793887861304,2454.0
-2349.428061114465,2072.0
-4534.212919459331,674.0
646.3071861644503,4187.0
-3807.8103143326543,1070.0
3517.4461881148372,7056.0
-3172.731854792106,1206.0
4350.4199844769955,8106.0
3998.191180868216,7520.0
-5178.165611923853,270.0
-6314.820000000001,0.0
