Objective Value, Total Weight
1439.6416323680069,5397.0
1191.4638071221052,5030.0
-532.846306877087,3433.0
-3428.3014333678702,1018.0
-1019.6173132520162,2965.0
2023.5540389198213,5803.0
-4150.014508814919,614.0
3119.1364791936894,7069.0
725.1873792139886,4425.0
267.89494702779575,3839.0
-5076.755120194176,301.0
-2206.6710784314055,2022.0
2863.886347187081,6432.0
2454.212105294071,6005.0
-5712.110862447686,6.0
-1583.2702964544787,2426.0
-2802.923425724416,1422.0
3465.455344773345,7473.0
3831.9407565671245,8100.0
-6314.820000000001,0.0
Objective Value, Total Weight
1453.0993269041956,5824.0
1714.0223339425893,6254.0
-3773.0548541811067,1017.0
-2660.3322249132334,1704.0
-1342.1634004084408,2670.0
-3146.502178210674,1304.0
-948.0038593949657,3083.0
-1804.1685473915559,2270.0
-4179.253508103227,614.0
2173.377951301355,6348.0
976.8255179693033,4766.0
-5475.780607706419,100.0
-4729.303913652756,290.0
-510.51542798402625,3448.0
1433.5948181482781,5329.0
455.0787026381686,4303.0
-60.149508704394975,3848.0
2585.2585475720753,6752.0
2655.6575887854997,7476.0
-6314.820000000001,0.0
Objective Value, Total Weight
1864.3159612808076,5816.0
2678.0990890109897,6797.0
-636.2914726587223,3543.0
674.5825634731136,4597.0
-2431.336559683007,1957.0
-4331.302810141212,491.0
-3853.651875295226,857.0
-2871.3301050674227,1481.0
-151.5021155086988,3745.0
-3345.47769275843,1115.0
297.28983282541867,4111.0
-1768.198255339259,2325.0
1643.0124546211182,5331.0
-1269.0236022281206,2812.0
-5476.700378408282,100.0
2337.403284985119,6233.0
1227.1655818071367,4965.0
3216.450147291389,7287.0
-4930.897399892846,288.0
-6314.820000000001,0.0
Objective Value, Total Weight
2577.9396908111594,6827.0
-2830.2638261198117,1809.0
-1048.5275767547473,3279.0
-5218.821070152546,372.0
-4757.430361700347,413.0
192.245303621301,4183.0
1001.46262732377,5024.0
590.4202713334407,4658.0
1523.3802560313397,5613.0
-2265.436595655393,2123.0
-3251.071082679393,1407.0
-4192.8802667969785,686.0
2164.716098432433,6202.0
-5510.4930931739755,8.0
-256.68412754648216,3817.0
-1761.9810388207306,2545.0
2972.542314116392,7502.0
-3738.4507079886,967.0
3325.4065614901647,8129.0
-6314.820000000001,0.0
Objective Value, Total Weight
2049.043230557104,6371.0
185.283099879558,4551.0
-1851.601617075501,2564.0
-3168.734741860585,1580.0
1807.4705003518611,5801.0
1370.9525334561913,5357.0
894.2205055078111,4821.0
-763.7136703442002,3328.0
-3580.5219057551194,1094.0
-2121.6408349924413,2166.0
-183.5704789403544,3816.0
-2525.710312264445,1979.0
