Objective Value, Total Weight
10381.45092620454,41454.0
-29448.25,0.0
10381.45092620454,41454.0
-29448.25,0.0
6194.58544327259,36638.0
-4940.134314328636,21963.0
-2153.6151988141355,24326.0
-10762.577734060585,15770.0
-8771.202566629225,18032.0
-6557.0966373551055,19729.0
-22386.97887324018,6513.0
9634.165515531051,39159.0
-18502.159094690323,10284.0
-781.3923153057913,26319.0
2959.006207220198,30510.0
4752.471058123105,32574.0
939.4649239523933,27416.0
-20052.74534575677,8533.0
-12665.837503142491,13650.0
-28739.670293717685,737.0
Objective Value, Total Weight
-29448.25,0.0
10393.457398376093,41400.0
-29448.25,0.0
10393.457398376093,41400.0
-11417.380087493853,18477.0
-16954.357587578314,12159.0
9404.713425220994,40222.0
-1757.9056272754533,25453.0
6361.189662232071,37318.0
-9030.934483576311,21326.0
-6074.437987952006,24979.0
-22800.46062156614,6519.0
-24158.31203196233,4911.0
-25725.681844133836,3219.0
222.07947502969182,27449.0
721.3230881688869,28532.0
-18301.782080384462,10194.0
-9534.706386260106,20832.0
-20330.749249711007,8206.0
-5672.660592417909,25383.0
Objective Value, Total Weight
-29448.25,0.0
10385.413184684461,42205.0
-29448.25,0.0
10385.413184684461,42205.0
-18379.823315899266,11272.0
8547.803465113728,39950.0
-13925.578476648603,16059.0
2299.2465603137316,30972.0
4146.298481223646,34684.0
-2932.497467108922,25199.0
-21199.64760631783,8186.0
-7285.95063164852,19949.0
-10025.13481113621,17650.0
-24865.72588013549,4517.0
-22631.864817725127,6627.0
-1417.1948077744019,28309.0
3929.5257728198703,34423.0
-10466.730318284266,16779.0
-4287.537699007589,23698.0
-6853.996652412025,21206.0
Objective Value, Total Weight
-29448.25,0.0
10393.457398376093,41400.0
10393.457398376093,41400.0
-29448.25,0.0
-22601.474888848734,6442.0
-17250.042411837156,12662.0
-10434.67327951199,15526.0
-6923.442192500501,19380.0
5058.465995780847,33944.0
-4497.1751575562375,23031.0
-19759.82953082096,10466.0
-9622.136032104914,16267.0
-1312.9855058841422,25627.0
-22084.054914279022,6688.0
456.16721071783104,27210.0
6821.221855875694,37208.0
-5708.112551525257,21662.0
2018.167303427319,30245.0
9506.300977621191,37652.0
10146.342014312606,40767.0
Objective Value, Total Weight
-29448.25,0.0
10393.457398376093,41400.0
10393.457398376093,41400.0
-29448.25,0.0
4937.941568968185,33874.0
3019.9966532045073,30001.0
-1125.3104421563476,28850.0
-10376.228712859913,20249.0
-13660.345098258811,15506.0
-16251.381658205155,12550.0
-5769.696551858273,21175.0
-19638.264660206085,10049.0
10294.367921739293,40920.0
7499.38439256628,37197.0
7848.641645770556,37571.0
-18307.046338051063,11227.0
-23047.62009022817,8655.0
-2560.731279974403,25911.0
-27328.53250927861,2020.0
-14459.475063919352,14765.0
Objective Value, Total Weight
-29448.25,0.0
10393.457398376093,41400.0
10393.457398376093,41400.0
-29448.25,0.0
-14964.133092585267,11347.0
-9513.5039094729,17920.0
9105.436793110872,36800.0
-19502.131464901875,9215.0
-1087.7070372980015,27682.0
3276.5501481455067,35267.0
-23449.164201242787,5413.0
-26342.50999356982,4000.0
2357.0447232359656,30468.0
1630.1354315276185,29601.0
-2562.683197411694,25495.0
3001.8760068817137,34779.0
-8957.840339614246,18846.0
9325.391519785815,38090.0
-26342.50999356982,4000.0
-6668.1901568060275,20485.0
Objective Value, Total Weight
-29448.25,0.0
10393.457398376093,41400.0
-29448.25,0.0
10393.457398376093,41400.0
-25063.665926771904,4820.0
345.1867013636147,25870.0
-1581.0368070299082,23390.0
7287.850422115982,38791.0
3913.5231502189054,31346.0
-14608.412849186061,12666.0
5757.883951690237,34007.0
-7466.9384357280505,22378.0
-11626.37111919473,16863.0
-18714.898231304323,9451.0
10228.172888223846,40906.0
-11335.23971180118,17338.0
-26797.354633415343,2460.0
-18714.898231304323,9451.0
4591.489320314584,31908.0
-27889.24113782215,1300.0
Objective Value, Total Weight
-29448.25,0.0
10381.45092620454,41454.0
-29448.25,0.0
10381.45092620454,41454.0
-3463.445232929327,25191.0
-9543.905098890551,18834.0
-26400.90400929031,3212.0
-21801.599646371298,8190.0
-18196.1232069077,12547.0
-14034.422912213588,14848.0
-11976.851097465049,16685.0
3058.055636829333,31421.0
-24116.353522485628,5208.0
5641.510125819012,35191.0
8962.744750297068,37855.0
-17246.790078274396,13563.0
-29247.247288729865,2.0
8241.144219309732,36431.0
1247.1872128560208,27421.0
-22823.42460810033,7215.0
Objective Value, Total Weight
-29448.25,0.0
10393.457398376093,41400.0
10393.457398376093,41400.0
-29448.25,0.0
-8623.758314276478,17860.0
-12205.591643752705,16902.0
-5991.258765497376,21370.0
-800.9862800015544,26207.0
9445.991282936222,39526.0
-15513.995556058515,14455.0
-25342.80718773428,4036.0
-29267.92099280161,101.0
4091.2616200350094,31611.0
-3449.5292631035118,22869.0
-17179.044238483846,12979.0
-18223.873599187104,10345.0
-1734.2925720691928,24661.0
7597.014361668524,34068.0
2226.9654909447927,29977.0
-19740.650861344122,9366.0
Objective Value, Total Weight
-29448.25,0.0
10166.546081566754,41330.0
10166.546081566754,41330.0
-29448.25,0.0
4896.058737832413,34172.0
9884.24910173707,40320.0
-4690.9942390348515,25583.0
852.2107991472876,27434.0
-13458.217063423108,16341.0
-7324.760366457755,21366.0
3359.824191185704,31187.0
-9934.688119088612,17733.0
-16478.706670021937,12570.0
-20850.086109768912,7526.0
-18457.595751611545,10317.0
-10100.398982695078,17632.0
-6004.325467976683,23073.0
-15206.252129417051,13761.0
1607.172638446733,28612.0
-22093.49559763042,5972.0
