Objective Value, Total Weight
-7723.828887382937,18947.0
-9211.790209099992,16744.0
8572.306899079726,38900.0
7264.51832038616,36981.0
678.1130409953257,28316.0
6237.774865344778,34192.0
-12906.856090595538,13177.0
-591.9144943288338,25215.0
-5358.298155754121,19282.0
-11565.014615128384,15564.0
-2470.6430619943567,24418.0
-18918.64076415999,7668.0
-25173.07026790812,3320.0
-15199.21678077478,10855.0
2920.6554311316213,28657.0
-3364.3407958594325,21549.0
4365.64150086372,30954.0
-16673.205322256825,9316.0
-21401.524773575013,5506.0
9940.995842717966,40609.0
Objective Value, Total Weight
223.34173714681674,25768.0
3056.0404389806718,28499.0
-5562.674608847978,20302.0
-7705.932213062326,19486.0
-15348.106928946618,11325.0
-14485.139267734146,13587.0
-4138.772068317099,22600.0
-9477.56462981835,16541.0
-12039.195291220305,15087.0
6526.997806907551,33421.0
3133.520917978334,31458.0
-1527.2574211584506,24379.0
-27086.354315165845,955.0
-21789.778778758886,6179.0
-25182.664830060712,2775.0
-19874.195324014254,7944.0
-23355.964606560003,4322.0
-17506.682939597402,9144.0
8841.910306952457,37126.0
9877.481528348857,40874.0
Objective Value, Total Weight
6495.504706020838,35258.0
-3821.3960000581355,24996.0
-13497.66115987952,14069.0
7320.754901505294,37773.0
-21099.315837180467,6869.0
-15468.780692517095,11795.0
5611.081869578375,33392.0
3103.019404949031,31515.0
-1821.1672298808335,25218.0
2359.275417128105,28484.0
-11114.939107959508,15831.0
-17477.76070547776,9310.0
-8103.932429711109,19124.0
234.80874384137132,28017.0
-4207.34419488674,21657.0
-9617.47251307116,16989.0
-26830.217953221632,1534.0
-23779.823803312767,3541.0
-6105.6816980863805,19461.0
9736.799798769905,40994.0
Objective Value, Total Weight
-10483.733054501063,16356.0
-8804.866101053398,19415.0
-17478.212216839274,10618.0
-13331.610905078182,13141.0
-18726.47480694306,7762.0
-22094.69758176487,5864.0
8138.008049074495,37286.0
-2960.5874729173593,22850.0
-15828.796632288126,11163.0
-1034.4059707526176,25527.0
1183.9313099170395,28282.0
3322.0087954126284,31032.0
6070.7216405105355,34674.0
8880.160917394867,39652.0
-6622.192260277603,19566.0
-4735.701053143974,21497.0
-24004.994110230513,4262.0
5148.878294295668,31999.0
9877.363347888488,41766.0
-25508.328671245883,2313.0
Objective Value, Total Weight
4636.408906609606,31442.0
-4985.734092561383,21219.0
-1737.236203644854,23607.0
-10626.992378901246,15755.0
1332.3758169567081,28777.0
-8974.751381980728,17541.0
-15323.21720475462,11237.0
8240.86263487595,38820.0
-7104.409392602727,19243.0
-19997.062688337013,8509.0
-17658.343043319088,9074.0
3391.0941172560124,28918.0
-21553.208350464567,5818.0
-12820.490850987579,13369.0
421.6128572818852,25430.0
-23162.13063153774,4406.0
8044.822479299473,35653.0
6439.738283469967,33485.0
-25274.36287217888,2253.0
10095.83847567936,42518.0
Objective Value, Total Weight
-7735.276676126312,17966.0
-17239.019479349918,9497.0
4689.146299038366,33111.0
-16131.300835716906,11004.0
-4038.4533200044607,23127.0
-4599.83764906483,20891.0
-377.1223164984913,26358.0
-2167.866321833375,24263.0
7177.429843985687,35245.0
9489.386984984914,38571.0
-21443.40676888389,6033.0
-11283.958361205292,14292.0
-13906.25470878213,13353.0
-18854.09589382629,8098.0
-23527.160511379876,4363.0
2568.178609743125,28461.0
4662.980226809879,30584.0
-9328.506359976094,16040.0
-25960.19697641016,2096.0
10097.654529742984,41587.0
Objective Value, Total Weight
-9254.59157192404,15796.0
3020.185384202676,31420.0
5194.061063403649,32379.0
-14464.47786092791,13082.0
-16414.833275708326,10598.0
-22857.73874287589,5829.0
-8160.046383553265,18142.0
7500.092882749916,36568.0
-266.57679341452604,26077.0
8704.537866358347,39512.0
-5956.846427485703,20033.0
-20612.18806206794,7863.0
-3884.6844734168335,22275.0
1736.6638296487945,28905.0
-12010.94822427646,13277.0
-1816.9105588619495,23621.0
-18125.565744037063,8676.0
-26138.67684889174,2025.0
7007.433249945745,33873.0
10065.894388882552,41360.0
Objective Value, Total Weight
-19234.13791132983,7909.0
-9009.08632672856,16574.0
-16747.81089743091,9209.0
-3659.005628362691,23403.0
-1116.461451423158,23947.0
-6722.207439237354,18563.0
3061.51374581494,30156.0
-5064.8887167590365,21720.0
7082.532915838914,34604.0
-20670.32466305084,6445.0
-22928.597801350275,5781.0
1141.8670274173273,27482.0
8778.745369879325,37428.0
-24411.401683828182,4223.0
5225.321072374914,31512.0
-10784.976104840654,14178.0
-14748.556954447075,11133.0
-12771.255177650062,12655.0
-26313.83914513336,1869.0
9507.468389094684,41595.0
Objective Value, Total Weight
-10724.941885997057,14846.0
-2423.4032444442855,25299.0
-3788.5600745360134,22997.0
-20778.69389806917,6558.0
-16075.868810342308,10295.0
-13319.68076178697,14217.0
-9224.903424499971,17572.0
-6394.20527571431,20094.0
-15204.173882818155,11986.0
1734.8621968750667,27481.0
7092.9098322893915,34704.0
-464.121185210206,25994.0
4955.677423304602,32944.0
8340.842470931522,38912.0
-18663.43331530457,7618.0
3518.313893933111,30187.0
8204.321871274806,36433.0
-26604.897871631667,1894.0
-23989.75095416228,4186.0
9988.394916521567,41498.0
Objective Value, Total Weight
-9127.395203686243,16941.0
4234.046902660331,31537.0
-1822.1329805582936,25332.0
6953.762786498097,36854.0
-16479.011566726782,11731.0
-11480.524112706764,14582.0
-23706.939009693077,4373.0
2702.117937790914,28964.0
-16558.965193893662,9512.0
-21314.107201163002,6972.0
-6525.155913800729,19170.0
-14729.62191287084,13947.0
-4788.12728082078,21841.0
251.89083761756774,27304.0
-2468.6361283578517,23009.0
6386.237378026715,34224.0
8972.408774126074,37831.0
-18777.23968096319,7859.0
9924.325531673276,41219.0
-27471.96839423445,940.0
