Objective Value, Total Weight
-18868.86673721118,8196.0
-10172.677150452091,16285.0
-14886.140445707384,11566.0
-3685.462201946444,23463.0
-16704.084283321063,10453.0
-11607.788525722528,14881.0
-4842.003427519085,21970.0
-8211.322602388631,18802.0
-2318.0792406528053,24831.0
-719.5788702857099,26735.0
-13990.12670911731,12973.0
-6636.803741576128,20445.0
-24723.401583679504,2887.0
-21132.40028285126,5983.0
-22814.74258690135,4492.0
884.8313777867006,29156.0
2807.7318473320847,30961.0
-27678.94219915116,1094.0
-29448.25,0.0
4248.898149725974,33534.0
Objective Value, Total Weight
-18311.712805422852,8527.0
-16513.742855602148,9811.0
-2798.3209398157633,23730.0
740.4290608552037,27516.0
-23992.205614810944,3672.0
-20368.006534335338,7695.0
-5296.375516494227,20714.0
-11040.961960276196,16070.0
-11737.83607735344,14118.0
-8573.335833881458,16898.0
-7525.737418008568,18865.0
-14605.022007962285,11579.0
-22059.429891247713,5165.0
-12993.38523059859,12676.0
-27081.439016854252,1406.0
-25340.925707577146,2543.0
-940.0046635429026,25953.0
2338.3836853133616,30473.0
3870.775482424695,32805.0
-29448.25,0.0
Objective Value, Total Weight
-13565.555880485812,13336.0
-23617.295504808015,4253.0
-24967.636251611202,3356.0
-9404.838964357037,17426.0
-17515.712890336614,10104.0
-11814.690785169601,15313.0
-21153.870118116796,6541.0
-19269.4847038986,7995.0
-15321.098249621005,11342.0
-27206.225341655314,1726.0
-420.358754517154,29041.0
-5391.435296824733,21566.0
-3765.9145612808134,24800.0
1537.9797211126352,30959.0
-22405.16857571937,5214.0
-7280.608442582314,19962.0
-969.3309328937175,26673.0
3058.481580600128,33261.0
3975.407295940662,36158.0
-29448.25,0.0
Objective Value, Total Weight
-14012.35239321943,12271.0
-15776.020641646712,11832.0
-24929.451236072422,2984.0
-10388.02248973487,16357.0
-12065.628059591563,14203.0
-27094.555369889305,1439.0
-17390.244710896754,9715.0
-7878.574459314979,18667.0
-4780.684476054281,22992.0
789.8031241711287,30484.0
-2941.4863113173196,24551.0
-21522.53161990109,5979.0
-22866.97376510852,4689.0
-5989.4158049320395,21030.0
-19202.09058872512,7442.0
-1636.1149112280546,26307.0
2363.267486551398,32815.0
-54.731649485787784,27790.0
4256.993101306631,34368.0
-29448.25,0.0
Objective Value, Total Weight
-12371.984952795752,13187.0
-15624.703274157779,11456.0
-5734.546483770322,20383.0
-7232.556670132959,18692.0
-16474.93617509731,9586.0
-27244.859744065827,1141.0
-20514.541169574415,5848.0
-3012.47179987072,23278.0
-10949.44163200373,14752.0
-4457.088571279288,21749.0
-23221.324018221443,4321.0
-18576.10671621416,7306.0
-25240.591938670066,2293.0
-1226.8480665069,24460.0
-9077.942717386279,16536.0
2482.9991400764193,29508.0
176.61362674275733,27316.0
4071.200099838461,32366.0
5281.838704642789,35370.0
-29448.25,0.0
Objective Value, Total Weight
-25711.646215145985,2304.0
2792.21302922623,30188.0
-17978.80858441141,10058.0
-1677.2223385834805,24586.0
-12006.53529868387,13634.0
-22896.78472573379,4589.0
-8967.99479254115,17126.0
-18458.98428317999,8256.0
-7048.088696441999,19124.0
1494.3362217661925,28427.0
-24807.89429556422,3488.0
-16462.768840354955,10580.0
-20033.54229702442,6615.0
-14535.633615443145,11720.0
-4334.718599584252,21661.0
-10423.382450332978,15256.0
-27805.909208959107,971.0
244.65148559342197,26821.0
4557.003446189221,32397.0
-29448.25,0.0
Objective Value, Total Weight
-9359.850149891612,16508.0
-10768.544439117231,14806.0
-15847.017722604407,10919.0
307.5698479944549,27811.0
4879.0439349439475,34593.0
-20820.86717415263,6261.0
-982.4205116431549,25455.0
-18419.636892949147,7919.0
-14600.859614632132,11439.0
-12838.042068019407,12888.0
-16548.58211447617,9685.0
-3894.0818116434093,21749.0
-26140.87725174545,2413.0
2947.961367038508,31141.0
-2608.9602339568955,23305.0
-7122.912314294226,18807.0
1338.5723341487173,28689.0
-23113.193911564435,4820.0
-5609.424390842956,20432.0
-29448.25,0.0
Objective Value, Total Weight
-12816.215508448404,13042.0
-16346.978403066943,10186.0
-8252.714864708374,17297.0
-6791.8435381344025,18597.0
-5391.16545033556,20461.0
-20586.247036865334,6140.0
-11219.712441741784,15328.0
-22068.454486151804,5006.0
-18751.913779044957,8277.0
-4107.656914779669,21600.0
-23475.15351719341,3790.0
-2614.590429045893,24388.0
-14863.299576294023,12158.0
-580.6874339459537,25947.0
-27369.032664613387,1010.0
3008.790058055347,30676.0
1321.417976005825,28421.0
-25004.9936296554,2570.0
4388.695978343254,32796.0
-29448.25,0.0
Objective Value, Total Weight
-5462.685512672077,19680.0
-20796.227269631967,6346.0
-19499.287620174386,7780.0
-14942.971880829366,10672.0
-17219.727590606846,8777.0
-1239.4759558704318,25223.0
-12999.147690202539,12405.0
-10557.589106513456,14870.0
-2794.128586535975,24043.0
-4267.002813827421,21568.0
-24919.805156191625,2629.0
-21733.65727931408,5058.0
-7071.846953209526,18054.0
-9157.913387701261,16382.0
-23209.12419171172,3980.0
-27633.072869825275,896.0
1388.9380213017866,28319.0
3236.4227295245146,30821.0
4557.968522577423,32941.0
-29448.25,0.0
Objective Value, Total Weight
-26035.372719448376,1870.0
-17859.126306582755,8378.0
-8433.82061902208,17609.0
-12700.865298606455,13382.0
-19805.667501402942,6706.0
-7557.171278983937,18968.0
-14173.128213831256,12040.0
-10850.9135656664,15432.0
-24228.244872164716,3309.0
-16374.958008824033,10079.0
1692.5305749855834,29952.0
-5792.30180940179,19667.0
-3958.373973498121,22038.0
-2188.5315945179245,23998.0
-532.6853337519424,26118.0
-22083.741088215946,4682.0
3236.645425647941,31383.0
1042.9878309997584,27601.0
4299.572927842222,34193.0
-29448.25,0.0
