Objective Value, Total Weight
6028.0093516489505,44845.0
10478.691980837903,52329.0
7269.915430925437,46684.0
5660.564395962283,44315.0
9541.432025713177,50571.0
11744.464399200733,55810.0
8873.662658640576,49356.0
11335.882394872882,54343.0
-1616.7011807866074,35131.0
-280.644117546748,36816.0
-2596.461538939846,34156.0
674.6663134076152,37907.0
4777.5388891806215,43101.0
8203.122769079768,48243.0
1388.8450456906794,38781.0
3469.3671413831835,41400.0
2589.3264492622257,40283.0
-3439.7030008629663,33194.0
-4829.066525388298,31547.0
-6727.705686913774,29471.0
Objective Value, Total Weight
12016.426086599917,56468.0
9297.33158547413,50101.0
-1641.06922388995,35116.0
1366.4931146972158,38782.0
8675.63397319422,49012.0
-631.7239254207452,36330.0
-3161.6576948823713,33459.0
12845.261241072076,58755.0
2429.4323447697243,40078.0
6966.116347315059,46221.0
5776.820169558763,44465.0
384.9657810411227,37568.0
8057.318149257866,48019.0
4337.406289753788,42530.0
11592.171598903005,54755.0
10108.846714631429,51564.0
3401.9225724335192,41316.0
5123.369712730906,43569.0
-6313.626931423547,29900.0
-4558.132492282559,31834.0
Objective Value, Total Weight
11700.740458938802,55713.0
5339.044776594135,43852.0
1661.9525577076056,39141.0
7762.308122725481,47495.0
9807.097801051423,51034.0
-520.3328706870743,36468.0
-5620.8599352255405,30672.0
3452.8176718494433,41453.0
6094.081861302067,44928.0
-4520.119430872859,31947.0
6794.935942005322,46017.0
10927.179500053775,53473.0
8649.303833713893,49019.0
-2388.4996400343152,34256.0
4108.518520773345,42205.0
2536.0273207180726,40216.0
-8605.163328602546,27512.0
619.7465232817485,37840.0
-3461.781491446767,33032.0
-1772.414404589028,34966.0
Objective Value, Total Weight
6966.116347315059,46221.0
-1525.3590864248908,35356.0
11213.812167949589,54077.0
-5610.959428386879,30695.0
9349.979359059762,50263.0
-4853.784068445304,31532.0
6143.276599248951,44995.0
5508.751340996401,44189.0
8287.927302887525,48356.0
7331.023073756813,46804.0
747.4449147996638,37990.0
4678.460289075156,42956.0
3805.988027747968,41863.0
10526.15295856019,52575.0
-3733.6878917254653,32749.0
1690.4725941667202,39147.0
-526.4725617099102,36440.0
2940.230725640802,40703.0
-2950.6360364768334,33566.0
-8267.131815399276,27944.0
Objective Value, Total Weight
3401.9225724335192,41316.0
11571.389112075944,54750.0
483.45987405459164,37721.0
2639.527044211747,40359.0
8391.411977387099,48549.0
9043.528653568093,49795.0
5339.044776594135,43852.0
10178.129499878953,51746.0
10899.383314469473,53248.0
12461.667806973812,57195.0
4553.389770020789,42840.0
7378.329279171754,46871.0
1599.7051891093797,39070.0
-1392.1880028136875,35508.0
6143.276599248951,44995.0
-411.8293835043514,36611.0
-3782.222686565161,32743.0
-2654.919298233879,33973.0
-4885.146474245863,31446.0
-6109.943777304063,30139.0
Objective Value, Total Weight
10077.411884749825,51546.0
11875.802771258299,56148.0
-2171.319395043989,34574.0
10736.07755383345,52881.0
6757.967348781931,45933.0
9297.33158547413,50101.0
5339.044776594135,43852.0
3625.1823025370904,41599.0
6143.276599248951,44995.0
8391.411977387099,48549.0
-905.3670420502021,36049.0
-3064.888914377283,33704.0
1931.2604804129514,39472.0
-74.0449862427995,37093.0
2660.090068962956,40366.0
1097.2730863741963,38464.0
-6445.67388023893,29974.0
4491.0594345034915,42735.0
7583.565424900269,47196.0
-4259.227555111196,32122.0
Objective Value, Total Weight
12322.32738502777,57574.0
5710.383707219233,44382.0
10065.065142258973,51576.0
8490.642924035325,48706.0
-2423.186170431298,34194.0
6610.203666551264,45691.0
2190.7781940723216,39753.0
9312.638862629567,50208.0
263.4398152785361,37377.0
11672.26095517748,55077.0
7500.0955861180555,47166.0
4777.5388891806215,43101.0
11022.39340923362,53575.0
4108.518520773345,42205.0
3279.7449148578235,41166.0
-502.9920349783861,36559.0
1334.477420026713,38714.0
-1681.789466203394,35068.0
-4473.244294147051,32015.0
-6440.737837539775,29698.0
Objective Value, Total Weight
-2950.6360364768334,33566.0
9899.828322770001,51221.0
8166.8131985552245,48313.0
9028.529163938889,49669.0
4108.518520773345,42205.0
-881.5478462420069,36005.0
7649.866806531558,47341.0
11051.215981263078,54369.0
4678.460289075156,42956.0
263.4398152785361,37377.0
6092.75529640793,44965.0
3425.1195019278894,41331.0
-1616.7011807866074,35131.0
-5656.933505292654,30610.0
-10256.04539422143,26037.0
2190.7781940723216,39753.0
-4143.570645313499,32282.0
-8583.019318989907,27536.0
1484.8147354336688,38879.0
-7567.553179469076,28534.0
Objective Value, Total Weight
4678.460289075156,42956.0
-3004.810340291813,33738.0
8675.63397319422,49012.0
10308.620403721638,52073.0
11860.718133363145,55440.0
3425.1195019278894,41331.0
2190.7781940723216,39753.0
11063.64857994947,53726.0
8147.684393742376,48186.0
-528.3781585554752,36491.0
9848.717238756064,51101.0
1484.8147354336688,38879.0
6456.52663959434,45458.0
5339.044776594135,43852.0
7269.915430925437,46684.0
-3466.488296971671,33017.0
-4658.609825724132,31846.0
-1884.932146415027,34843.0
509.8299444356162,37702.0
-6446.473047764768,29736.0
Objective Value, Total Weight
7885.544099136088,47684.0
-3877.4337981436183,32654.0
10108.846714631429,51564.0
9724.428368303023,50896.0
12668.11926950069,58388.0
11882.774792399068,55750.0
8818.124135371356,49236.0
11470.850430671082,54689.0
2190.7781940723216,39753.0
-98.94534568915697,36955.0
6399.747219345445,45403.0
4002.5513453575477,42082.0
981.9382575865966,38251.0
7245.470962708961,46776.0
5561.099920968722,44177.0
2885.2042014266553,40649.0
-1641.06922388995,35116.0
-2885.511783888891,33629.0
-5132.800982572502,31185.0
-7105.2611338476345,28985.0
