Objective Value, Total Weight
-42830.65,0.0
5675.801914798249,55723.0
5675.801914798249,55723.0
-42830.65,0.0
-26714.175194044517,14415.0
-5573.739936347898,37594.0
-1361.4995357461812,44555.0
3931.2578642516746,52271.0
-36021.16537303179,6549.0
-7550.593228517144,34540.0
-34397.54288537471,7036.0
-34397.54288537471,7036.0
1477.015872142154,48333.0
-25829.605029081467,14530.0
-40175.09245070821,1920.0
-13774.533533119953,27093.0
-15855.588753011092,26673.0
-40175.09245070821,1920.0
-12113.80590026403,29717.0
-17690.602080136094,24345.0
Objective Value, Total Weight
-42830.65,0.0
7049.397508544964,57453.0
7049.397508544964,57453.0
-42830.65,0.0
-9644.97835833102,30662.0
-17718.405206351068,23353.0
-4839.038907032664,36306.0
-39148.49696969068,3982.0
-7923.573933553547,32324.0
-4289.472497440038,41156.0
174.43667250284489,45317.0
-23492.85545593597,16926.0
-34112.779973721284,8880.0
-19054.632815731216,21603.0
-21141.027501764336,19605.0
-26587.40438334238,14405.0
1810.1825504960652,47315.0
-36283.381593220154,5915.0
2456.524568083645,49916.0
5566.866321714901,55244.0
Objective Value, Total Weight
-42830.65,0.0
7279.722296311767,58901.0
7279.722296311767,58901.0
-42830.65,0.0
-24766.580889908255,15510.0
-18399.865389257873,21425.0
-29457.10632653503,11777.0
-4173.084968148549,38322.0
881.8746781148948,45645.0
-2239.701297524618,43029.0
-33517.5802646114,8015.0
-30114.061719383426,10624.0
-16612.010005304495,23840.0
-7871.229378522599,34782.0
-11088.129292068981,31283.0
-41302.380117843146,1377.0
-7871.229378522599,34782.0
-39778.83346326859,3870.0
-12626.470995629243,27602.0
-3207.741765819519,40222.0
Objective Value, Total Weight
-42830.65,0.0
6162.896961634775,56127.0
6162.896961634775,56127.0
-42830.65,0.0
-28450.507100392126,11957.0
3787.5299692422486,50063.0
-8511.065846754442,34273.0
-17390.040295168583,22780.0
-5567.317180745595,39009.0
-33033.51405180044,8469.0
-22155.67021886933,18905.0
512.9307417286691,44249.0
-37614.02661134253,4215.0
2011.9933726567688,48063.0
-19435.772831479102,21062.0
-24766.740103188036,16379.0
-10975.828742798381,30945.0
-36285.117715129425,6948.0
-3031.6855078601075,39787.0
-26344.444694934828,13675.0
Objective Value, Total Weight
-42830.65,0.0
7719.35821418689,59351.0
-42830.65,0.0
-12032.369680609416,29543.0
-17214.326677899757,23496.0
-22667.159095971707,18204.0
-9889.50185177799,32077.0
-37931.94631447688,5118.0
-27060.31927391477,14464.0
-6147.468584817456,35189.0
2983.1183338574556,48414.0
-495.62262007216486,42988.0
830.7806856449752,44341.0
4508.338400213739,50434.0
-28102.937402442723,13312.0
-20228.926958191296,20211.0
-5960.31934042379,38440.0
6178.319359677771,55404.0
6054.057952089301,54193.0
-18686.429735146725,22591.0
Objective Value, Total Weight
-42830.65,0.0
5384.327025687031,53928.0
5384.327025687031,53928.0
-42830.65,0.0
-15088.731379275036,25696.0
-37586.39429355678,4150.0
-37586.39429355678,4150.0
-552.7609957832901,44418.0
-29269.93667070112,11348.0
-11161.454447703436,31235.0
-29269.93667070112,11348.0
-18775.477332165305,22568.0
-21071.505192291064,18882.0
-2560.5691050624955,39992.0
-26257.030271110532,14279.0
1602.543916386101,47854.0
3925.4647927014666,50408.0
-7340.185557806857,34984.0
-9778.961553260931,33600.0
-23973.885341029112,16507.0
Objective Value, Total Weight
-42830.65,0.0
6273.094836997414,55722.0
6273.094836997414,55722.0
-42830.65,0.0
-36711.042190158216,5397.0
-17996.67281130205,22748.0
-10063.81934756109,30652.0
-6307.783871305597,36077.0
-28988.215622760465,13005.0
-8876.223428432007,31776.0
-3084.6414100805705,40142.0
-32737.825648119804,9445.0
3791.8079904076003,52092.0
2510.8634228997835,49104.0
-32930.94005240165,8498.0
-23811.172455263608,16455.0
5487.614919959735,54598.0
-20312.092974145577,20724.0
-97.87408185505046,45260.0
-27519.3422029613,13595.0
Objective Value, Total Weight
-42830.65,0.0
6082.388663004327,55040.0
6082.388663004327,55040.0
-42830.65,0.0
-31836.57125817035,10277.0
-26521.54788116157,14863.0
-21006.20291089043,20617.0
-7880.542387470377,33899.0
-36808.00823693599,4676.0
-10259.400209904758,31557.0
-2285.8421743787694,39337.0
-41063.913660330145,1778.0
-12398.079714098822,28854.0
4268.384833354503,51364.0
-281.7358513715735,42517.0
-37552.30283297128,4188.0
-15382.185402168085,26104.0
-17275.265922606828,24108.0
-4439.70096113997,37095.0
-14414.129785972713,27662.0
Objective Value, Total Weight
-42830.65,0.0
6636.60071170306,57535.0
6636.60071170306,57535.0
-42830.65,0.0
-6022.104304649976,36797.0
-18608.10278162745,22474.0
-14686.926567565555,25984.0
-9888.948018265699,31973.0
-23193.304087920253,18971.0
-29465.86046840289,12263.0
-34456.138776982094,7801.0
-833.7882586999258,45066.0
-37616.99182390798,5048.0
-26106.493370758188,15285.0
1793.2469318033545,49263.0
-2493.6352747285855,43068.0
-39108.411664680214,3101.0
-24413.499226263353,16340.0
3233.155785838615,53508.0
-2493.6352747285855,43068.0
Objective Value, Total Weight
-42830.65,0.0
7104.467601693599,54311.0
7104.467601693599,54311.0
-42830.65,0.0
-26253.375296825565,13885.0
-20467.849470277666,19248.0
900.8111438589985,46187.0
-39578.36006292634,3556.0
-28608.097780988843,12650.0
-36868.02479323741,4777.0
4852.180851252226,50967.0
-32189.2187890324,9108.0
-18921.291874845323,20749.0
-14366.019499231486,27225.0
-4715.898357740858,38166.0
-471.94661745308986,44652.0
-2364.1360044907487,42088.0
-9310.338173143726,32783.0
-11294.695483525044,30214.0
-12082.776782339359,29340.0
