Objective Value, Total Weight
-7781.379137744203,34594.0
2155.6155398210103,45114.0
4932.853287376565,48630.0
-35823.86337017927,6283.0
7626.986838519231,54033.0
-4847.02450799456,36549.0
-30331.76085853146,10371.0
-27455.630158786174,12919.0
-267.4711620037342,41436.0
-20150.244505489245,19371.0
-15280.777818316768,25843.0
-17628.077059277035,23340.0
-12376.722950723197,27451.0
-24407.322949580244,15679.0
-39145.98504396548,3549.0
-2294.1770788399954,38722.0
10052.003240406593,57880.0
-9727.503378445377,30320.0
11672.157273054137,62042.0
-42830.65,0.0
Objective Value, Total Weight
-30553.321977815365,11823.0
-14600.951766568869,25632.0
-20929.064390906016,19029.0
-17615.481327278998,21878.0
-5207.725033761359,34478.0
-31982.852190784484,9604.0
-7498.491385732777,32451.0
841.7785008829815,41872.0
-26714.11700247787,13403.0
-10367.737719008452,28843.0
-23445.252024344118,15982.0
-2373.367483194408,37546.0
-35677.24117826751,6296.0
3165.8583009888316,44485.0
5714.469883659374,48324.0
-38956.43679601308,3694.0
6219.676220342619,53116.0
9447.430639795974,58276.0
11455.884003114028,63468.0
-42830.65,0.0
Objective Value, Total Weight
-29428.731346735876,10941.0
5665.767319488652,49777.0
386.6447968419816,42081.0
-36818.004815206776,4710.0
-8860.326511045962,31793.0
-34381.56830649518,8526.0
-12732.513429511077,27369.0
-25941.027891950034,14256.0
-23284.206771938865,16489.0
10879.20019459814,59208.0
-5783.187365251622,35286.0
3002.0276422164025,45977.0
-21143.109463126144,18838.0
7964.231008943621,56724.0
-3020.3562075424707,38142.0
-40035.49258855097,2042.0
-16080.401227773167,23609.0
7894.68481805078,52508.0
11940.643379497196,63484.0
-42830.65,0.0
Objective Value, Total Weight
1822.085394278758,47323.0
-4543.203581434231,36750.0
-24173.209141985237,17130.0
-39401.10030695477,3778.0
-12155.827537852863,29209.0
-8219.01297101209,33229.0
-31333.085248201554,10743.0
-34573.77391373577,7302.0
-1966.0480754072123,40155.0
-27551.64503699248,14528.0
4078.0184487443184,49600.0
-17868.895443200767,23368.0
