Objective Value, Total Weight
17774.406447557667,39431.0
17366.024140180256,38828.0
18338.75003197939,40252.0
16455.080756425756,37560.0
15981.634191260164,36957.0
13327.93859815548,33943.0
14434.040687314424,35121.0
12635.434175615628,33203.0
14952.99615352256,35724.0
10729.421585857453,31306.0
11997.912106002215,32576.0
16909.81143850062,38170.0
15463.022160563545,36334.0
9391.350263584369,30005.0
13819.94952201558,34494.0
8233.013528282849,28994.0
7267.636112474116,28120.0
10050.307537489498,30632.0
11487.392369365567,32025.0
8995.947956902783,29640.0
Objective Value, Total Weight
17581.365967604368,39256.0
11559.903950371925,32251.0
18244.318264857626,40575.0
14670.354637975433,35520.0
13205.26958554158,33926.0
10405.88267640386,31100.0
12346.134871374903,33022.0
15224.022952446896,36172.0
12699.812784485868,33408.0
17033.46785442344,38435.0
13599.481467358171,34328.0
16267.468503437885,37482.0
15669.446719965694,36678.0
8251.571614194116,28958.0
10899.87135410749,31582.0
14306.939207896867,35104.0
9570.148604099879,30306.0
9067.65901226466,29820.0
7291.73708578464,28104.0
6090.759916344337,27112.0
Objective Value, Total Weight
12803.312234965888,33823.0
10103.097948254093,31003.0
14779.402614251769,36006.0
11343.033929570425,32198.0
13601.11549329685,34644.0
14133.926684655991,35257.0
15097.380173854057,36358.0
16464.326514484594,38088.0
17868.870042781266,40169.0
13055.478852598288,34034.0
18297.36257974474,40988.0
16906.647387063967,38701.0
15883.938208397485,37339.0
15397.507839081489,36726.0
17494.889201172387,39556.0
11919.313513008354,32808.0
12483.084955690174,33421.0
10938.538589083852,31808.0
8403.29494700428,29408.0
9138.49152192747,30128.0
Objective Value, Total Weight
17422.818828253978,39105.0
9726.645062190408,30400.0
17953.35925868099,39895.0
7424.165086453366,28110.0
11809.889348875819,32416.0
14168.89178086535,34937.0
10596.797475363514,31135.0
13637.489434308874,34334.0
11166.725128869097,31738.0
7946.048135548568,28596.0
15457.111605693775,36416.0
8743.617031617367,29330.0
16708.261505521325,38035.0
15945.74708427734,37019.0
14878.480920883187,35738.0
12463.745361419358,33053.0
13016.226442927262,33656.0
6488.106491733459,27315.0
5964.410167183465,26789.0
3826.568883936263,25346.0
Objective Value, Total Weight
9740.17013591071,30438.0
8973.111602153003,29656.0
11659.808157431762,32290.0
18188.214676409385,40266.0
17596.489863462688,39362.0
14274.624554968104,35060.0
15771.598397366492,36848.0
16502.478689231364,37752.0
14790.610232912986,35670.0
13793.296773676913,34560.0
15274.965689569726,36238.0
12517.956935136055,33194.0
16975.44270189757,38446.0
8535.72775688309,29212.0
10249.622316478075,30876.0
13169.262186761058,33882.0
7652.139361338137,28431.0
10876.750004251102,31553.0
6942.538550777637,27820.0
5598.691228843083,26582.0
Objective Value, Total Weight
16597.76402778083,37807.0
17822.041588892273,39666.0
9142.957916281535,29651.0
17345.113541761246,38664.0
8497.42284167798,29058.0
11693.188114483186,32196.0
13242.908234050046,33774.0
15962.937686208381,36902.0
10988.440769954563,31456.0
12099.358714840288,32596.0
13943.65153259175,34593.0
10362.9089621171,30863.0
9804.24776564235,30278.0
7694.345963925982,28324.0
12846.322104343912,33374.0
14556.288996760239,35220.0
15348.87426548008,36182.0
6928.315076355604,27792.0
4640.876139076448,25962.0
5861.7152021515285,26943.0
Objective Value, Total Weight
13836.832985333545,34860.0
17790.600208245836,40033.0
8570.897711209182,29397.0
6474.24320861938,27378.0
9993.622469407324,30790.0
15028.77072427349,36163.0
16787.39541561932,38353.0
13421.612152717295,34327.0
18566.7357127633,41253.0
15638.277887908938,36907.0
17237.149533035117,39063.0
14326.219171542143,35367.0
16072.48577551992,37449.0
11972.45351352355,32787.0
10583.19250550754,31341.0
12672.86293347823,33531.0
11330.82419901796,32160.0
5808.085103016376,26892.0
7363.305616990525,28279.0
9238.337734756344,30084.0
Objective Value, Total Weight
12452.64473704862,33294.0
9897.402300242313,30693.0
9342.932608107549,30108.0
8435.73174690493,29279.0
6952.2412826154905,28002.0
14369.083217651336,35295.0
15952.59080719611,37132.0
17216.477721984753,38814.0
15102.090755770616,36129.0
12055.793210909003,32817.0
18170.434734718227,40282.0
18596.908877604787,41111.0
15599.367086650316,36732.0
11177.05234291125,31913.0
16780.983785422402,38211.0
17803.59935440727,39679.0
10527.670985055956,31286.0
13826.384995107699,34683.0
12977.406864897559,33779.0
7519.299746472869,28525.0
Objective Value, Total Weight
18410.784042949832,41102.0
17713.983871798308,39756.0
9095.885387349124,29868.0
8670.84556657476,29468.0
10936.186080930369,31673.0
14065.829770672186,34985.0
11594.425512174508,32361.0
15842.088843649035,37067.0
16965.23010956493,38535.0
12306.313984822875,33119.0
16400.00805856387,37823.0
10520.978087985088,31273.0
14612.775177279029,35621.0
12869.608892517623,33667.0
6648.517808859484,27608.0
9755.759981052208,30495.0
15219.867070603686,36355.0
13393.373693308742,34273.0
7931.893737281935,28756.0
5308.916328438914,26480.0
Objective Value, Total Weight
18814.471141429058,42071.0
17891.28767836251,40129.0
9372.801471985324,30212.0
18322.120763575207,41042.0
16724.32834690789,38222.0
14626.17286567606,35567.0
12327.261440906652,33144.0
17255.285052019433,38849.0
13879.20696411647,34801.0
11064.291500616062,31844.0
15277.890256524886,36386.0
13534.559268444056,34389.0
12845.987709253684,33649.0
10171.062052225687,30940.0
7361.797702058815,28483.0
11708.853367625241,32471.0
15858.399506500093,37013.0
8646.816244201174,29511.0
6412.138995236368,27768.0
4909.206980964278,26530.0
