Objective Value, Total Weight
48669.848516934726,188439.0
53527.34124451832,197406.0
46349.59410063777,184458.0
45477.864534243505,183146.0
44240.741542783275,180876.0
51008.386924669525,192398.0
42061.246570660995,177864.0
55053.655152083666,200850.0
49758.86892122624,190278.0
41147.80049143499,176476.0
47108.63365761208,185676.0
44842.155997452646,181928.0
39875.99444830138,174772.0
48127.99239835804,187578.0
37632.899285424326,171768.0
32622.391693063953,166496.0
42601.56794101655,178596.0
38599.988148531906,172892.0
52136.88137504054,194892.0
35380.51090182352,169430.0
Objective Value, Total Weight
46200.25914151422,183528.0
51018.88399491986,191694.0
52249.762537792325,193965.0
43981.151386703976,180074.0
32580.234684912837,165906.0
40776.44536255623,175430.0
42148.49338669586,177390.0
43277.79759069119,179014.0
39615.680306536175,173806.0
45394.158853372035,182194.0
48905.69595237987,187946.0
35448.43807367122,168753.0
48126.45953909107,186632.0
47348.6220268507,185298.0
33526.622620009264,166730.0
50083.92090960013,189983.0
53549.6561608093,196776.0
37070.455505439575,170627.0
38583.714500879345,172502.0
30956.565105204878,164082.0
Objective Value, Total Weight
43089.14858839425,176885.0
49408.27325163249,187004.0
32671.045893190574,163003.0
37107.59286519687,168413.0
37783.4419173763,169326.0
30161.178941464226,160730.0
35887.55479410131,166789.0
48531.87315393673,185376.0
45178.15583650119,179918.0
51632.28906581731,190846.0
34721.01437282539,165489.0
50726.994426442136,189124.0
44017.09396492192,178134.0
47077.43719300913,183008.0
40001.67239704216,172346.0
46117.88071101846,181420.0
38665.48411389525,170533.0
53151.78636756289,193734.0
40749.00953829163,173406.0
41917.17222021878,175030.0
Objective Value, Total Weight
43517.858084928186,178757.0
41275.15596244135,175406.0
42344.616708766494,177001.0
44188.00721774588,179593.0
52185.68183324192,193237.0
45404.578916602186,181601.0
49645.735923435976,188825.0
39615.865580161044,172982.0
51116.98753666473,191283.0
47799.407599687314,185557.0
46949.91168415814,184213.0
33313.90785421681,165326.0
48695.86801175994,187177.0
37072.08251970576,169551.0
38365.96637078482,171355.0
34379.24743406408,166401.0
32600.745939085202,164374.0
46026.848830457486,182601.0
36235.13222062451,168338.0
30773.107581720687,162735.0
Objective Value, Total Weight
41613.60949100237,176549.0
43035.701793991786,178614.0
33361.584144956025,166530.0
47562.416241515195,185565.0
37074.08379179871,170594.0
49027.28601964805,188009.0
38076.6380278781,171597.0
34431.926616914454,167559.0
48627.06814988426,187189.0
53698.819201421924,196473.0
50333.48659538603,190129.0
54567.19673469744,198415.0
51429.6107136145,192083.0
40501.78293706605,174845.0
52239.74350614374,193585.0
35751.71989911707,168779.0
46423.78004977305,183657.0
39347.02750336021,173436.0
43872.98502843993,179753.0
45300.360100080376,181873.0
Objective Value, Total Weight
51271.21236479323,192728.0
49644.04523439889,189231.0
40808.06071933362,175195.0
45317.91655234783,181883.0
44450.03316663392,180563.0
37952.6413146937,171247.0
43305.61109505009,178779.0
34761.374931292754,167489.0
47779.31722976218,185787.0
39880.79803393426,173879.0
48921.20833206957,187741.0
50735.633769130625,191185.0
46695.85488494797,184003.0
45846.599637846986,182683.0
42404.00030520206,177463.0
36519.059691624134,169660.0
38820.6156421084,172395.0
35725.326642468775,168500.0
32343.97955639934,165026.0
41360.207009915874,175999.0
Objective Value, Total Weight
48810.644820560585,187287.0
48363.07139034738,186156.0
44110.873967644526,179532.0
55562.143122306996,199824.0
52582.160655831656,193732.0
54716.94054143646,197950.0
51633.5102052383,191858.0
40906.326763729914,175100.0
37865.689127003076,171372.0
36579.73108059997,169996.0
42708.61009391863,177488.0
47353.72608140821,184516.0
50692.67304365733,190218.0
44479.14830426016,180012.0
40082.8097003446,173796.0
41987.97747482345,176428.0
53674.850725521595,195872.0
45898.898187340295,182132.0
49733.21446473259,188510.0
34493.188494556525,167456.0
Objective Value, Total Weight
48951.11941326401,188304.0
39933.869269234565,173904.0
35242.855758229445,167952.0
31520.688037790853,164170.0
51293.716718203126,192522.0
44222.29470949285,180332.0
50062.559155116,190258.0
44924.46950360804,181422.0
48148.63563640442,186782.0
47096.42352328758,185036.0
36191.07550205843,169085.0
52675.55437694743,195486.0
43357.01522035265,178992.0
42534.07129496589,177684.0
30119.120464571548,162439.0
37334.919299423695,170320.0
46026.878777807055,183216.0
41423.3768449339,176024.0
32952.50994730805,165391.0
38862.78266727785,172440.0
Objective Value, Total Weight
42361.79311608712,176616.0
47729.25115082823,184884.0
46978.004424531595,183624.0
43825.61190555795,178736.0
45857.5034524661,181840.0
52120.68868259722,192724.0
30353.999965092225,162400.0
41430.845425792155,175228.0
44970.65479647933,180452.0
51074.05053489271,190816.0
50107.39379434881,188972.0
54743.48393038189,197952.0
53099.16277993677,194508.0
49220.55849446656,187372.0
33304.701128002635,165412.0
36766.290528021374,169276.0
38849.06204109333,171644.0
35584.01411027144,167836.0
30853.221270492853,163196.0
40049.4120138002,173409.0
Objective Value, Total Weight
46151.22403880971,184281.0
47593.72136287004,186470.0
45040.42629896157,182246.0
43089.16669677844,179174.0
42250.30670264625,177850.0
49200.274371693115,189296.0
28794.36744471494,160656.0
38661.010216845054,172626.0
29809.971688696533,161793.0
36051.820258631604,169042.0
31290.89887391386,163116.0
51303.544139111036,193435.0
43930.689525070775,180461.0
40162.809962426196,174746.0
41039.07154018793,176033.0
32322.08624721007,164362.0
37591.48250910334,171162.0
33494.966133370064,165947.0
35157.19990454416,167891.0
26788.094367719546,158978.0
