Objective Value, Total Weight
45931.9034907023,214850.0
-40381.94782228803,111679.0
-48551.54817202376,100196.0
-32584.607766399684,120042.0
-2291.442591017578,158348.0
-53000.95249298451,92974.0
29971.02522834402,186309.0
-12436.481957207754,140219.0
-20625.101304943906,132762.0
35293.13789198597,196269.0
-8444.780747595622,148108.0
-59026.0762461164,86756.0
-67443.47258211652,79976.0
6765.234232317744,164006.0
-76976.63759235741,69975.0
14372.410907503945,173222.0
22025.03437025062,182918.0
54200.72200309043,228432.0
43768.23844769251,205594.0
-84479.59066430677,61202.0
Objective Value, Total Weight
42101.484546844644,201737.0
-33465.55701712586,112966.0
-73775.60294038881,71785.0
48228.975946940394,212592.0
437.17745514804847,164561.0
-67365.2254346532,78605.0
32161.670555927645,200415.0
27442.577915808914,190628.0
-26022.769326854148,125631.0
-2205.787361030467,153342.0
-14745.410514329444,137092.0
-9418.478493061528,148053.0
10188.759807659982,174105.0
-58508.46755700692,86525.0
26133.570922041574,182554.0
-42291.42884540916,102379.0
19463.53172376007,176025.0
-83578.52350248059,60831.0
-51726.252623035805,96689.0
56881.253483941284,230174.0
Objective Value, Total Weight
-42961.0693691475,100380.0
-71202.85664958743,71830.0
-62968.8231712674,82086.0
-37770.338549055625,109883.0
-56177.961492449016,88452.0
-16508.99907577649,134906.0
39920.40050261811,207759.0
13267.537267019623,169077.0
-21632.690260666917,126721.0
27058.153658614203,189210.0
-48413.31339972257,95428.0
-9422.80789949678,143321.0
16589.272088462458,180169.0
30599.4562641597,198093.0
4242.521458965901,160495.0
47671.81732353993,217456.0
-28692.456310150883,120120.0
-6112.297865626519,150601.0
-79131.66953721369,62551.0
55090.5068328217,227179.0
Objective Value, Total Weight
-19096.36606965502,137456.0
-10805.395488620474,143567.0
-51884.42685967113,95541.0
41997.775716879696,198342.0
-57297.82772952595,87857.0
-81367.10757468102,63336.0
-35538.81328713795,114173.0
-26773.07847038124,127034.0
-87986.4047141221,56148.0
-41991.95235923771,107343.0
-75166.84121198312,71800.0
11150.650587785844,166622.0
15213.76216125529,175857.0
31154.871554837766,196529.0
-2436.7444296039757,153323.0
23026.80466442532,185123.0
-65905.09332028,77975.0
8226.373292414646,159342.0
50149.86441956184,214385.0
55394.35789576676,227922.0
Objective Value, Total Weight
-36909.18402399201,113469.0
42852.89084326962,208457.0
-56121.77178061538,91881.0
25797.94376537064,178997.0
-29561.7243458101,120239.0
-14655.193749712169,140497.0
-6053.5101754738425,146021.0
16999.330790256936,177037.0
46116.18837285854,216601.0
-21530.38008021671,130643.0
-77060.35873811768,69239.0
37562.25499901149,200313.0
-1869.603128550778,161863.0
31107.960319587844,186797.0
-67969.34617596152,79732.0
-85784.73425467697,59963.0
-43625.82875676689,105534.0
12713.673583439086,166709.0
-91506.2172207858,52948.0
54181.68916292468,229546.0
Objective Value, Total Weight
46436.52538671781,212117.0
-37768.474686159374,111841.0
-31520.85936075516,119658.0
-61961.48380347449,83970.0
-5569.200225670764,149764.0
40943.08457810772,202479.0
-73147.07163751355,70727.0
21171.44331528945,178412.0
-45886.72912029541,101298.0
27175.006033529033,186936.0
-17177.634418914065,136576.0
-11104.101488663,140842.0
14657.86245857054,170723.0
-23099.729098665703,127508.0
-54385.89266543099,92556.0
-465.7399555143202,157674.0
31717.13347580179,192882.0
53425.63199432666,219752.0
7641.670527644979,159872.0
-79916.6978238546,63090.0
Objective Value, Total Weight
-56394.45208467508,86211.0
-31462.33009592723,121328.0
-40618.50346464076,112292.0
43093.32739320016,213548.0
50704.37075555776,222688.0
7187.594337598566,172446.0
-69016.5586455382,72946.0
-61618.471154356754,79735.0
-78122.00893108803,63266.0
-6905.3017687214015,148129.0
-52197.22298101144,100011.0
-24447.739198824973,130273.0
35735.04682441623,203024.0
3591.241452430055,159596.0
30237.664050443913,193161.0
-12513.072863024136,138706.0
21346.787115352083,185406.0
17206.249512735463,174848.0
55019.886285802146,230408.0
-88802.0127842609,53734.0
Objective Value, Total Weight
-77529.68776978453,66133.0
-22745.732782762236,131632.0
20034.19019537329,179992.0
3383.796595910564,163258.0
-1737.620280984207,153923.0
-70728.56225798017,74650.0
39811.85553995316,202577.0
-42389.75374895218,104812.0
-52373.211191061244,96193.0
-28722.469043320772,121587.0
-60415.24795285627,84857.0
32665.49483848363,197707.0
-7636.920067921252,147084.0
-34166.58926161862,112580.0
-17778.95802384813,138462.0
46342.607427571376,213746.0
15334.435052807792,170582.0
30938.0542687524,188147.0
-86883.48646762417,56892.0
55177.254405923275,229658.0
Objective Value, Total Weight
50978.27197647709,219995.0
-58876.75983652129,85818.0
-72266.74507555825,71406.0
-79591.91210142174,64414.0
-25938.80414564305,124498.0
-17316.26526807595,132627.0
-46909.71939601048,101541.0
-54707.13227939507,94049.0
41486.326311286946,201417.0
33463.79067543635,188921.0
16164.943005611829,174171.0
1729.632214615849,158452.0
10870.105224107974,162879.0
-66589.01948596488,80612.0
-7278.337073674891,149054.0
27354.045835710305,181726.0
47145.46322906215,208031.0
-35794.73539077889,113075.0
55739.35372704358,228027.0
-85549.47379411996,57086.0
Objective Value, Total Weight
26825.95624387596,187179.0
-4121.371969691711,155376.0
-36945.200312136934,114485.0
13867.161372967326,174748.0
33965.67768826772,193991.0
36996.49527101731,201180.0
40581.76711266267,211357.0
6089.16956873727,162577.0
-12594.904356965591,143002.0
-41091.5051364392,107821.0
-23494.066825928283,128633.0
-56427.37260133092,90298.0
49151.09869341363,215086.0
-70270.86334566853,75393.0
-62770.84659638084,84080.0
-28480.61781792008,121253.0
23012.89867029569,177484.0
54754.9911124206,226478.0
-48244.919602163834,99377.0
-79397.26990480363,66898.0
