Objective Value, Total Weight
38319.23945242612,198092.0
-45957.182627952425,94540.0
-39072.86437464156,101725.0
-7358.826093963464,133373.0
-62516.99388487876,82073.0
39401.74378632064,208004.0
-32400.53301794821,107952.0
-16848.69324499421,125351.0
-69800.84427107967,74265.0
-55475.89008227314,85774.0
12646.04340384074,158879.0
23961.82598041228,173036.0
268.9915548716672,141445.0
-24529.858078072546,114365.0
7123.647137332009,150893.0
29077.77220453383,179796.0
18174.918826558103,165639.0
31633.665207283746,188775.0
43280.81417368018,219743.0
-76069.33515853682,66776.0
Objective Value, Total Weight
30956.054202120955,190436.0
25704.39252461889,179175.0
-64553.725353311456,77556.0
-15415.79094852577,123863.0
-2459.1357323834673,139794.0
-26860.14560150582,111274.0
-69674.9465223146,69998.0
-45015.488803224725,92527.0
-54047.22832381533,84419.0
21914.876851533423,169394.0
-9864.524769258802,130877.0
-83674.41812232014,59070.0
9570.8979011575,153097.0
-35940.00715259291,102537.0
35496.83546080481,202675.0
14160.132954708592,161428.0
2343.3318934093986,144112.0
-76420.71870821071,64223.0
-91695.41405770136,50035.0
40065.48102580031,212670.0
Objective Value, Total Weight
9340.359742208297,153025.0
-41597.19255371622,97696.0
-14033.609540259582,123815.0
33047.643240401754,187935.0
-51676.415194125235,86202.0
23847.517635704367,169469.0
41007.37851519056,208001.0
-5604.962774696149,132744.0
-32653.104800591216,103279.0
-20381.443879085156,116605.0
3453.4974526962615,141962.0
38630.54841113274,198637.0
-72049.87815835158,68296.0
-26858.95249005797,109248.0
18038.254249526508,160210.0
-81118.39601012337,59711.0
30078.216670442373,178629.0
-60484.53226213521,76846.0
-89396.79843191057,50864.0
41254.685877392505,219592.0
Objective Value, Total Weight
-38097.617165855976,100192.0
3458.566216520354,144762.0
21132.43974973267,167493.0
-53831.63682380298,85387.0
-47224.3971451878,90084.0
9060.045992374886,151694.0
27191.67423221437,177326.0
-61134.532954818744,78734.0
-65451.08061173165,72996.0
-10337.289139680768,128272.0
-18503.205444593128,119910.0
-72617.10514616524,67597.0
-27502.41461132688,111561.0
-4494.212509060104,135821.0
-80402.3087836375,59516.0
-88093.78906425455,52699.0
14787.555444094935,159012.0
35330.93789840859,189060.0
38033.10054551542,201994.0
41052.24176167924,216878.0
Objective Value, Total Weight
-65553.64006753074,73480.0
-10399.616702680301,127374.0
39170.940822002565,195114.0
30240.45873880139,179690.0
35029.456314923475,185954.0
3377.2175279434305,144159.0
-55090.586380848166,83512.0
16196.503890622902,159942.0
-22613.594297803706,114262.0
-16975.262957633066,120688.0
9174.51417724957,151617.0
22546.649929555075,169371.0
-47874.179854293325,91167.0
-2716.797030103684,137110.0
-74136.41825108422,65576.0
-31587.747899948823,107859.0
42987.41013857242,204897.0
-39307.595523648284,98823.0
46574.7632122791,220852.0
-82090.92073037132,58019.0
Objective Value, Total Weight
42909.8979464852,205361.0
-58040.43107705371,80800.0
-10091.511323371436,135008.0
33672.063750901376,185851.0
37586.07638418369,193960.0
17306.237038898427,160951.0
30477.395179754065,180866.0
26386.999052754778,175781.0
-46140.281726689165,92146.0
-30963.835922950617,108112.0
-2653.0156400192645,139865.0
-38718.36773381481,98569.0
-12476.25659595913,126044.0
5415.3403721834475,149370.0
-64421.254095825454,75708.0
-20138.26093553385,120233.0
-51773.399828765745,87986.0
-70099.3708353639,69849.0
45542.23153363279,219950.0
-78286.17038140004,62380.0
Objective Value, Total Weight
-19519.54473830224,118365.0
3713.670444417832,147258.0
-27871.290485269186,109040.0
23387.89109840078,174797.0
10450.405140050192,156563.0
33031.533886729914,193175.0
-6079.807263640396,135053.0
39177.64257170909,218462.0
-12516.175447891146,126448.0
-81240.27583662618,57700.0
-34190.81008939317,102473.0
16825.563919272856,164721.0
-58727.876499428734,78149.0
-93126.87963792219,46200.0
-64822.04119455043,72321.0
-40705.42094033549,95486.0
-48868.54000149859,87258.0
28930.521237020526,182668.0
38217.72636445952,204366.0
-72530.97691553587,65483.0
Objective Value, Total Weight
36339.47689555926,199454.0
14665.147864850063,158064.0
-30090.070653015253,106550.0
-15650.659636206052,121696.0
19789.58135565289,166189.0
-51711.852567133436,86016.0
10653.976839825656,152592.0
31258.758296445856,187162.0
38773.756678807695,210126.0
-8156.806178504601,130188.0
-2232.7030011641036,138300.0
25648.604050794704,176083.0
-37449.06758253381,99713.0
-24454.74399948548,114226.0
-44796.33197504547,94457.0
-69354.88757317982,72108.0
-60398.611248532834,77791.0
2788.9198132530146,145471.0
-77140.34431907564,62745.0
40401.482062362076,218192.0
Objective Value, Total Weight
27530.751725710783,181461.0
-18419.22168469848,118496.0
