Objective Value, Total Weight
34299.30967266235,296332.0
-104972.42597978126,111823.0
-94754.36616220928,123855.0
14672.638010172523,257882.0
33565.29301348014,295957.0
24449.823166396644,274096.0
4684.458071548201,243420.0
-63932.5257241333,153233.0
24215.519621978863,273852.0
9558.104255925922,253818.0
-37792.62856590428,190456.0
-33314.03410731268,196679.0
-50956.81464806973,170543.0
-82506.42973829687,137857.0
-59717.66026187991,163992.0
-85004.61803197596,132016.0
-43961.5870641254,177766.0
-74263.71187693576,145002.0
-43685.55162716872,183359.0
-17668.353227040963,210680.0
Objective Value, Total Weight
35875.162398787914,298986.0
-96926.80294688101,118050.0
35875.162398787914,298986.0
-96926.80294688101,118050.0
26162.06144890003,274368.0
-57746.18821761882,161976.0
-18708.21565594891,214765.0
-5659.686335854349,225778.0
-1634.4265183702228,233991.0
7693.6512593391235,245538.0
-49677.07625945445,173454.0
-45293.287821447535,177509.0
12893.500916181889,258296.0
-81219.02061875738,135231.0
-25877.91744261008,203083.0
-64419.6127223144,154312.0
10907.259132848878,249427.0
-89230.4063833082,126464.0
-88841.71857307249,126817.0
-74575.91781542258,142569.0
Objective Value, Total Weight
-121125.39767744218,94073.0
26106.79252015421,276607.0
-121125.39767744218,94073.0
-101125.37653961126,116724.0
10212.697143598576,247738.0
-89066.01935895489,129205.0
-70907.05162018456,147299.0
-8450.131167060812,220997.0
-1998.2431338406168,231869.0
16811.16618971346,260183.0
3162.9290505002136,238220.0
-65245.03017659037,153838.0
-51503.42789392025,171670.0
-37151.61361085187,190329.0
-62722.35652472632,162392.0
-26703.87854250206,195695.0
-15526.603193306655,216461.0
-54617.79613537283,164608.0
-79758.25806814226,139242.0
-84194.40430237749,133599.0
Objective Value, Total Weight
-121047.66944686422,95529.0
-121047.66944686422,95529.0
32610.410790320777,292311.0
-103059.02953515924,112858.0
-2329.7155947167776,237920.0
-13902.047169074358,215818.0
-49780.64944155351,174532.0
15167.235907993512,260836.0
-92249.41182763112,124059.0
-21908.141774383024,208785.0
-60899.22130053223,157855.0
28690.37473394291,282859.0
-35044.44034864585,190995.0
5076.526146841061,248978.0
21168.63474954909,269332.0
23647.36919916916,274694.0
-43023.553080893296,177952.0
4417.89718641818,248104.0
-87187.89442609536,131746.0
-28699.709808980348,199710.0
Objective Value, Total Weight
31233.210095745628,290089.0
31233.210095745628,290089.0
