Objective Value, Total Weight
-6316.339923968073,220250.0
-13159.85815633682,209497.0
-94402.97865003409,124306.0
-109026.1919427907,113181.0
6401.300730398099,235773.0
-21130.201155513176,197305.0
-81742.6146081111,137796.0
-48400.77625043155,169838.0
32964.134957054455,279507.0
-57454.44056951773,158802.0
-125114.86464553364,93928.0
27282.81576607906,263904.0
-31755.804451568692,187867.0
-136861.22389721175,81249.0
45874.175735730154,311098.0
-68068.59981025831,146041.0
13112.016436609789,249546.0
44542.38514055504,294517.0
52211.28419448371,326580.0
-152048.75698241108,66475.0
Objective Value, Total Weight
15130.542831122235,246498.0
5739.407501100213,231908.0
24689.46909505379,258909.0
-94181.46067189882,125008.0
-124610.73396684442,96566.0
-103766.53975867422,111920.0
-22650.69920173532,195729.0
-133441.60747338695,87020.0
-9955.87406735876,207370.0
-139840.12971080918,78174.0
-1901.928023578832,222662.0
-75586.36221068806,136716.0
-32802.26115453866,186269.0
47741.35093274026,313450.0
-47952.74725358412,165193.0
-63934.69059363892,148917.0
41069.30723254371,293107.0
36159.644647895824,279456.0
53298.85833267443,330262.0
-158355.37934365898,59352.0
Objective Value, Total Weight
3807.4285399775836,231804.0
-132134.02675162553,88502.0
-12086.989652715216,207720.0
-102599.6861365606,113190.0
-139960.37533045065,78259.0
-50301.45716783579,165157.0
-4689.929900018091,217885.0
17054.271855048602,249839.0
47084.526903219754,303572.0
-72566.04424400756,142495.0
-110671.39484458222,104329.0
32358.970374685654,277743.0
-24208.422241331835,195539.0
-63744.23552495672,153761.0
-124564.51299079304,96190.0
-39918.35009487296,179692.0
-91270.62141436449,129908.0
29104.47709472821,262168.0
-148046.35145128274,68994.0
52468.876483516535,332353.0
Objective Value, Total Weight
-5172.809002931754,222488.0
-117162.57989267679,100986.0
12862.160308602208,248359.0
-74452.81331258803,142862.0
-65230.685874787625,154850.0
-42905.36945083091,173934.0
6075.950113943312,233017.0
18691.889649084886,261356.0
-137442.79398738203,83032.0
-31700.492438707442,185085.0
-17214.664019820077,201743.0
32950.12511876493,275067.0
-88007.84477130117,127804.0
-102411.83220006383,114087.0
-126159.30244183008,89589.0
44578.79924243002,313882.0
39986.653584932734,293645.0
-53740.27247836598,159920.0
54804.818475172564,329317.0
-151354.17066250456,66638.0
Objective Value, Total Weight
32367.154116686143,262555.0
12296.492607167398,243085.0
-51245.64284712536,162814.0
-65406.718415919866,150624.0
-20988.392095757532,198811.0
20686.44926702394,253907.0
-125430.40805957734,94930.0
-166.9416829153197,220556.0
40730.61636973516,284899.0
-43799.93207088826,172920.0
11107.989428373287,231362.0
-33964.96642013645,182092.0
-81608.4055888642,130163.0
-8757.698460926506,207328.0
-136384.5269591056,79991.0
-108887.00096748446,116336.0
-93142.72257941129,120653.0
50860.792288644356,301052.0
56195.41789675155,319932.0
-148357.98277659595,68139.0
Objective Value, Total Weight
-3679.28547368804,222352.0
-38834.32573617413,183984.0
-14589.545672384033,208743.0
-84941.00296617486,140861.0
29792.494702205528,270631.0
-94258.03697219203,123835.0
40301.31846341118,287028.0
-108124.67338601177,116784.0
-131335.2674521445,87859.0
21258.7461279782,262471.0
-65061.134869102796,150804.0
-45627.27540675542,175253.0
4980.251612993248,237740.0
-27577.386494393955,193790.0
13067.406133676006,255457.0
-56252.81190627822,166428.0
-121979.89769151062,99349.0
45129.88261986815,306787.0
-141554.52258722245,77697.0
51807.57949145057,323245.0
Objective Value, Total Weight
-49126.128666854376,169134.0
-37047.141131729964,184294.0
1308.3104921776103,230826.0
-61322.75190643073,153769.0
-27989.66631736292,194042.0
-124454.35496836345,99923.0
23477.256740776647,264554.0
-89845.4628533358,127299.0
-77489.42908389296,141416.0
