Objective Value, Total Weight
-50518.22329738835,170196.0
-55733.4850577169,167060.0
-61919.59159365087,159630.0
-23935.20311371947,209290.0
6773.824552137987,249217.0
1575.7853604365373,240597.0
10930.451907782932,256561.0
-40532.20197007753,184576.0
-73488.76792885273,147103.0
-27986.885506625054,202756.0
-5414.933315636998,229783.0
-11634.522796506935,223353.0
-48558.63146766939,176746.0
-68624.65192773985,152285.0
-18067.365078628995,218062.0
-31839.55658165377,194267.0
-78971.77378977009,140502.0
17650.88296258176,266766.0
-86090.86636266852,134347.0
20657.10017905227,275066.0
Objective Value, Total Weight
1461.3370287765865,231610.0
21989.518752031086,262397.0
-24330.04365056206,200128.0
-12580.555056525627,214054.0
-26474.56330933937,194114.0
-49642.64695394397,166887.0
-20063.037143554015,206055.0
-36350.13600701306,181876.0
6008.991921174689,238662.0
-45310.87513373804,171891.0
-30283.556557029922,188998.0
-4615.344000631128,221863.0
15098.210301637999,252663.0
10852.566158929607,246073.0
-63339.58709389623,152400.0
-57125.57412909146,159718.0
-68891.50354849995,146227.0
24878.48757925298,270261.0
31112.094037671108,280334.0
-77272.33104017953,138412.0
Objective Value, Total Weight
-6668.665996598429,222341.0
-10479.230461124564,215446.0
-25792.309395097953,197559.0
-54388.57556968773,162780.0
-1188.3980356641696,230156.0
-44884.02507732276,173835.0
-32783.37656755623,186616.0
-28361.852456392837,191526.0
5736.932594355778,239428.0
-21089.38176248758,203970.0
9850.870358648477,245856.0
18180.425830527616,260207.0
-15432.686894222861,209302.0
-50096.461049367004,168645.0
-37123.92450115521,181889.0
-62422.81628979297,154974.0
14721.79936021869,251157.0
-69186.67131376502,148045.0
-76367.7254617112,141857.0
22318.010228305124,268578.0
Objective Value, Total Weight
-32507.68227058387,188985.0
-70440.02228357628,146260.0
-124.19659369037254,232663.0
-4723.908470392285,226252.0
-65580.11261421817,151714.0
-38676.89770158235,183253.0
-76552.64684358079,141277.0
-44099.628881515906,176499.0
-16327.504604873655,207833.0
-49226.58612699495,170818.0
9694.390159746748,245043.0
-20122.786605228437,201351.0
5551.292640128522,239778.0
-9415.27473565453,218303.0
-26239.24944261997,195703.0
-60570.15402260676,156602.0
-53962.59683830204,162909.0
16497.918414031214,253561.0
-81977.23574261233,135341.0
20969.823192462616,263262.0
Objective Value, Total Weight
-30394.88972640963,188594.0
-9700.22917107225,214896.0
-315.7970719006262,228030.0
-85566.1951460884,130459.0
-69015.15037717449,145188.0
-4650.554428575968,221336.0
-23346.05589968746,198272.0
-37075.873980527336,180815.0
3500.9716640995466,233417.0
-47126.28164534274,172717.0
-63368.344816012366,154355.0
-57466.687688163336,158885.0
-18079.722783612728,205114.0
-52471.97024501988,164084.0
9560.227207202406,241433.0
-77971.59523853226,138299.0
14233.578273683612,250476.0
-92069.03063338465,123265.0
-99343.35796792957,116527.0
20345.184014455823,260405.0
Objective Value, Total Weight
5129.507176984916,235180.0
-14818.675950293196,210037.0
-74344.05566873692,141324.0
9139.23615031765,241791.0
-23579.38062753965,195724.0
-30112.05105636397,193197.0
-70514.11789049374,145918.0
-35989.313777934265,182518.0
-40948.07452665843,177371.0
16703.7361831991,254775.0
-63569.803765404096,152522.0
-18432.37631882698,202831.0
-58212.85155464598,157355.0
-46464.29934871261,170048.0
-3609.273101035913,222982.0
-79184.29738649429,136928.0
1233.793673885113,228478.0
-50843.586447394715,164741.0
-85102.87368375316,131189.0
-7089.81050325348,215162.0
Objective Value, Total Weight
-11777.416381736926,214830.0
14385.609145935276,252215.0
-32781.785661222995,191682.0
-7494.657771438069,220801.0
1742.1561851885635,232251.0
-27652.879001126043,195939.0
-73793.1309367372,139730.0
-37064.65638957702,182001.0
-55656.80033677656,159387.0
-3296.911664853571,225608.0
-44450.10004612483,173766.0
-61908.3665463677,153545.0
-19520.70024217345,202005.0
-67779.13225879858,145005.0
5861.8076392588555,237966.0
11030.865329179564,246618.0
-49088.069369421544,166655.0
-80689.58421064954,134328.0
-88998.41189710223,126628.0
18053.024868171604,258521.0
Objective Value, Total Weight
-7246.010654784623,223631.0
-46639.374830048386,175075.0
-36869.861713020684,183212.0
23943.283576170856,270384.0
-63598.61235084958,154929.0
-50475.29162042547,170124.0
-54587.60876882603,161441.0
-30144.08647467452,193707.0
-18995.4294821152,207037.0
3249.746328865469,236665.0
-23237.455432606803,200215.0
-12335.314301730366,213910.0
-70261.98370200075,147359.0
-741.66872200527,229872.0
9357.651612016605,247416.0
-87121.3569534919,128108.0
-79061.5586473785,135617.0
18064.483851545665,260790.0
14105.312946819642,253581.0
-94882.54127462022,121184.0
Objective Value, Total Weight
-35883.74836226794,183785.0
-26470.9079645077,193859.0
-18533.687408720434,202398.0
938.0056023917277,228131.0
4958.569479166355,233484.0
-43826.66176837377,171934.0
-8452.993668138923,214616.0
-39634.26552382609,177522.0
-63154.686292365426,153000.0
-68100.70179464511,146454.0
-12750.609557264484,209687.0
-57765.396000111185,156494.0
-54767.97124343121,162565.0
9125.229875272955,240712.0
14258.640344556421,249401.0
-49314.90206171165,166126.0
-86787.86435872264,128808.0
-3779.839680804289,220764.0
-77503.6318957087,137585.0
19437.058752112032,257326.0
Objective Value, Total Weight
-13497.657000240055,210128.0
-63348.616797020455,152203.0
-24686.60409811235,195207.0
-35162.674791896745,184197.0
-18136.996919666766,202263.0
-6168.916930113861,220509.0
-31849.316411210806,190457.0
-54170.28884330718,162066.0
-39532.40219498458,178421.0
-44788.047082237,172502.0
3544.2797695242334,232314.0
-48870.47243592082,167710.0
-58838.80451458623,156858.0
7832.921724143147,238013.0
11479.813997149351,242768.0
363.08107294136425,225236.0
16059.749978434993,248773.0
20159.20310832886,257533.0
-71011.9621252137,145189.0
24918.875495673623,264072.0
