Objective Value, Total Weight
14482.221232896962,405250.0
-11320.695365145453,369430.0
14482.221232896962,405250.0
-11320.695365145453,369430.0
1097.0245314386557,386701.0
-5655.911343271786,379653.0
705.5835032101022,381417.0
5158.312218254083,388047.0
12137.732874549925,396421.0
-9357.630444427952,372772.0
8831.260801068333,394924.0
13106.682701615093,401571.0
7785.23659527424,390947.0
13642.262856189744,404491.0
-2581.489970361232,380055.0
13085.756508590304,397941.0
-1980.5694491437753,381075.0
-8722.861839007179,374368.0
-7388.032851962314,376113.0
6502.236015703937,390169.0
Objective Value, Total Weight
8066.332611660066,414484.0
-12702.30935947696,386344.0
8066.332611660066,414484.0
-1864.8932497031055,401180.0
587.0985928659793,402690.0
-4297.645860465302,398375.0
-4647.405707324797,396436.0
-6567.439347524021,393319.0
-12102.750250281475,387168.0
7584.792564519856,411648.0
-8475.442895549058,392576.0
5497.59528790426,409548.0
3491.8054184367065,407547.0
2219.644042960368,404801.0
-10328.55767112982,391185.0
5584.612210586842,411492.0
-10486.616783054254,390825.0
2219.644042960368,404801.0
3491.8054184367065,407547.0
7859.480125252041,414454.0
Objective Value, Total Weight
14519.378972541075,418754.0
-7823.514501751168,386061.0
12195.016380097484,412319.0
6198.321273600217,402845.0
10200.475584367698,411018.0
7887.038649750582,405005.0
652.9645654830965,394597.0
-2500.388570936164,392025.0
7887.038649750582,405005.0
113.02398705360247,392417.0
3490.7108339949045,398278.0
2126.4669972942793,396671.0
-4520.691865327884,389226.0
3961.6146141689387,399230.0
3961.6146141689387,399230.0
10338.165595855797,411561.0
-3179.689444019634,390423.0
-5466.560372779088,388389.0
2158.5062199723907,397081.0
-5466.560372779088,388389.0
Objective Value, Total Weight
11518.936335146369,406812.0
-9695.554582401004,375844.0
-9695.554582401004,375844.0
11518.936335146369,406812.0
-503.45314695546404,386411.0
7889.9344281199155,398625.0
6163.3940111064585,395979.0
2991.445904692693,392482.0
3855.2150303255767,395372.0
9127.68509259884,402005.0
-7556.774145773612,378622.0
954.0010867454112,389383.0
-9556.830412097566,376084.0
-6068.938519064861,381917.0
954.0010867454112,389383.0
-7556.774145773612,378622.0
3475.2836941631394,392896.0
10861.733471874846,404776.0
-3732.6067660358967,382478.0
-5937.803702795645,382157.0
Objective Value, Total Weight
10805.50780163228,435533.0
-6635.709511041932,402925.0
10805.50780163228,435533.0
-1759.2368455291144,406739.0
9839.0188659415,431373.0
8601.692472636933,424949.0
-6578.543725562107,405515.0
6608.983514594671,423776.0
4997.97942402371,419463.0
3203.998792746919,415341.0
272.12900785182137,412259.0
-1047.215471261181,410057.0
3762.247660892899,417261.0
3203.998792746919,415341.0
-732.9237720337696,410453.0
205.36215000337688,411436.0
4736.092512746749,417914.0
272.12900785182137,412259.0
4966.319062644383,418640.0
4745.058955617074,418637.0
Objective Value, Total Weight
-8462.555070607574,384063.0
-8462.555070607574,384063.0
6992.996558318962,412070.0
-4238.602842569584,386945.0
-8390.784914532851,384672.0
-3708.141258848831,390877.0
2127.1347457307857,400707.0
4045.497124772519,401460.0
-1320.6763287282665,394235.0
5762.664523242158,409057.0
1499.627904387482,398358.0
-2960.854362118931,392727.0
4628.494892528455,403809.0
4776.982966456853,405174.0
6049.487465540355,409979.0
372.21335183555493,396913.0
6429.454522671818,411840.0
-4238.602842569584,386945.0
-2361.92289199261,393974.0
235.59301002073335,396779.0
Objective Value, Total Weight
-4529.600181319809,374775.0
8940.345961778192,398643.0
-4529.600181319809,374775.0
8783.733568481286,393035.0
1193.622621787421,385185.0
-891.1780237233615,380856.0
5125.3305391117465,388059.0
4502.501035758934,386746.0
8927.934717012628,397928.0
-2174.7607132097473,377329.0
-2174.7607132097473,377329.0
-3383.7998640093138,375879.0
-3383.7998640093138,375879.0
-3847.634096122638,375616.0
4701.5341823701165,387278.0
5063.573811352486,387344.0
-3847.634096122638,375616.0
-2174.7607132097473,377329.0
-3383.7998640093138,375879.0
-3383.7998640093138,375879.0
Objective Value, Total Weight
6543.461126072274,407959.0
-11973.326268135861,380603.0
-11973.326268135861,380603.0
6543.461126072274,407959.0
-10098.109600415628,383486.0
-3394.5020865497063,387656.0
-2201.8517563163186,390059.0
-7486.504348453134,383892.0
1460.2039914036868,396836.0
4116.660387839132,403544.0
-11885.187052991765,381216.0
-6124.84165360505,384332.0
2581.251491356874,401211.0
-432.1703911802033,390853.0
5384.871628313675,404961.0
968.6879768125364,393368.0
-5848.005136251915,387529.0
1419.0230745958397,396484.0
2551.889044609852,400859.0
102.13568518991815,391478.0
Objective Value, Total Weight
-10272.185816808662,388932.0
6290.517397161864,410663.0
-10272.185816808662,388932.0
-2918.5001654632506,395645.0
-8134.407219650981,391385.0
4464.173770289111,404796.0
-4337.612200526346,391796.0
-4124.078369108087,392376.0
-147.38194880157243,398021.0
-816.9469357795897,397249.0
5956.752933537995,410155.0
4787.0552980351495,406764.0
1902.2059122835053,399988.0
2485.771138900949,402891.0
4787.0552980351495,406764.0
-8760.544295651605,390222.0
1902.2059122835053,399988.0
2171.7245365463896,401008.0
2485.771138900949,402891.0
-8760.544295651605,390222.0
Objective Value, Total Weight
-15015.870458224032,406325.0
-15015.870458224032,406325.0
-8353.134866049688,411643.0
-11293.799953700625,408696.0
-8353.134866049688,411643.0
-14616.225318839832,406392.0
-15183.230958184926,401576.0
-11293.799953700625,408696.0
-8353.134866049688,411643.0
-15015.870458224032,406325.0
