Objective Value, Total Weight
-45150.796383264475,298678.0
-197426.7998492993,98587.0
-188405.85754789365,114680.0
-174717.50515407487,126004.0
-67231.74307448656,261158.0
-211794.18223165878,85464.0
-261946.92529154464,31577.0
-120839.49107757036,189020.0
-245846.02890069818,47393.0
-229337.70695052156,68649.0
-9179.889714073273,363346.0
-111100.20750868757,204984.0
-92351.32455304672,221860.0
-135083.517840321,166898.0
-20663.69830150454,335001.0
-160579.83977365447,142199.0
-148013.74729533336,155917.0
-53311.795270074974,282788.0
-77691.21736873058,245843.0
-32802.503427643795,314708.0
Objective Value, Total Weight
-214494.7230880984,81312.0
-232482.91604205722,63559.0
-142800.77058143786,165430.0
-163193.95639217226,140416.0
-178599.44430096872,122831.0
-151257.98942567944,156198.0
-243428.20240429067,51110.0
-54454.359936025576,286369.0
-4960.089118015021,443259.0
-203483.0466402035,94429.0
-189805.78001089685,106539.0
-130967.77026682347,177979.0
-79277.00784114999,241481.0
-66982.4804748806,265053.0
-14599.589296882972,369831.0
-257570.59664022765,36122.0
-105887.87084949226,205930.0
-38168.337416463764,312108.0
-27517.872869063693,337831.0
-92917.04083202954,228311.0
Objective Value, Total Weight
-195307.14154436853,103678.0
-25042.268893397646,333364.0
-121223.49114163738,185352.0
-250451.61065981403,42867.0
-179910.53369697958,117800.0
-132182.4408605366,175535.0
-206932.63085163955,91500.0
-235737.27470397268,57594.0
-219338.823050346,77626.0
-107017.13028341951,203497.0
-38569.929663814546,302349.0
-50095.50430917478,280061.0
-157449.81355364283,141594.0
-29673.401029444824,315784.0
-89615.47303426231,227482.0
-65742.2973689271,258423.0
-11375.94881383446,444258.0
-139008.94575163967,161719.0
-261309.83372206974,32110.0
-80146.04506853025,247960.0
Objective Value, Total Weight
-204277.05760540284,89278.0
-218147.70823587186,78453.0
-33160.920876097516,316053.0
-189116.53232722974,109177.0
-157971.06871556182,153213.0
-76237.01247632579,251135.0
-230924.67755960592,64218.0
-101028.71531441581,216977.0
-171343.14144165494,129889.0
-57274.81250725995,273017.0
-87020.34930213587,235045.0
-144267.8618183004,166174.0
-17174.60177375615,362494.0
-125726.17963529163,183981.0
-45824.70517387503,294295.0
-111238.85241817334,204175.0
-6579.289723224123,418683.0
-27371.48383188242,336238.0
-10719.905458604975,391321.0
-253928.72573792003,40819.0
Objective Value, Total Weight
-223373.09489693865,73953.0
-183935.18105883413,111854.0
-173113.7812900981,125023.0
-200558.28766717663,96694.0
-112375.62013060914,200165.0
