Objective Value, Total Weight
24713.932239715185,401544.0
8867.72989584424,366320.0
30056.592557542142,402198.0
2956.7456093962537,358546.0
-2387.240749818913,350826.0
21627.432198686816,387641.0
10596.086037365196,366930.0
4564.963232727838,360937.0
19880.800331341976,381953.0
18744.652781549143,376309.0
-2610.991113220458,348845.0
109.99250523891533,351190.0
31532.63230448711,414580.0
8391.796196114272,363420.0
23963.014345666277,388842.0
14031.956189714605,371461.0
6535.918850841699,362964.0
Objective Value, Total Weight
-12571.191328289045,341700.0
-13885.370696217404,340705.0
31277.628971965692,404417.0
20440.106069429487,375529.0
27837.220859507506,383296.0
30054.518804398773,391122.0
33541.39296866255,407681.0
10664.379450920504,353145.0
11522.36785972747,360143.0
17461.168636400136,370874.0
785.2655567755573,352178.0
23095.390006135392,381922.0
21268.14645275392,381763.0
-181.45767037954647,343921.0
16967.002369675844,366834.0
Objective Value, Total Weight
-4145.817884569988,340918.0
22395.73865553015,365894.0
36690.041381617426,411833.0
3137.1387284985976,345289.0
38549.487672040006,425135.0
16568.5012575523,361684.0
29864.81850539794,387271.0
23360.890884556167,378274.0
30965.91775961453,397228.0
33775.60554354498,410234.0
13967.883051059966,361283.0
22513.376915225468,377779.0
28101.77616454597,379084.0
-12934.267004830763,333560.0
-4959.493857524823,335253.0
11887.937366614817,360931.0
7679.789130055637,354900.0
Objective Value, Total Weight
30851.51114952541,400344.0
24223.867388638086,384460.0
6781.220369935792,352957.0
18236.695652862603,373075.0
-2152.28137986199,350005.0
33305.90337123186,415801.0
16339.634369836014,366087.0
17560.13489590166,372092.0
28703.766010927793,389834.0
-2708.7115715625114,336494.0
11847.389253211673,363608.0
8287.403090264997,361703.0
24208.878075386456,381951.0
22561.733800360642,375927.0
7436.942821394419,355443.0
24447.333611664828,385175.0
9899.595829398138,362775.0
Objective Value, Total Weight
6379.607031216554,358394.0
31750.14600589266,393613.0
12179.486033332476,359423.0
22846.995341087575,377912.0
-5836.955342589936,341372.0
-5145.866297376982,349532.0
24062.62346540898,385192.0
21312.34723809641,369571.0
-2446.857561738405,352392.0
-10675.08787052147,340597.0
29461.166194688587,390738.0
4394.963489951624,355953.0
2608.018456993159,353635.0
34326.65491797996,411006.0
Objective Value, Total Weight
1448.076820464339,348183.0
22762.03085091425,378505.0
13932.127728038176,366434.0
-4660.899770278134,343031.0
-12674.95017053961,336843.0
28509.798151098425,399797.0
10715.302799448196,362801.0
19675.47415282979,371381.0
28257.44185953791,392971.0
-7360.481778839021,342016.0
-14918.39914925641,335563.0
-196.56215137254912,345805.0
8721.322828324337,356448.0
2285.2957775295945,353744.0
30126.433181281493,403998.0
-8604.194273153262,339822.0
23062.912427654373,390208.0
25290.116384172812,391654.0
4871.643740421394,355370.0
32457.534171212,410924.0
Objective Value, Total Weight
-25918.018629082886,310600.0
19273.633211082662,379243.0
14315.879792689928,365918.0
33503.72809904063,408137.0
504.9168806091184,349883.0
27247.23678484297,407167.0
11931.184710661066,363931.0
25873.18736898055,399575.0
5929.610223806114,354677.0
3893.712906277331,350566.0
-6890.167132386763,338952.0
15730.0150878696,369357.0
22088.028644082777,380189.0
-9564.440601916227,329774.0
6961.230412020115,359595.0
16502.248580674117,378503.0
-14765.555465202895,321834.0
23369.592879135103,387400.0
-431.0558941180352,342132.0
Objective Value, Total Weight
28285.096842803876,396332.0
28640.714102805476,403213.0
351.7257199703017,351963.0
-6332.765669764311,344391.0
18914.126676058164,379041.0
-782.1970765278093,344942.0
7875.108640201681,355560.0
26819.63505514845,385942.0
12891.304790088616,364958.0
20339.718942059902,379582.0
28913.356289072428,408274.0
36338.05912569427,416215.0
8837.879996199626,361377.0
20860.682332457567,379914.0
18237.86684119655,370622.0
21687.104727096972,385907.0
34996.379846660944,409489.0
-14700.816540952655,343608.0
Objective Value, Total Weight
28697.091558342392,395763.0
7730.509248281829,346918.0
33338.96330796898,425775.0
31872.257630344306,423475.0
21544.65623131109,377066.0
-97.30860346968984,341083.0
13950.144553185208,360533.0
-4912.932962649036,335020.0
29575.296378272877,398960.0
21038.51499885955,372877.0
26086.918519530038,386613.0
16683.736335639376,362883.0
-1866.4150538648246,339591.0
31718.28750438377,401786.0
12224.855424794136,356646.0
24823.03716301272,380539.0
18342.65632007568,365296.0
27815.239780885633,389073.0
Objective Value, Total Weight
28605.24849085114,400347.0
19989.970210934698,373500.0
22062.747806164552,380767.0
16495.603828094143,358931.0
26864.727525984927,387621.0
30023.60573812155,402310.0
9325.967273370828,351278.0
33459.6332332163,402897.0
37308.81245925638,413882.0
-1297.9173973503057,345838.0
3549.1139308516867,346425.0
33955.36775089131,413775.0
21341.886293698335,374946.0
-14207.341110056848,344879.0
27474.17849440826,397961.0
-17977.881356310972,341172.0
