Objective Value, Total Weight
-55272.08698328026,409604.0
32847.440607639495,539224.0
-55272.08698328026,409604.0
32847.440607639495,539224.0
26041.97633904463,521519.0
-19831.858807845274,452370.0
9307.422192612314,491261.0
-39488.8851700715,426705.0
3057.365367588238,478310.0
15066.865678818664,502068.0
-44996.06184159743,414937.0
-34182.97061389487,433266.0
-28076.640540502965,434469.0
-11290.723058200674,459773.0
24263.25100449426,517332.0
-43760.73249844543,417300.0
12204.825878879637,495919.0
18332.319246790837,512215.0
-4175.414990503574,469272.0
-8168.507001839229,465433.0
Objective Value, Total Weight
47823.05491932889,575177.0
-63446.30502379092,393057.0
41108.22765996365,553170.0
-33826.30265951669,427582.0
-41580.582296142005,418423.0
-48618.905354502844,409466.0
-54858.30248791643,400827.0
-27351.808202831657,438727.0
18432.542488135863,509067.0
-17961.433023786754,453078.0
-5219.312971023144,470614.0
-13206.581433691783,461204.0
-21313.511293099844,442262.0
37305.12178291718,542509.0
1880.6419356794795,482339.0
34603.67284516001,535840.0
-6871.915593907703,465051.0
15043.286551839672,501669.0
1880.6419356794795,482339.0
11250.052158088656,494111.0
Objective Value, Total Weight
12301.502670303802,494767.0
-64668.7133135983,391040.0
-64668.7133135983,391040.0
12301.502670303802,494767.0
-30995.643236996722,421400.0
-58803.51182479353,395376.0
10126.184566703974,487152.0
-53473.99321143818,400052.0
-14562.216469449457,451987.0
-346.871730265324,477179.0
-40167.61981455411,415730.0
-48896.191759191104,404889.0
-7639.840078272973,459221.0
-10252.284463802236,452010.0
-26377.42223931395,430689.0
-24699.879217087873,436965.0
6032.208345066174,480289.0
-5712.624863529112,462815.0
-40755.15093355696,414087.0
-17823.051208485034,441000.0
Objective Value, Total Weight
25826.10959070665,536910.0
25826.10959070665,536910.0
-74363.92381699802,389826.0
-62156.61498170928,400720.0
19981.285539023695,522645.0
411.52162688667886,484188.0
14864.48761530337,517662.0
-44924.099963351735,419629.0
-39566.64767613006,432795.0
12888.11852571601,505467.0
6775.310172751546,494575.0
-13284.79363092687,458782.0
-16691.499089384568,452481.0
-31963.095984275686,443506.0
-46070.10702400026,415769.0
-4419.056158469641,473956.0
-10159.421016524197,468614.0
-22226.023682725034,446050.0
-53837.259243830806,410713.0
-60930.92138480616,407688.0
Objective Value, Total Weight
35589.70554901799,531241.0
-55885.252151669585,400825.0
28455.379605679773,522236.0
-51256.386129435035,406706.0
196.90512277418748,473036.0
7111.981080266531,481029.0
-44828.131695035496,413677.0
24995.57639295631,511327.0
12889.445482737152,488111.0
18383.45163111377,498282.0
-848.2546824498568,466014.0
-30044.52091283421,426711.0
-20959.874843624188,442001.0
-39840.97947610996,416760.0
-27867.569744164357,433220.0
-16061.040508376085,444887.0
-34880.96547829441,424656.0
8884.32366185519,486983.0
-5765.844812316704,462186.0
-37040.16714249144,420044.0
Objective Value, Total Weight
-63994.07336811104,390873.0
32326.545578383375,532377.0
-63994.07336811104,390873.0
28955.188663150766,523753.0
-53887.71076638473,401914.0
13896.24018482049,496772.0
-14993.711419658153,442464.0
-11085.497221522965,454697.0
-565.2689120264258,467203.0
-24293.928619796294,437254.0
8759.440708840732,489233.0
-4472.483781520394,461196.0
2158.7849992919946,475799.0
17827.128075049957,502208.0
-18235.387885018252,440094.0
-46735.53608237498,409717.0
-35793.99724909931,423201.0
21567.429974458297,508197.0
-42812.59778440255,413027.0
-8258.110127791879,457609.0
Objective Value, Total Weight
-69597.19670854579,386136.0
24871.683465921902,510516.0
24871.683465921902,510516.0
19160.766529718065,500491.0
-68773.77923010883,393306.0
-46852.05464763858,408620.0
-55058.68771603075,396845.0
-13980.594635212561,445840.0
3522.611411406542,471098.0
-51467.98811087711,399101.0
-8661.910839643097,454522.0
-41073.011575297336,414843.0
-2294.1280645645456,462084.0
-38847.442483834224,419718.0
12111.467746614479,482793.0
-32070.561501553166,424127.0
8952.311707975226,477834.0
-30887.951454194845,426710.0
14150.831640211516,490865.0
-26645.410793340998,432495.0
Objective Value, Total Weight
27390.030462253373,523511.0
-77731.39614775928,369506.0
-77731.39614775928,369506.0
27390.030462253373,523511.0
-68769.74091242987,380247.0
-19700.35911062709,438847.0
-61513.40199916647,384787.0
-51591.79327818577,402490.0
-55092.61145609454,394487.0
-44026.83893305948,411751.0
13514.834115885198,485367.0
-38158.81749462383,413921.0
-33755.30875460862,423621.0
-13259.372075714637,451253.0
-24644.286040795036,432763.0
17840.10791461577,492002.0
7648.5370568144135,479277.0
25157.575478959596,513535.0
-75472.0547185702,369917.0
-29472.883729123394,427932.0
Objective Value, Total Weight
31472.352991088293,538925.0
-53613.37697064725,410877.0
31472.352991088293,538925.0
3159.280771362246,481529.0
9676.305297913728,498172.0
24392.885903146933,518781.0
29991.059428208275,532499.0
-6573.098329220433,463186.0
-32531.409954409464,434994.0
-3262.5558324573794,477805.0
-43011.171792385285,421044.0
16992.63323544769,503545.0
22686.91385262506,511477.0
-38537.80775910092,426939.0
19994.536385293002,507381.0
12108.841084886924,500512.0
-18561.82264124835,452567.0
