Objective Value, Total Weight
367.3943374535256,4450.0
-433.9563447666096,3866.0
1537.0149078558861,5455.0
-433.7312577246148,3918.0
126.36797516297065,4393.0
1157.7769874782216,4752.0
1325.5391150872592,5288.0
1182.690579162093,5127.0
1845.6165942274592,5793.0
440.95001394897645,4658.0
-742.3114256853605,3494.0
Objective Value, Total Weight
2951.566635992086,6536.0
1182.701098738501,4707.0
2034.6667825438926,5622.0
3791.987510550378,7762.0
3434.46081055624,7340.0
1541.9290422218473,5036.0
71.97541081933923,3798.0
1916.4211697947612,5419.0
1204.1304831033985,4762.0
3163.0173488888277,6745.0
3791.987510550378,7762.0
2604.784332841179,6136.0
1916.4211697947612,5419.0
441.48884450659807,4218.0
2508.319362765488,6089.0
-1135.657691937543,3491.0
-1312.3035720647558,3155.0
Objective Value, Total Weight
1045.0424256786955,5350.0
2917.8683676834735,7316.0
2106.9951458723426,6023.0
676.1399261554398,4988.0
1436.4673764419613,5568.0
-190.79613557281482,3729.0
2411.2650210524644,6360.0
2483.939872032609,6439.0
2917.8683676834735,7316.0
1599.9654438605858,5657.0
-520.0289562989301,3524.0
1436.4673764419613,5568.0
290.28477464619846,4612.0
1190.0643162796732,5451.0
700.846978816784,5045.0
-2068.3931155578985,2632.0
538.4001632329391,4729.0
420.12127771027554,4684.0
-1711.7024878586535,3489.0
Objective Value, Total Weight
-50.05328548496527,4369.0
198.3167419887659,4554.0
2231.013585033472,6706.0
2741.101509445816,7402.0
887.4092220587772,5331.0
-182.8276365196034,4283.0
708.6193825402552,4981.0
2231.013585033472,6706.0
-1163.1494271735128,3403.0
-673.3230050421744,3745.0
2074.2875511629136,6584.0
103.59709158633541,4485.0
103.59709158633541,4485.0
-406.56559645626294,4170.0
-1847.7395091008912,3277.0
Objective Value, Total Weight
491.1265102424004,4738.0
-431.06424302400046,4228.0
1572.0306594631447,6041.0
2566.589588292707,7336.0
776.856994704478,5306.0
2046.087034457717,6605.0
328.6926510501826,4623.0
-492.0761297954532,4025.0
-795.5867730910104,3883.0
1151.3596535583265,5761.0
1210.824657388831,5803.0
1384.9040124811045,5947.0
-431.06424302400046,4228.0
-152.7115657535869,4439.0
-414.3278136463923,4402.0
890.6187063168654,5550.0
Objective Value, Total Weight
1267.931465072622,5345.0
92.04586036636556,4663.0
1368.2046273837814,5346.0
2168.7287513879965,6037.0
1641.1452646159978,5713.0
951.8154432927349,5043.0
715.8845586553061,4812.0
2540.800118160444,6188.0
3038.9375242392653,7050.0
1107.303899173111,5243.0
1880.8904118360078,5975.0
-114.73209812347704,4351.0
-76.44065011857583,4397.0
-1076.376738114921,3634.0
425.9217637982756,4739.0
68.72320292621771,4536.0
425.9217637982756,4739.0
Objective Value, Total Weight
2240.132773131666,6394.0
696.4597225600073,5078.0
1161.428117455508,5351.0
346.06460755205353,4778.0
1550.141590593049,5789.0
3066.860841569225,7465.0
3006.472719514036,7036.0
1917.6616282436335,6131.0
551.8507704626554,5007.0
3066.860841569225,7465.0
-148.2498793197492,4520.0
2387.0215858685006,6738.0
696.4597225600073,5078.0
13.88694119228694,4549.0
-594.9988090723027,4264.0
-211.9492250249923,4325.0
-1529.0792952450793,4046.0
-2619.6180445338887,3883.0
Objective Value, Total Weight
2618.913641414879,6652.0
2961.172527647799,7703.0
1605.5345895758528,5498.0
-862.6477431949907,3382.0
1019.4338764204886,4954.0
1690.1871914633393,5597.0
53.242353467770954,4058.0
706.9137271808759,4720.0
677.8003103312685,4665.0
2951.423181029146,7608.0
1019.4338764204886,4954.0
357.50081161012713,4563.0
1304.3513125114969,5236.0
-541.7962425759424,3604.0
2352.4130708710436,6121.0
-1222.4555493133194,3328.0
146.03563090862826,4412.0
Objective Value, Total Weight
-20.633363057614588,4485.0
1084.156991514582,5158.0
1144.5159648229555,5392.0
2517.9012644306167,6927.0
1819.8930637476487,6002.0
693.7847337587864,5097.0
1411.8304286003158,5544.0
1554.3932845857053,5683.0
-466.8430990794377,4026.0
1934.597376593767,6182.0
-1092.3309057500664,3883.0
693.0724447404418,4994.0
-62.80243117405462,4392.0
1411.8304286003158,5544.0
99.14826694211388,4944.0
Objective Value, Total Weight
2985.258446739479,7312.0
-44.26520315027574,4146.0
2187.332708335827,6118.0
264.7863649909923,4243.0
1148.3363470741597,5062.0
-727.7681320521742,3545.0
1275.2323234519645,5319.0
789.5632675820416,4688.0
903.9464961546282,4941.0
326.1680104264751,4483.0
