Objective Value, Total Weight
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
-62566.624714664635,9243.0
Objective Value, Total Weight
1345.762473220093,6812.0
1292.4514417373612,6712.0
1215.541344184001,6531.0
614.9451161754168,5978.0
1292.4514417373612,6712.0
614.9451161754168,5978.0
334.4613625092461,5636.0
683.5414631361546,6078.0
513.5360478846724,5797.0
436.46991862059804,5697.0
436.46991862059804,5697.0
259.48291570064976,5586.0
1150.5015924290728,6431.0
1150.5015924290728,6431.0
1345.762473220093,6812.0
1150.5015924290728,6431.0
1345.762473220093,6812.0
513.5360478846724,5797.0
1215.541344184001,6531.0
614.9451161754168,5978.0
Objective Value, Total Weight
-379.00497376628664,7092.0
Objective Value, Total Weight
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
-3466.114972957481,8076.0
Objective Value, Total Weight
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
-1284.6723870772712,6749.0
Objective Value, Total Weight
450.6397238796635,6884.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
256.773191697941,6852.0
Objective Value, Total Weight
-361.76674955617455,6614.0
-361.76674955617455,6614.0
-442.64691938269425,6513.0
-442.64691938269425,6513.0
135.700354178196,7733.0
-442.64691938269425,6513.0
-442.64691938269425,6513.0
Objective Value, Total Weight
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
-5759.60401948015,9467.0
Objective Value, Total Weight
-4243.091107484641,7634.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4051.015070819876,7636.0
-4243.091107484641,7634.0
-4243.091107484641,7634.0
-4051.015070819876,7636.0
Objective Value, Total Weight
-902.0317748736379,5948.0
-902.0317748736379,5948.0
-1391.9998058248784,5485.0
-902.0317748736379,5948.0
-1391.9998058248784,5485.0
-676.2130631207674,6159.0
-841.8045196992898,6071.0
-841.8045196992898,6071.0
-1156.7283245849667,5696.0
-1156.7283245849667,5696.0
-1107.4293070495878,5860.0
-676.2130631207674,6159.0
-676.2130631207674,6159.0
-1156.7283245849667,5696.0
-1391.9998058248784,5485.0
-1326.473566060813,5608.0
-1107.4293070495878,5860.0
-622.2184995174066,6282.0
-1326.473566060813,5608.0
-622.2184995174066,6282.0
