Objective Value, Total Weight
7286.525169414126,37505.0
-5685.9995469126225,19197.0
-1209.763832327968,24457.0
-7190.141726148773,18201.0
-1829.1132364112782,22951.0
110.54610105536995,25032.0
329.9468614365687,26316.0
1294.9942646345517,26819.0
-4149.98190204757,20653.0
6537.825295166818,35324.0
-9633.02727776354,16348.0
2691.1552175273246,28864.0
-2848.0178229877056,21844.0
4037.7974623534537,31098.0
4903.570240571396,32405.0
7456.937832221083,38829.0
2985.0052317107475,30064.0
-8652.573814575124,16808.0
1855.1195231210295,27996.0
5186.145306308565,33783.0
Objective Value, Total Weight
-14690.910168787952,11838.0
-6396.102931863832,19296.0
-13006.35815577535,13245.0
-8798.913244144434,16197.0
-642.2486030014334,25580.0
2772.2402203101083,29522.0
-3787.5000776103407,21614.0
-7034.984505382839,18531.0
4580.986459154687,32720.0
729.7128563501319,27177.0
-2636.653350026012,22790.0
-5092.15611782956,20315.0
-1504.4676950129797,24182.0
1886.767633044823,28258.0
3532.141311460575,30875.0
-8041.091596159502,17643.0
-10871.70274555948,14158.0
6021.286160245749,34344.0
-9711.137958223382,15322.0
6447.431784181383,38757.0
Objective Value, Total Weight
-3373.3616315466716,23413.0
-9926.504226077617,17295.0
-10931.557390119,15927.0
-6681.063220307464,20965.0
3040.933355056164,30890.0
-5414.0358928221685,21117.0
-6872.851864911245,19817.0
1633.7409747659476,29120.0
2386.5098867795678,29951.0
4042.0490537382866,33418.0
3053.8632974843786,32208.0
-601.1078567922668,26434.0
-8709.61473663235,17849.0
-12017.294828020782,15148.0
-2160.27199392068,24421.0
-13802.248078816905,14010.0
439.9102444887394,27691.0
-7763.618389359537,18778.0
-4285.244562831416,22486.0
-15105.968503444074,13081.0
Objective Value, Total Weight
2794.0836900548966,30159.0
-6931.4956772196965,18538.0
-3708.831974621018,21724.0
-9451.705992065301,15969.0
-5537.010280300019,19510.0
-4110.928908713249,20820.0
2020.222792387758,28013.0
-2923.542404812848,22418.0
-1088.808211027128,24810.0
678.3684520196475,26623.0
-7395.065248924388,17585.0
-87.38954482619738,25661.0
1201.5119516806153,27657.0
-10299.294279362555,15262.0
2218.2221998680325,29057.0
-1725.2551519845147,23570.0
4599.06544499236,32413.0
-11116.262781097208,14322.0
3552.82513962355,31526.0
-8508.725955769009,16696.0
Objective Value, Total Weight
5022.454752615304,33342.0
-8509.798685304377,17965.0
-5859.853204902494,20538.0
-9740.802581099706,16707.0
-1863.1321229367095,24177.0
-3856.1147615627997,22040.0
577.0501187673508,26733.0
-3083.960274707453,22547.0
-710.1298992745578,25244.0
3528.5087233076774,30518.0
1621.1746007313486,28446.0
-6749.580754394614,19224.0
5693.121504725481,34940.0
2374.2061092460062,29564.0
6274.379611634395,36117.0
6785.648641916319,37709.0
-4537.983969359942,21272.0
7208.379456235918,39596.0
3935.598261563944,32192.0
-12332.503609952502,14752.0
Objective Value, Total Weight
1187.0942489635854,27045.0
3803.605215933443,30083.0
1672.8112766734266,27920.0
-2297.7322433899753,22676.0
538.0709855901077,25696.0
2523.523024847578,28691.0
5762.02567625144,32928.0
-3024.022689230289,21825.0
-1043.3641063783361,23821.0
-6032.464048484799,19243.0
3302.0824649774513,29280.0
7248.285808863526,35964.0
-4892.063520910146,20367.0
6428.3132783560795,34507.0
4310.06849085469,31129.0
60.48557693843031,24986.0
7585.1972460275865,37984.0
-7833.207013033501,17733.0
-3992.1586221850084,21178.0
-7008.166555980555,18472.0
Objective Value, Total Weight
1270.288277647851,28588.0
-1600.0041961976603,25194.0
3161.3041623929603,31791.0
-775.4969896591647,26884.0
683.5312678876871,27547.0
-2649.51596586706,24006.0
5688.478548358973,36212.0
2516.7684507925806,29766.0
-5100.298385695816,21139.0
3208.990943329227,33207.0
-869.6843984752995,25678.0
4297.9782680491335,35458.0
-8505.031690033647,17497.0
-5906.876065179786,20078.0
-3432.6645744254565,22291.0
-7215.42199757335,18981.0
3933.589546442534,33978.0
-9620.19824318181,16502.0
-10929.007054021095,15339.0
-12499.629091036746,15009.0
Objective Value, Total Weight
-10582.008484308226,15863.0
4384.689034213545,33164.0
-4187.822282137364,21150.0
3281.9271442120953,30636.0
-13514.672112642904,12703.0
-2595.9382955518304,22958.0
-2115.4303524889037,23882.0
3972.65992008186,31729.0
-6418.592810501301,19267.0
-11485.860516791658,14373.0
-7379.950767190749,17935.0
2187.624264157057,29076.0
-3221.118659540967,22057.0
-624.9954457029817,25813.0
663.8823994297563,26815.0
-1267.7619482851587,24684.0
-9351.200592090074,16768.0
1161.3626138096006,28144.0
5556.1662455280675,34462.0
-5205.422472559279,20608.0
Objective Value, Total Weight
1364.7422023877225,27309.0
-10011.747116724764,15381.0
4170.857201040912,32195.0
-1278.8659790487072,23867.0
3159.3831384360674,30129.0
798.2373559505068,26383.0
-12739.158087638425,14323.0
-5493.432591526558,19391.0
-6153.959583013915,18790.0
5346.970998891069,34818.0
-8595.228543034704,17165.0
-622.9782733997854,25003.0
4645.540409224959,33252.0
2036.2591813297186,28195.0
-11079.101733557589,15218.0
-3544.989999636324,21313.0
-4545.173979872183,20458.0
-7590.608900807216,18006.0
-9744.056545957523,16278.0
-2490.619277351834,22527.0
Objective Value, Total Weight
-3444.7489067502174,23059.0
-1379.5940003539872,25134.0
-9395.654648558615,16722.0
5226.130617484443,35248.0
-8608.789732528021,17470.0
-6830.874880438285,19153.0
5421.554393009414,36330.0
-7779.377075535238,18684.0
1010.9755012075475,28031.0
3505.6496499488712,32063.0
5624.814224721835,37269.0
-6193.400095187557,19944.0
-1964.5771289343902,24132.0
2417.1487595623475,30462.0
-5175.926086568405,20887.0
4634.033111470766,33454.0
-470.7074086430366,26460.0
-4200.134307970176,22349.0
1659.1034175993555,29032.0
-10614.48016819344,16175.0
