Objective Value, Total Weight
3544.3016239316785,44066.0
-1386.3279830525644,38001.0
-4179.850954455418,34904.0
4999.000594968318,46055.0
5567.603109971053,47050.0
-1054.2259339453522,38487.0
-2990.1428517856257,36024.0
8722.867476857355,53032.0
2202.8702367152437,42307.0
6690.0448661487535,48688.0
4467.278451227743,45304.0
3231.2123194362794,43603.0
324.39095279655885,39855.0
7275.075893351786,50028.0
1524.6975488482349,41836.0
-5376.918636000526,33705.0
-2089.706919221855,37389.0
-13206.360817991794,27472.0
-6203.189143675001,32878.0
-10028.3327274791,31414.0
Objective Value, Total Weight
1317.7335085539235,39930.0
6562.576676144956,46876.0
587.9923900739013,39056.0
4399.402655021113,43779.0
5769.3987504438555,45581.0
6178.482860643446,46231.0
4807.639594044282,44424.0
8245.890055931988,49880.0
9691.918364774945,53235.0
7899.791988670491,49235.0
68.96364804843324,38514.0
3557.4533108584583,42719.0
3136.1111829843358,42154.0
1681.7890931457878,40343.0
2274.2461252421053,41094.0
-545.8433450358207,37992.0
-967.1287358487534,37396.0
-2628.01600069533,36079.0
-2628.01600069533,36079.0
-8564.718473661174,34656.0
Objective Value, Total Weight
6226.764158846367,47418.0
4493.426748008344,45042.0
2121.6764954995597,41801.0
2788.7080867607365,42781.0
7492.881515222463,49494.0
6912.412678854809,48494.0
4664.941602128434,45283.0
-286.1113963506941,38842.0
6029.278437051755,47051.0
3698.2579728945857,43916.0
3107.917564735122,43244.0
990.6645390137128,40552.0
5165.961980356769,45916.0
1430.6804540935627,41124.0
-72.55034016464197,39215.0
-1011.3435985457763,38389.0
-4023.78971026386,37069.0
-1895.1884617749165,38029.0
-4023.78971026386,37069.0
-9757.38620324609,35628.0
Objective Value, Total Weight
7558.201239763919,50009.0
9706.779522747805,54940.0
5704.740085416539,46473.0
8449.398278414374,51993.0
6183.631287624208,47199.0
1919.384160059526,40933.0
1239.6333142000803,40422.0
5281.155654637376,45697.0
4257.051508144359,44145.0
2668.686563981384,42114.0
3417.5427941056114,43085.0
4845.228538729214,44937.0
-5674.935663107899,36394.0
6756.707328518416,48211.0
9458.875438917094,54582.0
-6725.958176104279,34187.0
-568.1841301586319,38302.0
-323.91044938862615,38669.0
-6775.303837923166,33150.0
-3044.332972901131,37385.0
Objective Value, Total Weight
1728.9430938067817,41411.0
