Objective Value, Total Weight
8990.565551033316,54649.0
3388.058166609022,45308.0
2580.4787015184775,43872.0
1693.9146261086717,42959.0
6428.126915096218,50312.0
-2480.208545761583,37795.0
535.4509454824001,41383.0
26.119423411124444,40799.0
8529.57138132141,53961.0
-5014.180099372759,35220.0
-3410.308837063567,36736.0
5685.842975795174,48829.0
7258.248975173774,52001.0
-1213.2594847086293,39618.0
4236.410397361753,46452.0
-2109.7126257911295,38294.0
-5905.66197658825,33914.0
-9770.485982757229,30265.0
-8321.736129612931,31563.0
-12738.935152605205,28164.0
Objective Value, Total Weight
542.9860840152687,41355.0
4800.930443699268,47319.0
6454.954575743621,49508.0
10505.189334437731,62554.0
-2056.2358021432447,37549.0
2921.1383925359405,45131.0
5910.964435293114,48937.0
4113.98764640119,46065.0
300.295727119832,41259.0
1892.2467176300488,43454.0
-618.578525725432,39851.0
8444.40525390357,53571.0
10108.720812362262,57428.0
7701.835698800569,51818.0
1228.1911769228464,42299.0
-4654.156534712318,35544.0
9228.213066606659,55240.0
-8010.889395173152,32429.0
7252.258723492421,50944.0
-4193.763740391987,36111.0
Objective Value, Total Weight
7169.432126362008,51281.0
5124.315323282426,47730.0
1745.4682917637329,43126.0
307.6390973842499,41498.0
10021.915343697146,59012.0
2609.3431765803543,44739.0
6097.674821750006,49745.0
4833.113302214719,47558.0
-9958.448877592396,31022.0
-2375.2126834356677,37774.0
-699.7858563361951,40364.0
-3902.194400003704,37407.0
-1636.3686845596967,39310.0
1398.6439859832753,42840.0
7849.8115740240755,52451.0
-8795.859757012731,32947.0
-6469.083452949584,33962.0
8466.386335454343,53924.0
3544.692724102024,45978.0
-5192.167407165674,35869.0
Objective Value, Total Weight
-1081.7011523748006,39195.0
3941.510044169234,45430.0
6705.516631800667,50796.0
560.1794923843918,41350.0
7219.57850053913,51141.0
8300.86045553162,53947.0
9454.081469994439,55789.0
5520.546573593303,48158.0
5745.23769641501,48609.0
10298.42671808492,58117.0
-1503.2523002038579,37934.0
2879.0971752150945,44852.0
-335.33760224303114,40334.0
-5706.357144942369,34226.0
-6530.980858732764,33304.0
1654.3728373138147,43332.0
4225.715151523007,46979.0
