Objective Value, Total Weight
-23052.34166521836,17283.0
9097.71271709822,56769.0
-18838.050106199298,21394.0
7080.821663717099,50292.0
-20907.90966054122,19756.0
8210.386834160825,55487.0
-15918.359494877237,23557.0
4631.276748889904,47262.0
-15495.26324683609,25621.0
5107.437513338453,49661.0
-10810.814681417476,28931.0
2664.774256641358,45098.0
-6570.711929934725,33218.0
-8542.560018879522,31769.0
-2100.854899635844,39560.0
-2664.6004353238604,37698.0
-12529.303603840213,27189.0
-12850.992229022464,26469.0
-9887.145811664028,29810.0
-846.4607063528019,40513.0
Objective Value, Total Weight
8926.432301718676,56337.0
-20484.98112384991,18646.0
-16493.236198379804,22848.0
-18990.02334725074,20551.0
6932.120913205581,51156.0
7743.7428395672905,54863.0
-5469.149580118108,34670.0
4163.035765836816,47082.0
-13136.73663568079,25753.0
-198.15510405541863,39774.0
-9253.533312004773,30370.0
-3841.6204703269686,36402.0
-2008.1093146655403,37856.0
2465.157109359381,44134.0
-14441.642969592649,24663.0
3016.328397583173,44313.0
-10215.5140677526,29467.0
-7091.654229850945,32249.0
192.59101125376765,42729.0
-11369.95633166776,27568.0
Objective Value, Total Weight
-20693.387834820925,19862.0
9856.950363560682,61224.0
-12572.723559100523,26984.0
-16835.708173974206,22203.0
8758.369093412613,56312.0
-4623.239321407193,34408.0
1804.9555841804395,44567.0
-3955.0044706647022,37962.0
-17540.853807564185,21827.0
-881.1044347166244,41579.0
7415.702843237203,53824.0
4312.248269156546,45701.0
5233.068595577977,49312.0
-10843.431413162245,29990.0
9350.908304235389,60751.0
-11955.10680110615,28281.0
-7070.785380221067,33166.0
6802.161654508025,51677.0
-9121.842591492743,30972.0
-2137.739010047466,38614.0
Objective Value, Total Weight
8797.158785715088,57527.0
-24181.949106273787,16567.0
-15559.635962923785,24114.0
-19528.85865574507,21245.0
6181.929304127414,51423.0
-12452.030120855597,27410.0
-8913.006625979971,30829.0
4805.523547026838,46304.0
7372.678388487286,54598.0
-7822.889141596061,33608.0
-20780.440356607636,18619.0
-14219.653267726702,26865.0
-3693.979484306765,37656.0
-5862.110581670677,37268.0
2463.2418276542667,43513.0
-23072.7073913242,17972.0
2995.2505617105926,45229.0
796.886031830596,41646.0
-1638.0577443930524,41208.0
-8012.462298923587,32252.0
Objective Value, Total Weight
9094.280065915998,55308.0
-20840.219731667683,19257.0
5112.575449565287,47989.0
-1157.4778516728911,39865.0
1164.0963009497136,42999.0
-18336.00773917421,22573.0
-14362.577584684062,24560.0
-15460.232422057103,23714.0
-3851.0919348237003,36659.0
6267.9347808130915,50607.0
7669.823173371151,53723.0
548.0559865450559,42819.0
-4964.526948919331,35165.0
-12345.231528432676,27128.0
-19975.19605814021,20250.0
6893.93786891803,52006.0
-6292.198606824939,33628.0
-9319.012971605327,30127.0
-9776.700781268497,29276.0
-6791.849715567994,32919.0
Objective Value, Total Weight
10011.662176664082,57932.0
-19526.734145220922,19761.0
-16102.829335726412,23305.0
-13993.039452012352,25988.0
-4168.657691337874,36931.0
-12138.379800338895,27466.0
-1441.2931586722189,39012.0
-18908.665342788918,20459.0
7437.29053865817,49080.0
2623.0313082678404,44577.0
1160.2783888055346,42458.0
-5036.609929471953,34510.0
-393.93977306172746,40814.0
-9707.563136933866,29553.0
8216.280553610013,53287.0
9258.6615468046,56513.0
-6615.44084586059,33172.0
3970.0431747050097,46501.0
6578.156401030268,47701.0
8366.888990232008,54001.0
Objective Value, Total Weight
-21358.273724013736,19564.0
8221.67793079777,55427.0
-11746.220237300688,29204.0
-8484.583508729163,32451.0
-18973.235103421706,22017.0
-13214.869015240518,26445.0
797.0564977333561,43651.0
-14984.020409326804,25256.0
4016.825785280831,45964.0
5366.525394396063,48784.0
2764.01813130753,45116.0
6732.526510891097,51326.0
7975.777441442151,53876.0
-6353.470836046385,33976.0
-5831.092756990314,34805.0
-31.480829747502867,41386.0
-4315.222097360944,36538.0
-17342.307301585235,23635.0
-16719.886949799045,23820.0
5987.451535769091,50235.0
Objective Value, Total Weight
-16689.505922417586,23376.0
9229.47240641158,58020.0
-13749.307476923641,26341.0
-4549.171522546443,35659.0
-10224.226462930921,29377.0
-2806.3753411298967,37515.0
-6372.510901539681,34898.0
7017.505241341787,51659.0
8423.095120634149,54868.0
-12133.354508506469,27271.0
-1578.4306094144922,38790.0
2422.624818084667,43984.0
3927.021382217732,46890.0
7364.678032775817,54775.0
-625.9686559166366,41922.0
3298.770655202745,45439.0
-7291.218497461807,32569.0
5037.706155177293,48438.0
-784.4054108302662,40239.0
1130.474392705517,42766.0
Objective Value, Total Weight
10581.390901293707,61427.0
-22886.558874772883,17591.0
-10771.537548352251,29096.0
-7862.834527344632,32063.0
9185.09876495217,57852.0
8334.171058826054,54060.0
-20453.67903284514,19551.0
-12741.151300358615,26509.0
-14305.946241057965,24423.0
-16426.835021701932,22606.0
-19306.328523914133,22328.0
1982.576176019189,44684.0
-6030.87447241968,34556.0
3103.9851701353764,46773.0
-3596.6829849597343,38106.0
5222.636274842764,49293.0
6320.125935186421,51929.0
721.5676428421721,42232.0
3720.0212739469134,48795.0
-1118.2643280779084,38841.0
Objective Value, Total Weight
-24635.89659778322,16153.0
7382.9484406514675,54927.0
-273.8581883881925,41598.0
-2449.5803147738843,37142.0
-11731.60439430597,27632.0
-9384.472593670456,30468.0
-22253.707258289724,19241.0
-7504.590713951497,31421.0
-18157.12441881094,21027.0
-13711.53422463157,26128.0
7144.9380572824375,53905.0
-15068.087416770788,25011.0
-4104.388689600666,35839.0
5709.007243958593,50569.0
-6075.371422474513,34385.0
4772.187741031645,48543.0
2077.639330112397,43646.0
-16359.395317928538,23129.0
3846.3504718566546,46431.0
-23432.265787470125,17465.0
