Objective Value, Total Weight
-4349.902444080384,34952.0
-10986.015756597953,27733.0
-10177.799414382287,29239.0
-269.02502375328186,40501.0
8376.704921912518,53708.0
4541.396350585332,46821.0
3042.0505042609366,44376.0
-2379.259768888165,37420.0
-14238.79490686093,24804.0
-7196.961661977664,31212.0
-19864.596934700392,20114.0
5336.335159333481,48721.0
-18168.577447180694,21465.0
-5956.860097980454,32942.0
7473.387055716055,52123.0
6108.164421108093,50848.0
-16219.814408708691,23305.0
-12932.859573085,26563.0
1974.883494455964,42484.0
-8583.568165923287,30194.0
Objective Value, Total Weight
-4189.634668788429,35365.0
3064.200970209349,45163.0
5720.447245854746,48883.0
8345.239065072019,58685.0
-20413.88217738246,20631.0
-7478.137489224369,31296.0
-11171.69467445877,29263.0
-13090.924225829745,26921.0
-9756.62194729552,30535.0
-16796.216150804226,23289.0
-15009.210205567979,25044.0
-1987.1438248230334,37694.0
-6018.225499325919,33558.0
-18788.6932087562,21720.0
-21771.531711369826,18212.0
7577.544202683748,54491.0
-443.7695263116766,39644.0
660.7203536413508,41668.0
2091.259038920798,42960.0
6710.391248102191,51906.0
Objective Value, Total Weight
-10247.032040809761,29260.0
2864.1300523463797,45064.0
-16592.661349661663,23098.0
-15016.937302308732,24977.0
-4054.073710162411,37037.0
-8751.86933966646,31109.0
-13339.110176482907,26047.0
-5940.468075821773,33486.0
6563.753039245807,53145.0
-21536.570764175944,18485.0
-12102.423504961545,27912.0
5495.657979264593,51245.0
9836.300498838566,61703.0
4963.062507313531,48156.0
-18122.924614528194,21248.0
-1037.076732400914,40156.0
8959.944680267086,56631.0
-23718.71098703458,17205.0
-19763.70712311766,20064.0
326.20818534642603,42045.0
Objective Value, Total Weight
7747.745600545342,55817.0
-13170.70612346106,26819.0
-4445.282440196555,35936.0
-11459.311778366602,28189.0
-14259.745141325868,25472.0
-20518.41685632264,20779.0
6221.40259385237,51324.0
-10082.585851984768,29164.0
8796.300339844456,61579.0
8141.103229854314,58177.0
-6588.038956541248,33841.0
-8570.829603684018,31493.0
-1270.8737757448835,38905.0
5277.780028894995,49213.0
4159.645636597801,47458.0
7125.640551841367,53667.0
2710.3184284564486,45719.0
1943.145782175583,43410.0
-18216.273166528925,23150.0
-15753.34676737852,24166.0
Objective Value, Total Weight
-14434.793398122121,25622.0
-4836.030320984675,34584.0
7683.539718122818,55071.0
-4669.978057598972,36285.0
8437.030313390627,56998.0
6994.2670007897395,53466.0
-7706.463903495489,31284.0
-11889.124597191629,27661.0
1014.6003106464195,42780.0
-15751.933214843804,23764.0
-6395.307821993796,33303.0
546.6111919278846,41365.0
9165.70670394013,58535.0
6385.5112839658395,51093.0
5300.511262810112,48473.0
-2779.932923953442,37580.0
2380.7476953731457,44668.0
-10425.553536859981,29925.0
-1435.2186656493213,39460.0
3798.344530755501,46388.0
Objective Value, Total Weight
-16474.941393982735,23415.0
-4532.658955455408,35772.0
-12032.881602570218,27073.0
4244.580513912864,47252.0
-506.5710568268987,40301.0
6079.026117971596,49198.0
-8988.119172223938,30448.0
1322.2567660818968,41737.0
-25494.578133347015,15906.0
-2787.096051301196,37646.0
2986.148745141705,44438.0
-6032.260423713567,34304.0
-18377.290726839004,21070.0
-10792.982398427761,29331.0
-6928.797604140433,32064.0
-1626.1468205691199,38662.0
-14164.938439272286,25085.0
7730.151148411438,52174.0
-20211.32232963836,19669.0
-22830.52819373653,17945.0
Objective Value, Total Weight
5437.930729828688,47676.0
-9109.38816213332,29555.0
-7472.089046292604,32157.0
2663.3726693520075,42949.0
3631.1671081242966,45805.0
-22465.03315645243,18012.0
-17939.893370169302,21394.0
-5467.825091563442,34201.0
-20894.52069867825,18975.0
-16.356559467531042,40429.0
-1972.8718224444892,38126.0
-15491.436107495494,24536.0
-25592.150598180102,15166.0
-11254.87709375345,29015.0
6928.840807797329,50964.0
8444.920029251203,56668.0
-3802.703275102067,36439.0
9770.0438893721,59922.0
-13737.678440754586,26452.0
7943.199967322922,53234.0
Objective Value, Total Weight
-1415.1764829712265,39075.0
-4494.737120767582,35048.0
-3294.985096063785,36858.0
-13135.92135901317,26288.0
-22012.196611077357,17490.0
-16841.170265689092,24357.0
-10124.981526547934,29320.0
-17670.692585696634,21550.0
6405.001712876605,50145.0
4895.1299016368575,47123.0
7817.471577221586,54286.0
-11563.904129531977,27910.0
-20154.105375095925,21117.0
2602.5091618329534,44965.0
1430.5736707435717,42337.0
-8357.703281949907,31351.0
-25167.69384560828,14716.0
-161.03253425360163,40881.0
-6864.59501600379,33039.0
-14632.317919013454,24939.0
Objective Value, Total Weight
315.43299587841466,40985.0
2003.282438866714,43426.0
6187.258934311372,48778.0
-22629.55251128949,17846.0
-6731.677758869475,32960.0
3707.7724551544743,44658.0
-10526.542315700943,28665.0
9931.150251394036,57388.0
8205.925772933893,51421.0
5286.266339293361,46615.0
-18099.759508034913,22030.0
-5419.941416899404,34868.0
-1017.8072580092849,38472.0
-8534.263731182342,30109.0
-12453.618335190695,27779.0
-16014.11327734276,24755.0
-20297.00341918121,19765.0
-13715.47829612239,25798.0
-2962.1273821986906,36211.0
8890.37918428755,53433.0
Objective Value, Total Weight
6002.281036320572,53001.0
-18804.14439297073,20475.0
-15483.782659709424,24603.0
3801.9768651271515,46871.0
-9688.169136410732,30277.0
-10793.400280949994,27588.0
3471.3522378672205,43365.0
-1732.1110357556681,38112.0
10274.347970542032,61832.0
-5318.832821830983,34014.0
-3191.35520767,35897.0
-53.22156663662463,40008.0
-16356.100778448745,22443.0
-7275.299072994654,33604.0
1429.1533763118423,42770.0
8247.349144959371,54379.0
9179.276126920806,57883.0
5810.535296822025,50100.0
-7587.124966190684,31422.0
-12131.073831761605,26155.0
