Objective Value, Total Weight
-5137.486868548251,34508.0
-6918.5081310704845,32411.0
1859.7368385555528,42908.0
2856.475793887803,43900.0
5570.247808926601,48603.0
7715.095780264339,52673.0
-5844.921079542539,33298.0
-7988.416921592456,31235.0
-9211.053480750961,30500.0
-11645.830847357596,27944.0
6829.421864163705,50780.0
-3225.4083866877772,36362.0
3702.1643848536187,45113.0
-12796.477431159,26923.0
1048.414157001338,41101.0
4903.062957887181,46983.0
-1561.3268261645062,38394.0
-308.3078037008381,39539.0
-14747.505985209129,25353.0
-10014.667887556527,29424.0
Objective Value, Total Weight
4130.71818387822,46277.0
-8243.831882353501,30671.0
-2070.7463584902,37342.0
9630.500513610357,59399.0
6722.612601913264,50005.0
-4805.13397144292,34436.0
-3780.977981852171,36178.0
-12119.89809850035,27247.0
2648.5737993754665,43640.0
5295.330092295961,48658.0
-431.6331588843095,39843.0
3662.077920285941,44746.0
937.0894623060012,41053.0
1688.842098400397,42408.0
-6176.111603095458,33108.0
-10385.317667980831,28951.0
8011.344729858261,52908.0
7148.607268552587,51674.0
-14451.012104243811,26072.0
8476.256310256846,57609.0
Objective Value, Total Weight
-4596.2470593959515,33900.0
-13608.902960149957,25090.0
-3250.1417777741153,35421.0
-2153.6752598425082,36679.0
2626.401521022468,43456.0
-1058.0354617806079,38627.0
-6461.876254212817,32000.0
3661.8228212290123,44444.0
-12337.645510799157,26915.0
-10010.154627566968,27922.0
674.8648230230319,40754.0
-8756.513217323765,29645.0
4661.175994464807,47874.0
8167.68402197383,56201.0
-14809.916508512222,23204.0
7759.462479885973,53734.0
6699.104161197734,50098.0
-18279.095383704414,20346.0
-17047.686350028474,22050.0
4309.258456613345,45839.0
Objective Value, Total Weight
3552.049591648567,45987.0
-2315.2986070272527,36874.0
5412.301140813128,48803.0
-9229.74539277699,31116.0
-3428.485130291301,35101.0
-11103.440649639895,27826.0
1888.5673577056368,41805.0
-9684.384210359793,28969.0
-13048.380939602663,26330.0
-18446.515342168495,21460.0
6298.232790543887,50917.0
-13878.808690079211,24889.0
-567.4602083837162,38880.0
-5263.564474015344,34156.0
-6446.737026914438,32222.0
2106.850978881819,44961.0
-16072.686576580025,23150.0
510.19282479312824,40437.0
-19862.54939091987,20171.0
7408.478690251257,53815.0
Objective Value, Total Weight
-6564.072369101792,32492.0
-2482.0715286827763,37058.0
-8974.7615838641,30277.0
-3476.213194169366,35811.0
2741.814564178043,43155.0
-987.9727040464932,38746.0
-5184.365575939068,33884.0
372.1924015717668,40582.0
-13958.566179148023,25670.0
7807.883308193297,51721.0
3436.949646021989,44817.0
8506.938734747055,53618.0
5247.925826301864,47544.0
1698.1868702017673,42011.0
-12228.290828399578,27032.0
6733.338462831562,49828.0
4443.133947991308,45980.0
-10671.914202491986,28574.0
-8116.1605177429155,31331.0
-15790.674529230055,23766.0
Objective Value, Total Weight
-11206.860396090917,26970.0
9435.177150026531,53813.0
-5657.915381527462,32325.0
4576.540552825376,45484.0
-8108.399427794779,30635.0
-6690.058256401455,31563.0
-3532.280375449358,35227.0
-13268.200735677652,25017.0
-480.7000555408231,39148.0
10309.770355326677,56261.0
8147.86239569477,50879.0
8181.26482100616,53505.0
-4338.802809725203,33864.0
-1773.4892403336635,37331.0
-9738.884317600285,28585.0
2148.364968992748,41795.0
3386.247432316879,43178.0
6712.24246853379,48412.0
5752.350793611542,46641.0
1271.88172829221,40569.0
Objective Value, Total Weight
5676.21084685003,48046.0
1918.050040518654,41665.0
-441.2945895141311,40461.0
-1920.6815362457637,37120.0
-6360.198351046798,33146.0
-4716.125219630136,34563.0
-3389.472238272596,35959.0
-9721.588494356583,30129.0
-7946.304471302283,30646.0
-11452.945613331925,27971.0
-641.4259146373952,38877.0
4872.4070031193405,46463.0
