Objective Value, Total Weight
-14651.218447798747,18681.0
-8526.59921501531,25418.0
-11947.795130225939,21269.0
-308.8282964853861,40769.0
-12156.238976573346,20935.0
-18189.642337302743,14332.0
-8421.813680656604,26399.0
-5334.606043638327,30784.0
-2454.518452678538,37122.0
-10792.347227866398,22719.0
-18828.578815561756,13740.0
-28839.518754186836,4233.0
-22111.80231567508,10521.0
-24556.29259823732,8457.0
-16001.437533120225,17008.0
-21028.95197801922,12200.0
-3401.696633725005,33717.0
-7223.478444097615,28041.0
-27257.37957742303,5553.0
-30671.658259526797,2488.0
Objective Value, Total Weight
-4822.541624606405,32850.0
-11824.527141079612,21673.0
-8657.141462050364,25380.0
-4043.7988035909075,35584.0
-6912.456424623233,28951.0
-13470.770248620865,19551.0
-10735.949127658234,22841.0
-23295.762449967777,9467.0
-10157.206318507793,23361.0
-6282.088119475433,30497.0
-25620.75248230291,7103.0
-14848.72847431161,18133.0
-17578.99053121025,15254.0
-21767.611932857173,10745.0
-19436.190764967258,12966.0
-24257.963461178202,8060.0
-16041.630050215244,16037.0
-27497.40057224597,5416.0
-31014.673436354045,2142.0
-29929.200696093205,2999.0
Objective Value, Total Weight
-6951.827553765419,25610.0
-11227.982717984829,22622.0
-26777.308688827172,6133.0
-12550.431643817414,21274.0
-4034.5881374573873,32372.0
-16596.69388697174,15175.0
-5751.08889256043,31774.0
-23910.60955124275,8643.0
-6651.137643445487,28442.0
-17903.684542823976,14541.0
-27399.681074124135,4508.0
-10478.29453465197,23155.0
-18621.500473695218,13810.0
-25901.11992059672,6633.0
-14270.004227799378,17546.0
-13064.356858491563,20252.0
-20049.479147608254,12420.0
-22203.11231770757,10452.0
-31157.456990667342,2307.0
-21308.768360573245,11282.0
Objective Value, Total Weight
-1603.393277303323,32852.0
-3154.7698443734407,31996.0
-2798.8503829223264,32390.0
-8604.40177841865,24387.0
-20325.289137645545,12330.0
-731.4298165638102,37232.0
-8371.318582039967,25249.0
-4748.4031986479895,28574.0
-10843.375940983846,21104.0
-14854.63966307207,17590.0
-6509.775973259631,27460.0
-13218.816490090845,19642.0
-22277.589908275142,9376.0
-29640.896836506756,3642.0
-22127.043917207993,10210.0
-16809.596239001337,16289.0
-27456.321220661222,4961.0
-31749.103096629347,1175.0
-24652.40170793949,7438.0
-19309.930743523,13789.0
Objective Value, Total Weight
-19522.744625065105,12451.0
-6535.797076637369,28354.0
-19302.21659397112,13096.0
-7328.0878052045155,27840.0
-11479.733514722386,21912.0
-5395.143733451267,30646.0
-25350.33890376301,7728.0
-9141.336795677766,25178.0
-4167.606610560499,32929.0
-14132.247288325205,18248.0
-28757.92703063308,3998.0
-26041.968340372398,6341.0
-22799.51147022419,9019.0
-17959.877422382473,13561.0
-10557.990314493785,23461.0
-16080.314701220945,16516.0
-12159.040481599062,21063.0
-21847.61447774734,10613.0
-30491.77883162914,2521.0
-32287.789181818407,596.0
Objective Value, Total Weight
-7070.602088047555,31440.0
-3112.5724409415925,36467.0
-12329.436083929766,22741.0
-8695.599052490965,27998.0
-9496.057917973507,26995.0
-15054.629995433323,18913.0
-6251.55714904319,32157.0
-20034.995318514477,12950.0
-17020.40217533397,16152.0
-13996.218071116658,19855.0
-12481.415010144257,21393.0
-11675.480848431253,24839.0
-24588.389330848346,7584.0
-18450.51934398304,14699.0
-17274.265481826347,15291.0
-27718.670921584904,4804.0
-22692.187277450845,9357.0
-20995.97572407792,10941.0
-26791.994116409558,5448.0
-31333.589222027796,1784.0
Objective Value, Total Weight
-11524.354665070969,22615.0
-5015.852834255049,31216.0
-18134.29268010045,14749.0
-7591.453086273934,25848.0
-24062.952054554,8595.0
-3480.225756762062,39022.0
-16266.959964205074,16479.0
-4993.273880352601,36652.0
-15557.063401995365,17534.0
-17764.267812562968,15048.0
-14674.3122307339,19050.0
-10290.44830711421,24144.0
-30399.9035379419,2764.0
-19263.162516361597,12998.0
-13234.626561271965,20779.0
-6493.991259609153,30051.0
-23175.37354378083,9891.0
-21391.934777242415,11494.0
-26919.317270795,5557.0
-28946.73806864969,4176.0
Objective Value, Total Weight
-7784.286648939167,26678.0
-2781.53343642674,37099.0
-7859.548942900874,25679.0
-25595.00644131456,6715.0
-11092.563740161597,22042.0
-4673.946235462419,30860.0
-19569.83457058834,13192.0
-14107.736681913884,19711.0
-11839.41769076205,21191.0
-20082.697139684024,12273.0
-16139.373954578936,16351.0
-21279.76208187423,11332.0
-3225.4453341068584,32623.0
-29908.066440469236,2941.0
-31923.975584146625,1004.0
-5385.457309485362,29462.0
-27193.182966861757,5380.0
-9986.285875401627,24032.0
-16931.36691363024,15561.0
-22958.94525006147,9466.0
Objective Value, Total Weight
-8911.569488240224,26593.0
-2927.9352522121117,34237.0
-10371.991139338352,24848.0
-5412.337936526783,29354.0
-19104.327264766398,13641.0
-4455.822495191409,30841.0
-3954.9607448726238,32819.0
-11174.92254019741,23363.0
-19810.623748102887,12063.0
-13106.026639717536,20482.0
-16348.389843233665,16583.0
-21893.885262583164,10902.0
-7597.961525632054,26795.0
-13612.312749155775,19783.0
-16946.584640339424,15811.0
-26473.78193419049,5923.0
-28260.7163438102,4772.0
-25169.542583336995,7941.0
-29489.590356896762,3436.0
-23197.59013170733,9498.0
Objective Value, Total Weight
-24555.433404551215,7837.0
-17716.993474180803,14330.0
-4679.177606238634,30798.0
-19354.318375731957,12969.0
-2626.039743718444,36719.0
-3730.5767715085312,33225.0
-8185.520516497236,25913.0
-14723.215156287726,17580.0
-12706.807715353498,20276.0
-15654.760216553928,16502.0
-6426.33990489725,29405.0
-10428.752757954135,22746.0
-13326.01092129862,19654.0
-9846.766481941588,24224.0
-22574.421565087723,9759.0
-7042.182569811768,28068.0
-28018.858044627224,4254.0
-20955.60903221764,11576.0
-26687.74077487729,5207.0
-30003.034870156305,2670.0
