Objective Value, Total Weight
-146139.99,0.0
8575.884059885226,209969.0
8575.884059885226,209969.0
-146139.99,0.0
6772.778127189609,205081.0
-39844.06443537524,121776.0
-88049.09542979265,58980.0
-39844.06443537524,121776.0
-59012.641079934285,94327.0
-59012.641079934285,94327.0
-44340.7348637213,109612.0
-114642.77093640299,31222.0
-124622.48340031182,22857.0
-115248.0355139432,30249.0
-99535.06429336712,47488.0
-93205.10797111929,55241.0
-138941.0433113171,7250.0
-127815.9692002091,18844.0
-42558.33393608837,111468.0
-99535.06429336712,47488.0
Objective Value, Total Weight
-146139.99,0.0
4904.585943966813,225346.0
-146139.99,0.0
-36629.90057607423,126595.0
-1320.8843688620545,217021.0
-82715.61341043442,67392.0
-36629.90057607423,126595.0
-1320.8843688620545,217021.0
-113360.59345582174,33995.0
-63177.92419547256,89995.0
-100461.3416803666,46326.0
-63177.92419547256,89995.0
-139605.0267376334,6679.0
-99162.02737793792,47337.0
-45455.14574651723,112477.0
-55580.41490351112,101643.0
-88161.12703963154,57889.0
-131066.41466481498,15826.0
-45455.14574651723,112477.0
-119471.925127405,25826.0
Objective Value, Total Weight
-145390.7706634944,872.0
3444.135496271483,221449.0
-145390.7706634944,872.0
3444.135496271483,221449.0
-32993.89862148737,124929.0
-4091.7710806221294,213131.0
-61483.128734732105,92887.0
-79986.4967762549,67431.0
-4091.7710806221294,213131.0
-141395.29752414933,5453.0
-125136.7552836911,20164.0
-105211.58211256814,40373.0
-51395.41369129697,102860.0
-95438.15669352884,52338.0
-35608.68403030516,121856.0
-47091.880543386505,113527.0
-100470.14524829783,49543.0
-85381.78436914511,63811.0
-85381.78436914511,63811.0
-116547.07740004244,28281.0
Objective Value, Total Weight
5608.092545178515,218703.0
-146139.99,0.0
5608.092545178515,218703.0
-146139.99,0.0
-43319.214843329275,114287.0
-63265.3463862545,90635.0
-43319.214843329275,114287.0
-92178.84730259536,57579.0
-56251.47899450874,105073.0
-92178.84730259536,57579.0
-102135.78799345752,45842.0
-44458.76982689905,112392.0
-97925.70613925028,51699.0
-61039.41281373863,94433.0
-134327.3945016461,11337.0
-137249.3992860139,8248.0
-110328.12572412807,35836.0
-118869.3440944473,27372.0
-110328.12572412807,35836.0
-127152.76956024385,18501.0
Objective Value, Total Weight
-205.83052242780104,220025.0
-145765.0779851831,410.0
-205.83052242780104,220025.0
-145765.0779851831,410.0
-83779.58105322573,64896.0
-33889.714131185145,132231.0
-50047.359739272564,108961.0
-50047.359739272564,108961.0
-33889.714131185145,132231.0
-125366.69528601776,23074.0
-44634.08608152246,119819.0
-100038.70171344993,48255.0
-136474.6795617345,11025.0
-33931.10024301169,130941.0
-117110.0040455652,32998.0
-108530.3535715951,40916.0
-117110.0040455652,32998.0
-108530.3535715951,40916.0
-90801.47108374516,57957.0
-90801.47108374516,57957.0
Objective Value, Total Weight
-146139.99,0.0
-3590.532176808454,242632.0
-3590.532176808454,242632.0
-146139.99,0.0
-36405.213914834894,125155.0
-4417.787368964462,229117.0
-36405.213914834894,125155.0
-4417.787368964462,229117.0
-108240.75192031384,37823.0
-73244.18326698025,77758.0
-48607.29670131547,103861.0
-46358.68372550892,106165.0
-78987.40778937517,71923.0
-73244.18326698025,77758.0
-131982.9243615678,13447.0
-120656.00288497162,24581.0
-48607.29670131547,103861.0
-93445.3572156009,56532.0
-93445.3572156009,56532.0
-120595.60996501223,26013.0
Objective Value, Total Weight
-146139.99,0.0
3876.849371945078,234076.0
3876.849371945078,234076.0
-146139.99,0.0
-34427.20592235628,127095.0
-9844.247348169738,225638.0
-87271.1673155558,62670.0
-51604.38623776779,102504.0
-87271.1673155558,62670.0
-51604.38623776779,102504.0
-114709.75984669692,32351.0
-105033.56098514554,45077.0
-9844.247348169738,225638.0
-45845.947869161115,114558.0
-105033.56098514554,45077.0
-121103.28207582107,26841.0
-2129.127559523098,226778.0
-140907.29020301544,6021.0
-132574.6219807818,14733.0
-39014.49328743463,118642.0
Objective Value, Total Weight
963.3591980724595,228304.0
-145164.15657253782,1088.0
963.3591980724595,228304.0
-145164.15657253782,1088.0
-15044.422611537157,227232.0
-30434.798438838887,135884.0
-39835.034643973835,127423.0
-47737.29806813126,109580.0
-115330.36153073981,30682.0
-81323.18586970604,68172.0
-103749.59443879972,44415.0
-81323.18586970604,68172.0
-88447.43148571934,58360.0
-58537.128081528674,101640.0
-58537.128081528674,101640.0
-133755.26216972314,14253.0
-30434.798438838887,135884.0
-114681.81456269039,31240.0
-137041.5077611723,10505.0
-15044.422611537157,227232.0
Objective Value, Total Weight
2709.081313642848,230396.0
-145965.57495768243,79.0
-145965.57495768243,79.0
2709.081313642848,230396.0
-35271.73156958344,129703.0
-7099.046362839465,213335.0
-7099.046362839465,213335.0
-113937.23819483074,33278.0
-51590.50243815573,103878.0
-86832.15202612567,63785.0
-62135.8877535098,96826.0
-134115.68922169565,12106.0
-62135.8877535098,96826.0
-86832.15202612567,63785.0
-92009.21689998056,56570.0
-129302.98608104064,16859.0
-107302.23516365193,40667.0
-38882.39958316408,123352.0
-38882.39958316408,123352.0
-129302.98608104064,16859.0
Objective Value, Total Weight
2345.409490427235,232985.0
-144892.97797037437,988.0
-144892.97797037437,988.0
2345.409490427235,232985.0
-15364.58491026191,216939.0
-39533.27949809155,126019.0
-59669.147614003276,93858.0
-142059.4130750719,5041.0
-39533.27949809155,126019.0
-117108.16759977586,28073.0
-89694.12777405733,55777.0
-102618.79529551804,43458.0
-117108.16759977586,28073.0
-6709.92212404852,232800.0
-58353.33140840425,105180.0
-80462.90818723085,74751.0
-43426.27745021315,109110.0
-46769.81774129355,108595.0
-99902.08229815235,49115.0
-80462.90818723085,74751.0
