Objective Value, Total Weight
30791.874444574845,220004.0
-2740.8318189512647,157763.0
29037.841762112366,208927.0
24850.053359985817,200408.0
1203.4257390160346,167262.0
-2514.7132925261103,162662.0
2441.3140375702933,171767.0
24038.10818552936,194110.0
12942.978885219927,185841.0
10693.734755974641,182942.0
19510.912861994642,192799.0
17053.774797934428,192288.0
5175.28148359881,172273.0
16209.818553806253,187877.0
22553.216325822053,193337.0
5500.568096965697,176894.0
15015.192054487474,186227.0
10249.28177689109,179537.0
8763.054651896731,178952.0
6931.584290778235,178341.0
Objective Value, Total Weight
-15320.006366007816,162128.0
28384.938042952766,213314.0
7048.047419989773,170898.0
-10459.450525789493,165789.0
-3694.64712423936,170504.0
8491.438178884506,177889.0
-5699.435648128681,168352.0
10334.076419183286,181908.0
20412.69447434586,191292.0
13396.762232301233,183322.0
26451.1028150403,206966.0
27576.04974666194,210561.0
15212.310835794517,185752.0
17709.088280304568,188988.0
22978.80697324773,200204.0
23499.475848781323,202904.0
16599.239132491668,187808.0
20704.135921063455,195923.0
22217.461851377127,197790.0
24200.707870023587,205773.0
Objective Value, Total Weight
-15202.172212960024,153500.0
22870.56902367645,210182.0
17925.21492488924,190281.0
-10691.212740614836,158528.0
13262.980439998704,188378.0
21338.53970847535,202814.0
1340.6917464259313,174442.0
18943.51505375025,198770.0
-7175.148590734752,165184.0
511.7414637459442,171859.0
-9927.221506291942,163369.0
6264.529383307905,176453.0
-1758.6182565232157,166644.0
-3261.163566453877,166083.0
11434.637253487163,185273.0
6267.9057973723975,178863.0
8232.076920626627,180998.0
9995.833784459508,182869.0
7887.351848046412,180058.0
19692.68569023811,201279.0
Objective Value, Total Weight
24304.94588945704,215250.0
-15234.488276099873,158169.0
-6125.876157883002,167653.0
-8760.930658462254,163995.0
-13907.40567788083,160671.0
942.3877947711444,170059.0
6082.740986527759,177676.0
9109.142166858335,182134.0
2926.3239636985236,176484.0
23416.225165213516,209551.0
18439.708309962007,202582.0
13237.980832794274,191484.0
10415.525606250303,188568.0
20913.600389018684,207905.0
17775.150203164667,196192.0
2303.410526711843,170560.0
19979.107696840016,205077.0
9890.851832110668,185657.0
14615.332035683183,193891.0
15709.369701332354,194457.0
Objective Value, Total Weight
26207.412050854007,215434.0
-9380.671910230594,160089.0
5665.669427120418,174050.0
8565.258285530348,180279.0
12865.291112612904,185190.0
-4941.761070005159,166617.0
-6396.35304940457,161488.0
14257.164659586444,189354.0
15637.455982002255,193867.0
18976.593737856892,199316.0
10419.895249609748,181084.0
1989.4729427493294,172254.0
18200.242065716244,195325.0
20429.614565989556,203620.0
23800.05072961349,208105.0
22451.059326841903,204538.0
25058.07756918558,210567.0
1210.6670353929512,169966.0
-1971.91985296458,168113.0
-1667.0751657142246,169565.0
Objective Value, Total Weight
22991.828944665525,214595.0
-13751.47148125671,155618.0
21834.775180658995,193108.0
21944.36955533875,214473.0
15792.382161818561,185988.0
20010.287672187696,189404.0
8290.477091072244,176967.0
2793.572227134544,172384.0
13652.963571517,179790.0
-7951.08019439652,162832.0
13221.708625636267,178069.0
-1277.5209180927777,171581.0
-2204.628304214333,169785.0
-2972.5485119719524,163905.0
-10708.959563692217,161326.0
-4832.483530391881,163821.0
4949.604106682498,174787.0
-12175.312748979399,156403.0
-10922.73060374154,158405.0
5837.878322443517,176486.0
Objective Value, Total Weight
-5344.640971055924,163489.0
26251.80492035084,229502.0
24952.195814003062,221289.0
23957.36079202805,210850.0
-3981.4953442859696,164735.0
585.9176867357164,167324.0
10329.096312577953,179586.0
6211.04462349473,172765.0
20305.32261146611,206624.0
19249.894165081,199617.0
15344.22679558242,188981.0
3380.1457813823363,170519.0
13547.76248115857,183313.0
22611.920627348125,207417.0
16534.89757502149,194471.0
6829.24926309468,178489.0
1486.107558043208,169185.0
8046.46127048062,179252.0
16799.948204529093,199469.0
14329.859476420184,184931.0
Objective Value, Total Weight
-7033.700891552871,157940.0
26611.32533136735,221586.0
13240.525643095956,179219.0
5796.366095039819,178830.0
5328.375801217597,171860.0
524.6403164580115,166515.0
16468.212053019262,181512.0
25414.079896007635,214359.0
17798.154985921225,191918.0
-5202.132427785225,160165.0
21351.064869738388,200755.0
20659.452555271564,195178.0
-2047.4757629600354,163646.0
-2759.994237105653,162798.0
24492.859128221346,208815.0
21647.440110616008,205659.0
19174.404596614913,193214.0
21946.711605965276,206702.0
23539.900361458684,207546.0
18400.521256411535,192743.0
Objective Value, Total Weight
30300.876777063124,222228.0
-6801.968371170078,160736.0
19570.10031923128,188993.0
10274.281858686387,176815.0
4765.275211041066,173784.0
27442.972191607463,212421.0
30166.126009089057,218355.0
21712.747941632668,194678.0
23957.398002916307,195202.0
24061.406059281348,203843.0
14929.311869272555,187895.0
14579.428554099111,185125.0
1908.7689067497267,173131.0
732.8228109187912,168508.0
-4507.93783755647,161648.0
25482.228387319512,210451.0
11091.021409395325,182161.0
25191.851225557388,206206.0
-1402.8727752431005,166524.0
-2365.56479947106,163787.0
Objective Value, Total Weight
25614.08495841126,211449.0
-7042.422004450491,158857.0
2973.4886874801014,165782.0
8117.966490409017,169852.0
24068.136272283096,206011.0
-4754.886838330422,161861.0
12853.743700375664,177355.0
21448.97313855184,201091.0
10227.789981487236,174369.0
17007.969416907406,189387.0
-29.659099659358617,164619.0
-2515.672421978088,164148.0
18060.41304513099,193358.0
21564.730271259294,205054.0
19602.912672397884,197044.0
15254.936171582172,184618.0
9221.696456685633,172441.0
16301.90074030796,185689.0
18513.337434692716,197020.0
13668.209624463168,181470.0
