Objective Value, Total Weight
37367.63660041164,202942.0
18503.623049789487,173699.0
18503.623049789487,173699.0
31989.26876798572,188665.0
33683.19440633783,192951.0
20773.457946099486,174586.0
21989.736324551224,176390.0
31499.69686744199,187188.0
36998.65165958388,200303.0
29847.65243753686,184719.0
26730.59906922243,181190.0
25735.221654146357,179574.0
34739.31285141033,195394.0
23646.580908650532,177602.0
24085.33961088484,178362.0
35265.68377825379,197970.0
34166.393606784026,194279.0
28022.33694696307,183222.0
25930.428628441732,180940.0
28640.80292636424,183702.0
Objective Value, Total Weight
25360.328315730178,195524.0
-6183.149841438368,147254.0
25360.328315730178,195524.0
22157.470643197157,182251.0
19289.956986070145,179199.0
3612.198471394222,156549.0
92.17670992814237,153571.0
15700.624022047123,172325.0
23221.467075092252,187466.0
12127.495083727,167257.0
-3066.8410496564175,149653.0
5394.391287472099,157575.0
7780.880024969083,163108.0
-6164.53276433362,148124.0
24215.52609295788,191317.0
11110.023830774502,164620.0
17093.7384681096,176176.0
7233.338182339852,160489.0
17246.062041742698,176738.0
14528.35217445952,169688.0
Objective Value, Total Weight
25090.868598119123,191149.0
-9766.262524412537,139064.0
24387.242008560366,186941.0
-6842.705710306793,142713.0
17738.712305864523,171473.0
-5370.7060884737,144985.0
22519.409789269324,181075.0
-2202.197493165586,147435.0
19607.560747103504,175499.0
15435.711117892497,169658.0
14443.421176970674,167114.0
7315.691542964894,158201.0
8784.06383359339,158877.0
3395.423729844071,152576.0
5151.705116902303,155994.0
9859.521011687757,161844.0
4951.711313477019,155200.0
20681.244656686235,178432.0
12321.352352829912,163819.0
12778.233004549402,165025.0
Objective Value, Total Weight
-13204.752011573582,140629.0
16675.719271118927,181877.0
16675.719271118927,181877.0
6309.2117398653645,161075.0
13087.557954621065,173417.0
10411.937768031406,169064.0
4033.8395643071854,160495.0
15030.877160418953,177242.0
12561.499347824894,171861.0
3070.4297042316757,157264.0
8042.666185967682,164305.0
15635.101103592955,178017.0
9098.921417803504,168124.0
-1433.6789688909776,152229.0
791.1501347321027,157186.0
-7484.639556525246,145977.0
-306.20650014208513,156175.0
8954.443245083443,165204.0
-2662.465455049125,150813.0
-2662.465455049125,150813.0
Objective Value, Total Weight
2536.3067644573166,157201.0
26841.519508014317,201132.0
2536.3067644573166,157201.0
11300.94524946023,165357.0
18214.08387921215,177219.0
14512.977924345032,169774.0
15828.09210876035,173540.0
25894.078618832515,193713.0
5540.558317564544,158569.0
19882.063313433144,178564.0
8900.444456417405,162352.0
5854.2083991516265,160547.0
25114.247231296235,189642.0
21266.817426225985,180774.0
22959.652323943214,184881.0
22201.229519811313,183362.0
23201.819779928774,187433.0
7776.042569448677,161520.0
26306.035165019624,197208.0
15062.581860435894,171795.0
Objective Value, Total Weight
27952.098484470334,192299.0
4781.694118283282,157791.0
4781.694118283282,157791.0
12747.031189959293,167003.0
7125.564260780608,161418.0
14385.60395104994,167933.0
17616.26099608661,173076.0
5014.926273867779,157844.0
15698.90948976003,170729.0
24561.47631397369,186225.0
10202.634498472413,163892.0
25392.850646104693,187710.0
10202.634498472413,163892.0
18619.892222681083,175686.0
8116.154907899443,161769.0
16023.787618934613,171813.0
27633.17664388084,191033.0
23961.703106380242,183607.0
26230.99900738406,189812.0
23203.782172467618,182143.0
Objective Value, Total Weight
-839.0875703036145,156363.0
-839.0875703036145,156363.0
23099.72370693329,189966.0
1819.2080163792998,158361.0
4679.967886082508,162075.0
6451.298214082664,163737.0
11855.405850424839,170726.0
15006.035525923828,175842.0
14583.11261353732,173973.0
3254.5106946121086,160505.0
20575.526395139663,186756.0
13324.477764910815,172826.0
10342.374673512648,168927.0
22097.781092731282,187448.0
8734.99597636005,166275.0
17582.568582367123,178765.0
19923.62143968756,185334.0
13138.75144526863,171095.0
2424.5795513251505,159924.0
10342.374673512648,168927.0
Objective Value, Total Weight
-10363.327077752736,144074.0
23091.811653084646,195688.0
557.5849511653942,156079.0
16520.8915982412,177040.0
14386.95203503978,173323.0
-9988.452735281637,144413.0
-6325.148189738218,149064.0
3889.6634249813214,159453.0
19632.681746788992,184967.0
20280.20280969009,189147.0
6717.3333373207715,163698.0
10572.0237238298,166674.0
8280.90125433178,166304.0
-2982.718223557371,150423.0
11636.695076800534,170766.0
-2683.0681812716066,153247.0
18435.325554014416,181360.0
17976.056866255298,179982.0
12386.000402986829,171806.0
-5966.009903290309,149403.0
Objective Value, Total Weight
19588.16083365807,186491.0
-16824.248044724547,138972.0
-13678.839480515599,144358.0
-8305.436315752886,147820.0
11884.271916486352,172174.0
1301.696497104189,158617.0
14597.941507092502,176235.0
17798.43554739587,184302.0
-6796.861250659567,149297.0
17391.23572962414,181127.0
-1040.6933444384777,156825.0
-2699.512655865721,154140.0
4284.8661696719355,163848.0
6506.7660333340755,164365.0
-4704.853123241599,151350.0
2773.9978408128663,160264.0
-4239.378458384395,151704.0
14786.92104679608,176684.0
-1709.3288718752156,155390.0
15942.578460407007,179353.0
Objective Value, Total Weight
19076.603593807667,187901.0
-9230.161494137603,146823.0
-639.9174078631331,156031.0
13287.635576980858,174601.0
9172.023323741072,167871.0
7139.188750110101,164134.0
-9170.92318624747,148966.0
14373.368523118552,177858.0
16452.832435079006,181220.0
1282.1541273610492,158066.0
11377.06262830508,171564.0
4410.9289252113085,161617.0
6673.385823801131,162622.0
15448.512986024492,179914.0
10285.184846643999,169517.0
-4267.739474828966,152734.0
2887.170026861044,159294.0
18403.82789319675,186483.0
17729.174128931307,184993.0
-4267.739474828966,152734.0
