Objective Value, Total Weight
-60095.6074804711,2990.0
-52972.64314439871,11387.0
-58324.55799980083,4904.0
-54730.21290898482,9301.0
-56420.47606067937,7265.0
-61376.43491722639,1552.0
-51492.5940696778,13036.0
-30833.935390961808,43807.0
-34732.10401686074,36433.0
-46882.07611708387,17651.0
-48401.002378350706,16748.0
-40017.46304802998,27119.0
-31264.970369487084,40998.0
-29442.462412471563,46023.0
-62653.33,0.0
-50400.24026230631,14838.0
-45279.99489497555,20123.0
-23787.54908454168,59702.0
-25037.044132141193,53256.0
-28190.079356294576,49936.0
Objective Value, Total Weight
-26294.13049964358,49433.0
-61575.96712866484,959.0
-60614.609217574485,2128.0
-51949.8046107369,11441.0
-52583.995713883916,10628.0
-53511.53973255612,9706.0
-55769.90757692191,6414.0
-23308.56025184541,52863.0
-51233.76373752739,12221.0
-24735.40019993497,51923.0
-32531.682281784306,46746.0
-58714.92182383979,3056.0
-54387.54983047311,7929.0
-49906.85396868622,13850.0
-49091.55022439937,17487.0
-58390.97894122097,4629.0
-62653.33,0.0
-44514.007877614626,22007.0
-57659.89098867328,6089.0
-33643.02982146706,37195.0
Objective Value, Total Weight
-59133.663280084744,3308.0
-54293.39178620892,9419.0
-56234.88523398576,6927.0
-57585.17326103969,5212.0
-52466.961605074874,10922.0
-50725.78511812199,12294.0
-60546.43977720774,2083.0
-44471.103114015874,18989.0
-42312.73890942466,21532.0
-36908.28229443605,28088.0
-40681.89795908237,24240.0
-38947.775521800635,25760.0
-30456.41568596277,40052.0
-22971.466024414738,53684.0
-49971.37967887308,15425.0
-62653.33,0.0
-48088.53305654437,18037.0
-27032.950689580466,52611.0
-27597.74066437877,47111.0
-22419.775068939955,57132.0
Objective Value, Total Weight
-58084.91902382276,4568.0
-56210.2805258853,6647.0
-59205.74670688112,3717.0
-28309.088547012754,42156.0
-29463.010845903264,40372.0
-60324.69044581054,2552.0
-50964.90592365818,12600.0
-61233.51965199621,1320.0
-42767.91083105661,21666.0
-27437.311293185136,44000.0
-38152.806626013786,27505.0
-47430.2629159848,16248.0
-39889.775980285965,24914.0
-53258.759761564594,9942.0
-55142.88671075599,8199.0
-62653.33,0.0
-49536.366107848415,13903.0
-45559.79358177663,18732.0
-26014.53488066043,45404.0
-26004.30531877262,50830.0
Objective Value, Total Weight
-55214.90789781505,8058.0
-57069.32434128048,5123.0
-60488.64355468057,2126.0
-58826.355730893156,3278.0
-43541.03739335688,21144.0
-33760.513440591676,36776.0
-53639.30309571215,9613.0
-50132.355631175145,13179.0
-40120.18997475115,26388.0
-24746.048843373428,50145.0
-21951.89756428542,53418.0
-38665.57432550483,27750.0
-46152.096078243616,19160.0
-47456.86336104313,17529.0
-48428.11468057097,15466.0
-62653.33,0.0
-18128.777916282386,57161.0
-29577.689699107737,44597.0
-27988.681897190196,49824.0
-31231.807051119133,39949.0
Objective Value, Total Weight
-57838.4448913683,5676.0
-55690.6613146608,7848.0
-59799.607796276156,2765.0
-50084.85258302883,13549.0
-54028.98132222796,8805.0
-52447.514651090736,11802.0
-45517.65147302425,19486.0
-18962.649681392155,55476.0
-47259.930056702215,16290.0
-29031.627513635627,44830.0
-17932.515414807494,61859.0
-43477.395964634095,21322.0
-27343.387983313747,50476.0
-40839.95122563494,26082.0
-35154.44881841782,30908.0
-33062.20306555285,34716.0
-42088.536734613604,23597.0
-62653.33,0.0
-32797.201660352686,41414.0
-22835.198695758343,53940.0
Objective Value, Total Weight
-59384.034244203045,3052.0
-43678.17698835989,22652.0
-56350.25951712182,6142.0
-57635.41306471969,5060.0
-58227.76473646813,3990.0
-18813.27990427465,55541.0
-45530.63434916588,20347.0
-52032.76282920589,10937.0
-50607.06169261904,12213.0
-20058.690905434443,52609.0
-54921.65338831874,9068.0
-45559.14438351785,17096.0
-60827.71538102283,1750.0
-62653.33,0.0
-41959.99272928637,24692.0
-49063.747052874314,14210.0
-55217.63122546839,7040.0
-26709.951388830028,45885.0
-25739.37649273376,51454.0
-17652.557109824513,58177.0
Objective Value, Total Weight
-26660.516950851088,49588.0
-26203.356870087548,50396.0
-24685.7551703591,51506.0
-59983.515378557015,2343.0
-51433.378285300205,14088.0
-58837.110766118545,5025.0
-52449.93204082882,12912.0
-49375.46675180577,15924.0
-45035.3584526763,21136.0
-42795.1510700942,23192.0
-40629.413001426336,29073.0
-61773.548070701705,475.0
-32903.891929835576,41498.0
-24013.543498589526,53118.0
-61499.2584758802,1424.0
-59427.72169780946,3808.0
-56757.97484183146,7186.0
-50592.50124559665,14806.0
-57662.221428550816,5650.0
-62653.33,0.0
Objective Value, Total Weight
-57400.82554922544,6288.0
-56597.01655906577,8255.0
-58887.20184285273,4192.0
-25426.59515014822,55336.0
-52076.18933167166,10613.0
-24665.332965510068,57086.0
-49261.26687608003,15096.0
-30529.33195100336,44450.0
-40164.10459550901,29533.0
-55389.674596550496,8530.0
-19862.871443528595,65716.0
-61884.47817787537,984.0
-53854.763739797454,9260.0
-46816.0818845762,18844.0
-60599.443569856565,2422.0
-50405.71738963215,12383.0
-45117.53381022939,23898.0
-29743.243639212582,48198.0
-21722.362884817907,63567.0
-37253.740318784345,32917.0
Objective Value, Total Weight
-52345.59879188068,10865.0
-53757.35645019971,8715.0
-59858.985337613,2810.0
-51267.07998772522,10989.0
-49444.44651440364,13377.0
