Objective Value, Total Weight
44980.05668347509,405265.0
44804.67214356968,404939.0
44804.67214356968,404939.0
44804.67214356968,404939.0
45479.568324820546,406777.0
47208.01174959075,409166.0
46513.62119149248,408054.0
47208.01174959075,409166.0
45479.568324820546,406777.0
46737.169674917415,408693.0
44980.05668347509,405265.0
46513.62119149248,408054.0
46513.62119149248,408054.0
41389.229047419736,403116.0
41389.229047419736,403116.0
41389.229047419736,403116.0
44804.67214356968,404939.0
41389.229047419736,403116.0
41389.229047419736,403116.0
34208.60507992795,400815.0
Objective Value, Total Weight
54881.42753849382,418190.0
53192.4089976516,414031.0
51774.61361715378,408618.0
53246.39083660609,414163.0
51970.137807662715,409089.0
52547.45757399406,410216.0
54881.42753849382,418190.0
54433.13229726668,416975.0
55122.75996672304,419878.0
52669.89063878375,410991.0
52669.89063878375,410991.0
51970.137807662715,409089.0
54228.41506254114,416218.0
54228.41506254114,416218.0
54656.85331596248,417628.0
54228.41506254114,416218.0
51774.61361715378,408618.0
53114.70306225814,413922.0
51774.61361715378,408618.0
47808.09286103252,407546.0
Objective Value, Total Weight
42700.5231476053,404482.0
42700.5231476053,404482.0
48300.511944704864,415627.0
48035.14645560202,413242.0
43319.59243353031,405226.0
48035.14645560202,413242.0
46489.091775289504,410657.0
45314.14116614411,409308.0
43319.59243353031,405226.0
44190.644124563376,406100.0
47432.17151592241,411989.0
44190.644124563376,406100.0
47432.17151592241,411989.0
44740.679584122554,408481.0
46489.091775289504,410657.0
46383.20989469311,409979.0
44553.78876458382,407534.0
44553.78876458382,407534.0
44078.194838005176,405974.0
42058.54837879131,403928.0
Objective Value, Total Weight
45549.362445768435,417967.0
45549.362445768435,417967.0
45549.362445768435,417967.0
44291.53848858393,412986.0
43688.40565541317,412170.0
43688.40565541317,412170.0
39619.00617057894,407272.0
44183.179476599966,412418.0
44183.179476599966,412418.0
42056.26882535877,409655.0
44497.99125415727,414459.0
42056.26882535877,409655.0
39538.61972374696,406818.0
42056.26882535877,409655.0
44676.64014243591,414880.0
39538.61972374696,406818.0
44183.179476599966,412418.0
38212.87568942242,406243.0
39244.21873445832,406666.0
36456.0966385231,405657.0
Objective Value, Total Weight
44862.43538242177,408285.0
46141.32280954893,411991.0
44805.15843936993,408153.0
44243.87136454566,402870.0
44243.87136454566,402870.0
44474.34277262754,403668.0
44862.43538242177,408285.0
44243.87136454566,402870.0
44679.84279348393,407717.0
44679.84279348393,407717.0
44243.87136454566,402870.0
45839.19917397277,411879.0
45229.247093384736,410159.0
45229.247093384736,410159.0
42233.73816452216,401084.0
42665.33523310779,401224.0
45118.41687503731,409944.0
42966.462005526235,402072.0
42966.462005526235,402072.0
42665.33523310779,401224.0
Objective Value, Total Weight
42266.918530989205,406057.0
42862.08208476257,406707.0
41833.97744745016,405467.0
42266.918530989205,406057.0
39178.24172500282,402523.0
42862.08208476257,406707.0
42604.570862098655,406542.0
43237.53937941766,411932.0
42941.72847097332,406878.0
42941.72847097332,406878.0
40047.66575372586,403187.0
40047.66575372586,403187.0
40047.66575372586,403187.0
41833.97744745016,405467.0
41296.4173652684,404229.0
41296.4173652684,404229.0
41296.4173652684,404229.0
39178.24172500282,402523.0
40800.85558141087,404031.0
37516.36010993761,400218.0
Objective Value, Total Weight
54479.40615616448,413670.0
54197.253914968984,411618.0
52951.777388033806,410416.0
54579.00954827038,414802.0
54988.272871221416,415454.0
54197.253914968984,411618.0
47020.45596128993,408226.0
47534.42924809683,409751.0
54197.253914968984,411618.0
54362.91743144271,413580.0
54271.17913943698,413468.0
54479.40615616448,413670.0
52951.777388033806,410416.0
47534.42924809683,409751.0
55011.62947622244,418276.0
47020.45596128993,408226.0
47020.45596128993,408226.0
47020.45596128993,408226.0
47534.42924809683,409751.0
46003.73434077331,407012.0
Objective Value, Total Weight
42114.57326273137,413273.0
40662.934809874045,406821.0
41110.1039999919,411277.0
40972.389706426184,411019.0
40972.389706426184,411019.0
40972.389706426184,411019.0
40972.389706426184,411019.0
41110.1039999919,411277.0
40972.389706426184,411019.0
37841.04070130421,406695.0
41338.50616435171,412371.0
40972.389706426184,411019.0
37841.04070130421,406695.0
33180.781459314225,405988.0
Objective Value, Total Weight
47185.04954085505,404752.0
47529.47026284429,406649.0
47185.04954085505,404752.0
41261.94922912371,402312.0
47150.10193949437,404244.0
48164.019466224476,409396.0
47185.04954085505,404752.0
40689.21926281188,400619.0
47662.22725544532,407677.0
47008.52178860479,403904.0
46390.256947061804,402916.0
48164.019466224476,409396.0
47662.22725544532,407677.0
47906.776891708374,408776.0
46390.256947061804,402916.0
46390.256947061804,402916.0
41261.94922912371,402312.0
41109.37428600615,401284.0
38696.150878069166,398726.0
41261.94922912371,402312.0
Objective Value, Total Weight
45094.13778433943,401599.0
45094.13778433943,401599.0
46322.9718610195,404344.0
40700.509080181015,397207.0
46492.88114888489,404847.0
45094.13778433943,401599.0
47271.767395697476,409678.0
47060.81828027865,407769.0
47060.81828027865,407769.0
47925.5840127127,411753.0
47390.62439159432,410125.0
47925.5840127127,411753.0
46492.88114888489,404847.0
40771.20064075285,397381.0
42159.25522094447,400200.0
46322.9718610195,404344.0
42159.25522094447,400200.0
42347.58402379672,400854.0
41823.434747827705,399910.0
40541.41294414323,396326.0
