Objective Value, Total Weight
-41308.08787020546,255909.0
80015.68332821334,431115.0
-14275.402451060654,291097.0
14114.252011804841,312178.0
-23067.4202233089,268939.0
74983.65801214031,411459.0
31978.474799455726,335022.0
44798.6472396201,352650.0
23675.75484346907,326523.0
-2761.567569606472,291864.0
-34125.242944151396,263644.0
49062.31837286375,364124.0
54175.57696233108,373148.0
68914.60738371068,401549.0
18860.727261304506,318909.0
1787.1202059322968,303218.0
76598.86693222733,426930.0
66990.85542691097,390501.0
61213.25376230996,380327.0
-25740.81519970618,268363.0
Objective Value, Total Weight
77500.65860434237,430332.0
-23648.405251008167,265767.0
69928.83596174896,398593.0
75728.02395488601,415289.0
53657.485421578924,368288.0
59923.08678171394,390403.0
57540.19770839141,385469.0
36746.98505140812,347630.0
42384.89351132704,355742.0
-17733.09036637476,275264.0
-9076.283726029797,281894.0
22708.43883802247,324183.0
20187.848574690754,314328.0
27682.341645904875,329233.0
13756.379749249143,312325.0
171.73500476719346,301532.0
6764.9304291156,310995.0
32862.032581618056,340357.0
30857.305861797708,337287.0
-2286.9137473807205,292808.0
Objective Value, Total Weight
68549.17511175579,408708.0
-29817.129934889206,264231.0
58322.02955778106,393414.0
10156.382589383516,308528.0
1640.8779717785656,301822.0
-23305.55278770742,270202.0
-17747.00922464358,277753.0
20528.673254313762,329047.0
-12935.300021617091,282605.0
-8570.821094384359,288815.0
27311.1873993153,332716.0
12330.64094490715,319671.0
55533.42144958384,383587.0
17951.327734457154,320834.0
43011.96086411009,359844.0
51533.342878772644,370860.0
52259.132521535095,380154.0
-4816.76485413895,299056.0
39301.53895224247,355062.0
-5050.820314008568,295165.0
Objective Value, Total Weight
-16503.632682118972,276803.0
72117.27570334089,419975.0
68399.12981295708,406637.0
63537.58224952326,398756.0
58689.39276844449,388959.0
21923.6125534288,328246.0
48666.990780971304,363043.0
-11930.083786674077,284616.0
45689.98733576201,358644.0
17798.57608617982,320233.0
41527.465592683235,351520.0
53564.245426076406,370544.0
38131.61855837359,349109.0
-3092.3987733122194,297279.0
357.3597794860834,309155.0
55782.46011509176,378230.0
15658.294327264593,315819.0
10686.806977962959,311745.0
7279.106119451695,309436.0
-523.7515832088538,301394.0
Objective Value, Total Weight
71646.35615836951,431596.0
-21324.437611649104,272438.0
-7780.550281383679,290836.0
5918.711919088557,298897.0
67399.13654369267,423517.0
-13400.330796794093,280302.0
43677.79692282283,361568.0
10522.486121166905,310858.0
41640.108488493366,348300.0
15661.004786238598,317880.0
65453.17839953856,399553.0
32982.35384751536,344985.0
29513.323595997528,337382.0
23782.05794105126,322939.0
50905.266677359876,369053.0
59759.204023928905,386747.0
24302.575312718633,329936.0
-20337.84100837214,274722.0
56315.97400141292,378855.0
60220.13368636952,397201.0
Objective Value, Total Weight
77041.29198783671,428004.0
-36037.6590202527,258429.0
75118.57518687128,409261.0
-19960.503525627602,277866.0
-26784.882564217725,268690.0
68080.7243785949,393331.0
-8880.019783869328,286468.0
3119.6784168492886,297206.0
9957.984572510759,306209.0
49303.02337947051,359726.0
41532.746780808026,348137.0
-6600.842894045112,295699.0
29840.698554681672,336089.0
62996.145522929204,376028.0
67256.1060488997,382606.0
20786.313493282883,319202.0
37699.26556771231,337050.0
23858.569881472737,329940.0
56658.63455405802,370805.0
51874.52369416581,362659.0
Objective Value, Total Weight
-20573.373069953464,270694.0
74962.54060790385,424489.0
34545.96250616555,337447.0
55871.11928338627,368799.0
46332.632597419084,355010.0
25775.25554271124,324186.0
41110.99238677946,345955.0
72364.41444771993,416221.0
2539.1798763227416,291537.0
-14498.385260322073,273196.0
16029.921973397257,314910.0
8130.088647961093,300607.0
-2621.2903393266024,288041.0
13047.29323153809,303164.0
69450.30429132987,403310.0
56501.38521550759,380361.0
19919.664109526202,321281.0
65485.08402104041,397379.0
59898.19768369914,383321.0
-9525.264352692175,282143.0
Objective Value, Total Weight
70665.26480778743,415935.0
-32555.609676755266,264218.0
15324.240351268498,316513.0
60207.03324885655,383400.0
-9034.501570407418,290805.0
23568.392212099163,324694.0
10339.760610631783,308206.0
67266.53127496911,404028.0
63830.15391171968,394088.0
55008.79319645575,371661.0
-2129.374392682803,298102.0
38008.8377538122,346410.0
-14290.371516845014,282061.0
4368.408732005919,300322.0
-20337.905626957945,278620.0
47018.66196805204,365153.0
30052.81079785386,340801.0
-27273.735919158556,273974.0
43464.85114222544,355323.0
49416.485196376976,369856.0
Objective Value, Total Weight
71658.27215582592,437988.0
-32574.26577429386,267263.0
66523.17071185214,405299.0
70923.37479763106,422664.0
-3213.6838080019807,297976.0
-10325.385713144788,288383.0
45020.21579413529,372170.0
25553.473774705315,340856.0
51272.27280797146,379269.0
402.31219572009286,311181.0
35782.859691587975,344421.0
24770.61202186835,329795.0
60351.07149257237,396625.0
-23203.413726624276,273864.0
40155.539995525265,364217.0
16448.49972967134,325741.0
-15989.139217754942,282736.0
4788.550776407588,315983.0
-31473.645989648416,269715.0
11533.749266933766,316073.0
Objective Value, Total Weight
70250.76774325228,410158.0
-30247.566969406384,262704.0
47147.56447509403,358740.0
59552.29078680929,372701.0
61142.247572886175,380895.0
18998.340273383714,316680.0
-6956.535240677767,289356.0
41931.352439129725,352930.0
63017.002038256265,399635.0
27808.563625664683,329288.0
21397.92019815574,329184.0
-23373.874147844326,269597.0
31982.2692012951,339829.0
12629.247983971902,310383.0
66125.54151298222,400094.0
39724.9079739516,342931.0
-18865.82833036891,282732.0
-22948.88134986814,276289.0
661.2566481581889,294321.0
9628.736245406908,307398.0
