Objective Value, Total Weight
63308.41122543486,504106.0
65430.73348994751,507085.0
59963.46894526936,498316.0
89922.87288813922,556030.0
85106.24139663123,542159.0
79773.45823330083,531686.0
35106.218168286956,468133.0
42983.24614554935,477125.0
56686.07310945832,495102.0
52954.559074403136,490245.0
45958.41654150421,480265.0
50223.97426688811,485043.0
39431.9201985026,472826.0
27579.9262688054,459099.0
69245.81464005925,513605.0
75874.80835511966,525412.0
20543.362230888102,450589.0
73471.5982493026,519502.0
8536.357205087203,436335.0
14802.617288532201,446544.0
Objective Value, Total Weight
46741.08666913945,483226.0
84598.17206726491,547341.0
51797.60786017764,489152.0
71668.6713870808,517867.0
87926.57182158635,554572.0
66751.99682911765,510916.0
58785.1874707737,499234.0
54631.98215336993,493138.0
77894.01202535222,528581.0
80183.54752430576,532914.0
21788.969639063347,453071.0
11858.900968567817,442588.0
16459.998590932228,447002.0
64482.900855608634,506356.0
27170.363796150312,458170.0
36579.225233505014,469651.0
32184.881008000113,462769.0
41098.45175353589,476310.0
7037.466627171729,439093.0
-6355.06764001376,428378.0
Objective Value, Total Weight
92067.72627997922,564430.0
9194.012725226581,437847.0
58438.32473953045,500136.0
65515.68513366056,512171.0
70677.31053227454,521373.0
80234.46636063734,538477.0
19676.78862484591,450018.0
76457.03909150464,531157.0
90128.48152377561,559454.0
52146.450921344454,490643.0
31232.027374908328,462839.0
84057.75209445716,545392.0
35039.99727902049,467995.0
43198.802994084195,479361.0
40602.93235098163,476102.0
25694.170139252557,454280.0
49760.389310910716,487622.0
61845.42318607087,507477.0
-2100.9282395136543,426370.0
15412.552047664532,444433.0
Objective Value, Total Weight
75002.99131298647,524633.0
36287.25143000705,469582.0
91193.42059075495,555197.0
78189.87303196325,528785.0
82665.80820735998,539623.0
24297.8509063127,458875.0
53044.97479710996,488851.0
46867.26309415954,483859.0
43331.9193206121,477176.0
55062.87799673574,492677.0
58454.728570507024,497330.0
86956.89508999512,544859.0
79852.11773488752,531804.0
62814.03504866187,504134.0
31392.649733563303,464809.0
67301.0307692322,510176.0
16483.956574903335,451254.0
39648.50536906044,473382.0
72120.3534086817,519245.0
11104.655183926341,440827.0
Objective Value, Total Weight
75748.25548711861,528075.0
30341.399339376134,459901.0
84188.97098878643,546950.0
60243.63585225365,499812.0
3664.0929749138886,429325.0
68495.93545570399,514055.0
80896.28128012619,540343.0
38702.045381283155,470377.0
-714.0655332895694,424210.0
9877.272080132621,434564.0
72210.93330774608,521978.0
55833.30806338589,495051.0
44828.06840956712,478495.0
33489.23897864204,462717.0
64753.37237661646,506785.0
49606.11923863157,485524.0
25505.2143557698,451792.0
53008.11629756761,490378.0
17873.6733113596,444193.0
-15976.175130067277,416156.0
Objective Value, Total Weight
57092.797636712785,498031.0
60524.02873927902,503156.0
34377.20111569855,465934.0
37599.71908910875,469867.0
42014.62848022487,475795.0
77582.64484628232,531572.0
32087.37582869362,463818.0
12986.670728206984,441434.0
53077.08918236848,491969.0
49373.701715817675,486220.0
74916.48593634984,524697.0
64373.23014169012,509154.0
20389.37792042445,448892.0
70754.89430165454,517120.0
26206.865187271615,455232.0
4895.188178200973,430465.0
17105.395528142224,445307.0
45461.34679515229,480597.0
8392.401049178094,435758.0
-30732.64824366069,426753.0
Objective Value, Total Weight
59322.72046480223,501507.0
78329.70024943713,529961.0
41191.43303092709,475444.0
29399.144298095955,460803.0
48363.68475936062,482362.0
30357.718007253483,463701.0
74700.93098657741,523441.0
54541.85554368154,492948.0
46026.53984209779,481179.0
63090.459822646924,505235.0
17323.586035978748,447177.0
71360.4844664745,517905.0
57587.50812229642,496501.0
51215.34992380801,488812.0
34336.39860304841,468521.0
88380.51392712654,544673.0
83514.71074886923,537358.0
68189.2242283118,510558.0
8719.6762722173,442433.0
17781.772564467625,451281.0
Objective Value, Total Weight
67157.97500832006,512482.0
72339.56026824808,521079.0
41178.22180097713,474605.0
25286.54598540056,458888.0
45463.29150219809,480977.0
62940.5326483557,505273.0
76690.09666643327,527113.0
80603.47116891795,533617.0
55042.867233312805,495286.0
92937.83229414176,560853.0
32816.421010361286,464507.0
61042.61464088783,503117.0
98984.5670385923,571753.0
86443.6378038685,545140.0
11609.601915231324,439209.0
50511.83463933284,488755.0
34903.13314106013,468458.0
21057.410375073086,451938.0
16277.042925446061,444801.0
-5678.079484284623,425446.0
Objective Value, Total Weight
77469.32523558557,528790.0
44992.82842681161,480879.0
93007.43968920468,560830.0
85994.9722019987,545226.0
81004.80068076483,535296.0
39592.86614420696,473650.0
70500.59096483176,517288.0
40504.85335305799,475274.0
54791.52201555786,493612.0
65538.22677955963,510323.0
33935.12515768909,466696.0
83493.54145986645,540564.0
75831.34980581084,526582.0
49100.233557323925,486968.0
72263.18363546627,520528.0
63167.833606207976,506992.0
29493.308825757238,462788.0
58837.20899059938,500054.0
21444.054236400407,452720.0
8530.841336526559,440701.0
Objective Value, Total Weight
55415.168642521836,495192.0
28741.99112817319,459154.0
66410.1398072074,511964.0
30807.057043079287,461263.0
77203.39677489444,531969.0
3139.6953666041372,430634.0
34851.77127311763,466365.0
46591.79919492325,482632.0
15942.569547460065,445032.0
68204.26578124182,515166.0
22987.960873872158,452933.0
-5179.469473339035,424922.0
8164.489787208848,436619.0
12221.696754099918,440217.0
57221.963636279805,497902.0
73355.95241471066,523523.0
41958.12957366824,475323.0
37318.27622189338,470061.0
51336.195471690386,489718.0
61203.418351964676,503404.0
