Objective Value, Total Weight
83454.63201961375,635817.0
-183531.63392603747,259633.0
34356.56387725251,550774.0
78609.34953395952,627712.0
-108909.91005883901,349002.0
-60889.33482603857,414672.0
-82550.72619509487,383129.0
-86354.29112853657,377881.0
-53554.85201528284,422360.0
-130134.61262050434,327202.0
-142550.33393020008,313387.0
-119064.66760957474,334705.0
19266.15708539146,527086.0
-12325.847645230591,493237.0
-42224.400962740765,445381.0
530.6681856247596,508577.0
-154978.56293760432,295384.0
-27583.76223236113,469892.0
-166375.12446444604,279903.0
14309.130194348516,514105.0
Objective Value, Total Weight
86967.0744513605,642063.0
-177285.32136124565,268114.0
-40501.47199848178,453937.0
-66678.86276835972,410108.0
-15305.052074705367,473810.0
24453.809693100862,537982.0
-113683.30443332775,347052.0
-89293.18354824686,378523.0
-10336.662200668012,493900.0
-125119.5348800905,330460.0
8006.852294863551,508785.0
65357.23245350493,605165.0
-143380.91215081105,313191.0
7264.672539544525,507309.0
-170923.37782454403,275443.0
55781.805965282605,585295.0
-162230.22778116353,286757.0
-157815.9302623378,293348.0
45960.93107327819,569068.0
-87274.54304412648,383058.0
Objective Value, Total Weight
-192875.85338742804,253682.0
84514.65509043587,647111.0
-52373.894447819446,434819.0
57527.59004272509,572520.0
-23531.46956157917,474954.0
72179.62094778183,624079.0
51916.31041079282,561441.0
31951.918471873156,540779.0
-134314.48634484818,323251.0
-118014.97970273218,342713.0
-217.87290018820204,499735.0
-21272.730495951953,478570.0
-72865.80060110067,406595.0
-88319.42306301324,391667.0
-97342.8013908026,369606.0
-143675.14384004276,317347.0
-154673.79548257333,301684.0
2323.9807551066624,502963.0
-57631.92013465392,423657.0
15858.911250940408,518915.0
Objective Value, Total Weight
91288.10325946519,652521.0
-189729.43700466136,255219.0
-117107.86913319933,344405.0
-144401.5166058233,309230.0
12440.940473340452,510494.0
-39595.222827359335,454851.0
-163295.24128595623,286165.0
-96884.39536072314,376035.0
-10611.50588316063,484569.0
30496.52080328972,541700.0
50373.95892446558,568510.0
71066.57515034999,593778.0
-4035.9981849213364,493155.0
-178445.4637430042,268001.0
86148.94189747784,643658.0
-69689.38071936008,410160.0
-56103.6812309135,422544.0
79836.07027029013,620689.0
-81711.7248007931,397412.0
-43058.97283320525,434311.0
Objective Value, Total Weight
-197777.28384668118,244527.0
83344.89112558216,628893.0
-41704.71418628364,444125.0
-75016.36344335799,397735.0
-9651.345209821011,473898.0
-168306.85926363443,278068.0
-188075.8012029655,255240.0
-134714.7972568206,328950.0
-149500.37449149584,301997.0
-125928.18886341236,338063.0
66354.98519365839,592487.0
-107962.81284143415,363597.0
-153802.19376528525,296551.0
69898.77629120939,602091.0
37642.06923287525,557441.0
17902.794247192447,522112.0
50418.127867760486,576813.0
27780.0019775799,543858.0
-992.3229355178773,497808.0
48604.753572985996,575381.0
Objective Value, Total Weight
-192419.0808405354,248857.0
86854.63999870804,639074.0
-84558.99105068133,383600.0
-107333.03070345405,359829.0
23375.384539417573,517955.0
4501.634417634457,507727.0
-28096.45687789924,464920.0
-124740.75651090092,330747.0
-46112.55953243282,437433.0
70899.26994774945,608589.0
39106.05636084487,556811.0
-65080.6350865633,410390.0
47098.42907508055,568683.0
-146995.89421318437,304041.0
-11767.81367871107,483229.0
-160923.6559779523,289374.0
60975.58876833657,588600.0
-165237.98759919818,281185.0
-177804.062615624,269902.0
-15882.845972396666,478479.0
Objective Value, Total Weight
82703.35770549951,639304.0
-176524.97697894205,273584.0
-2967.7527907099575,506905.0
-112597.15437480644,350507.0
74784.0952615902,630667.0
54184.86314582371,584354.0
36099.28527809458,559223.0
25420.203499283525,536107.0
-96207.5459644926,371370.0
-51842.316194396466,433402.0
-32854.03268691653,458146.0
-76115.81752443232,404538.0
-55968.037141051376,424870.0
49606.0942783308,578814.0
-127313.38978619268,332655.0
-153431.8288294382,304932.0
-162228.4687005515,288861.0
26879.352887856658,536175.0
-20008.912869560416,474967.0
-88718.59252857894,383648.0
Objective Value, Total Weight
91861.15993062477,660644.0
-189105.11434295995,251887.0
-8854.837971170782,477125.0
33506.79543605959,542627.0
73394.17554721667,611822.0
-86231.48776855355,380774.0
-134487.37067166984,320463.0
-60938.90604062041,416449.0
83240.53252654534,639755.0
-77322.29743186606,392655.0
-107645.6022669602,350615.0
59882.84025931894,575522.0
35579.82696685998,551119.0
-115353.38199518167,338823.0
60760.96492686041,580620.0
-153458.37137449323,297679.0
-148102.82581482432,305237.0
-166902.15640178067,277726.0
-177768.87125523313,264662.0
-26896.840046034078,458918.0
Objective Value, Total Weight
-171704.8346654704,269745.0
82905.36694649025,636216.0
60864.12196910719,584137.0
29517.6125381944,541910.0
79776.34128552757,627571.0
6178.200430903933,505636.0
-104773.04853575607,354139.0
-123053.25339264318,324393.0
-14049.008938280866,483342.0
-84440.73154626868,377120.0
-153175.3688940039,291325.0
-24611.60223256168,464620.0
48069.95154747763,564681.0
-66126.62058538664,407330.0
-29812.875702421297,456187.0
-55515.001663475996,431675.0
38344.82299320807,548289.0
-134767.9110710618,310431.0
-60300.33809357684,416406.0
-2278.5154156161007,493917.0
Objective Value, Total Weight
77962.54145026207,637121.0
-197168.30597581243,245678.0
-31691.619169997866,449017.0
55994.39093788236,587512.0
-159612.6287351611,287205.0
-58573.59669571882,426077.0
-132636.58797836385,318090.0
-2426.8836106914096,505077.0
-170733.95955794066,272739.0
11628.00341679866,523165.0
-16098.05685513746,475304.0
-75353.63950247911,398685.0
30713.0133030446,549676.0
42205.51074013498,577033.0
-71705.53634803265,407234.0
-187023.90376536472,257635.0
-88260.02712895686,374358.0
-11904.231776882894,484617.0
21056.396774362307,537052.0
-117479.28936690476,337036.0
