Objective Value, Total Weight
-223259.7268682067,224878.0
-379832.9305630662,57137.0
-420104.847151911,15959.0
-300644.81682566035,141100.0
-398263.437854859,39709.0
-318411.0537268402,123324.0
-328996.1273033393,108848.0
-340767.4946503363,95112.0
-240176.81110529567,204268.0
-361316.8397307107,78104.0
-283669.67799395975,162602.0
-258902.31034453487,181703.0
-434642.23000000004,0.0
-184420.93601318542,272517.0
-203707.60564625834,249192.0
-11840.271907803137,498992.0
-2637.038036990678,534069.0
-63500.19215464534,418541.0
-47533.188088644645,445560.0
-30344.220384515007,469640.0
Objective Value, Total Weight
-295536.5101366504,143000.0
-278585.85274716903,162880.0
-356263.740406226,78328.0
-177787.93787662528,275275.0
-375397.8688751788,59230.0
-315257.1345804176,123798.0
-342471.9745627186,92187.0
-236654.28132248326,210211.0
-197699.10978106986,248838.0
-396353.25853745657,37935.0
-328607.27219438297,108222.0
-414680.74528892525,18989.0
-159736.3557100441,300337.0
-216662.3766679382,227314.0
-264701.28422878514,177799.0
-3462.6621495843865,502962.0
-20876.456579625723,476703.0
-38838.31368406152,450448.0
8280.22296924179,529634.0
-434642.23000000004,0.0
Objective Value, Total Weight
-391966.97030908894,46138.0
-333112.5428044984,106514.0
-300686.48534335004,142919.0
-285368.7112399704,161234.0
-352746.72161733493,87319.0
-204522.93802532536,247275.0
-415551.7093163792,21584.0
-317390.0383482972,124297.0
-380671.8843500261,57573.0
-367699.20562602294,71194.0
-249191.64100991713,195929.0
-189285.82698465005,265200.0
-177745.42484205082,283419.0
-19758.135864320677,492498.0
-229551.64988607145,221682.0
-3818.782561770291,519778.0
-34017.183483033674,461262.0
-58295.116127949674,431296.0
-270956.07139146945,175466.0
-434642.23000000004,0.0
Objective Value, Total Weight
-326397.98751275777,111194.0
-367666.9762936635,70088.0
-172961.41011758195,288850.0
-402815.98333060835,32364.0
-414303.54833042104,20489.0
-390485.6018204854,45068.0
-346445.9602107097,95124.0
-237637.4063213718,205890.0
-310230.82740013005,128121.0
-219542.88296122215,229092.0
-50321.42740120576,435681.0
-278995.1606394041,166687.0
-200513.03572981863,249584.0
-187825.8648663212,267927.0
-253229.89833448513,181707.0
-295653.743181684,145526.0
-22236.322729208856,488979.0
-30952.992521961336,464223.0
-7182.05308611691,510168.0
-434642.23000000004,0.0
Objective Value, Total Weight
-18338.99521889328,486552.0
-336150.8094687193,105902.0
-318634.92116815556,119510.0
-299105.9920927399,142493.0
-278809.8062021818,164665.0
-384762.4969498848,52069.0
-408309.16585674515,27201.0
-353747.1980785926,82828.0
-221654.5655813655,227577.0
-243653.6408131529,208821.0
-162600.54550566454,291035.0
-182023.4425749043,273913.0
-145917.40788783983,309876.0
8137.499436106067,542570.0
-258969.0237459108,186248.0
-200637.50851753535,249267.0
-54317.72160549869,438332.0
-1909.2124018996255,510541.0
-37386.21179449861,465745.0
-431605.59111813176,3448.0
Objective Value, Total Weight
-413684.2713396547,22864.0
-383305.21446950675,53796.0
-283338.4058570589,157533.0
-368688.0890743532,67061.0
-336483.66083673824,103810.0
-263132.6394329166,183934.0
-245074.9434510746,204847.0
-398636.4244775402,36544.0
-351928.16202559276,85591.0
-204953.99812777032,247578.0
-225274.6765576718,223488.0
-20425.089218362584,479558.0
-306007.6231073799,132316.0
-180802.1818139716,272001.0
-9935.217178363004,512023.0
-166517.0057094543,301195.0
-61279.55565382936,431893.0
6814.866861941875,543490.0
-44059.42060951737,457485.0
-434642.23000000004,0.0
Objective Value, Total Weight
-402613.93066839455,33547.0
-420546.51605783426,14070.0
-353709.0350507068,84547.0
-282865.6853198852,159897.0
-388379.35329419177,48440.0
-300376.14845358516,141853.0
-241172.0368561421,199913.0
-335108.8499718931,102215.0
-206695.78729357407,240815.0
-369789.90639492316,67218.0
-158542.7261536299,303817.0
-32590.34201168397,463215.0
-323436.942408918,115824.0
-223320.59031366836,222391.0
-262466.02196398156,182235.0
-189214.58938802185,261799.0
-2145.486087304307,509162.0
-18655.466697347816,486268.0
-47641.58193729259,441269.0
-434642.23000000004,0.0
Objective Value, Total Weight
-336480.5455765791,102632.0
-366127.16374108184,71597.0
-407699.9595705943,28373.0
-383485.7011614769,52793.0
-299530.2485943845,139469.0
-394362.7497923715,41266.0
-285191.8105806901,156339.0
-419869.153726267,15444.0
-49948.171716551646,431541.0
-315946.72425076243,121159.0
-350786.7998311825,88080.0
-174227.2301733864,281793.0
-215165.2261907115,230646.0
-237649.10375804175,201041.0
-194785.92661607976,255792.0
-30726.25145024527,467734.0
2345.7027460364625,518730.0
-10191.193817506195,491073.0
-267660.98008797655,177045.0
-434642.23000000004,0.0
Objective Value, Total Weight
-407943.0780518841,27667.0
-397124.8058418535,39320.0
-322549.25910015765,115779.0
-368936.66615838854,68631.0
-351525.2352042333,86022.0
-289235.6480590218,153239.0
-383279.6071830314,52327.0
-207828.66915247496,243437.0
-38586.942141192965,460565.0
-306551.6440208106,133004.0
-50818.96977062558,434915.0
-189124.55668031547,262120.0
-337394.23419668234,96260.0
-224802.06906653533,223351.0
-174872.62192193227,284885.0
-265864.9184254894,180036.0
-2490.6120031176833,512391.0
-18509.177970906836,481745.0
-239827.8345731772,201968.0
-434642.23000000004,0.0
Objective Value, Total Weight
-400921.73709612526,34833.0
-314217.8870738526,128326.0
-291085.849692791,155807.0
-365782.27060803917,71737.0
-192995.86555249715,263684.0
-350527.1492662737,88119.0
-335635.5669610132,102557.0
-379009.7479322592,57591.0
-418267.4579067123,17603.0
-178735.7972201878,284674.0
-267700.34942439647,179370.0
-209531.43717007,242908.0
-11851.600811702316,507778.0
-159488.32871226588,306129.0
-224834.8480631623,222556.0
-238213.15012907115,207668.0
-26293.932787841302,475005.0
-46443.906667641946,444328.0
3796.187813093071,539593.0
-434642.23000000004,0.0
