Objective Value, Total Weight
-40873.51280580717,404878.0
-33808.408083887654,407736.0
-44796.6495439742,399114.0
13004.103988046292,472719.0
-8444.900144554442,441438.0
-15446.929295683862,432446.0
-27061.59656582889,416858.0
6146.983255033498,460134.0
11141.958499775035,466629.0
-55332.08497438452,386347.0
170.58422772295307,453112.0
-49783.69780715951,390494.0
-20810.072503433214,425858.0
20716.969927380444,484964.0
26886.68657416501,491227.0
32501.464859555475,504365.0
30010.41900520597,497810.0
18833.139577162685,477079.0
37167.373483794625,515116.0
-65426.41984031245,377282.0
Objective Value, Total Weight
-42497.75364646886,399001.0
2053.851229523658,453663.0
-5723.37409334199,441958.0
-32028.272940665483,412208.0
-25279.497945848387,418173.0
5838.105206305976,462853.0
17657.20224272413,484886.0
-45891.793249345385,393422.0
13615.76182562299,473329.0
-14936.356360688922,429142.0
-11598.216310164076,435178.0
-20516.97353139578,422634.0
-51737.71439639712,388539.0
-35020.58219713904,405751.0
-1887.2287946890574,447861.0
22137.710265884758,491146.0
-57975.55766747345,381398.0
-65864.77430977143,372548.0
27589.730023895856,500438.0
-73548.16940915358,365138.0
Objective Value, Total Weight
5518.666462133871,465820.0
9244.255515022087,473310.0
-25056.31540317298,423966.0
-11214.959862215677,442463.0
-13792.665503909811,436490.0
-3952.426057034638,450310.0
-29750.799225960393,419090.0
15608.483647333109,479263.0
-36434.30620052456,412079.0
-48705.385715756915,396988.0
27982.080373655655,502297.0
-21204.470513510634,428671.0
-43610.449719088734,402742.0
-1605.8266152187716,457072.0
20732.925396592822,486981.0
33754.82351252646,515455.0
24855.40746357327,496430.0
-55661.529413195094,390641.0
31116.683293931186,508675.0
-37843.25521584565,406394.0
Objective Value, Total Weight
-24504.625381983235,419926.0
8851.044859647285,459401.0
-54590.688744807034,386665.0
-27500.682363149477,414750.0
-48290.296977137914,391675.0
-14862.53152003442,430719.0
-6163.5109450917225,440965.0
-31683.492006738088,410370.0
17230.001277178177,469697.0
-955.1057045783382,447392.0
12838.619618374156,464608.0
-9460.20695412648,434268.0
-18035.57460304373,425629.0
-36913.91388067766,403404.0
3208.942907971563,452858.0
-40988.47272239486,398105.0
20609.048486146727,475846.0
-57065.28163885127,381667.0
-64550.819663161994,375749.0
23689.515040569124,481789.0
Objective Value, Total Weight
-3958.552733770106,445491.0
11403.362223120406,467259.0
-41893.00492170558,399388.0
-19629.265460685827,425082.0
-23898.89483533171,418901.0
-28062.14714736282,414042.0
-8178.566220370121,439484.0
-10297.240109845414,434603.0
-34458.19833524281,406101.0
7270.925114969839,460821.0
1970.9635547790676,453208.0
19391.3533696644,479303.0
-15142.267903872766,429998.0
-50958.62561941962,388273.0
-44843.58979448117,394126.0
23483.478020899347,484169.0
-56905.01475543843,382396.0
28756.128515698132,494084.0
14689.250682441518,471218.0
-63462.74281412456,375601.0
Objective Value, Total Weight
-1800.2891586651094,449867.0
2601.0981856886065,457829.0
-44453.19517690095,394868.0
-39971.10608554748,401318.0
-34785.70149578119,407412.0
3771.352099204785,463630.0
-6051.587635852746,443619.0
-29723.48821309139,414655.0
-23578.94559301331,421216.0
9765.43783410173,469831.0
-14402.9910625607,436172.0
-17107.385357616586,427600.0
26377.408699024585,498738.0
-50807.28707349696,386844.0
17176.478604662698,480827.0
-63195.971758947824,374838.0
-58038.4411600203,381041.0
22553.406007969053,489203.0
29855.408248974127,505575.0
-68450.69215936365,368192.0
Objective Value, Total Weight
-50073.96424151235,388723.0
-10347.189980831346,433549.0
-2077.017612081603,445167.0
-22535.206650010427,419744.0
32212.526246940484,490765.0
43180.40459347307,509764.0
5053.754143388942,448287.0
8650.490767554846,456804.0
-5374.437066836166,435405.0
13860.038470054278,460491.0
22736.98582135327,472856.0
37641.06856997532,499600.0
17137.189830571995,467397.0
27561.920397987007,479470.0
-14515.970940259635,425657.0
-38298.94914146559,401928.0
-27191.671499196556,412741.0
-32097.99411075993,406476.0
-45374.46953303844,393905.0
46290.80107189331,516014.0
Objective Value, Total Weight
20053.83713874244,476277.0
-16104.000013720477,426738.0
-26781.08825722919,415417.0
-20971.116617812193,421418.0
-8121.924954120186,436118.0
1619.6991823849967,451220.0
-43897.78243343916,393511.0
7948.748447115184,457211.0
10989.093849182245,462346.0
-3764.9850391257787,443007.0
16718.028616352938,469285.0
-35194.78677080944,407331.0
-28648.899996737367,410249.0
29525.021471513086,492461.0
25645.470250590122,484086.0
-40345.99961348006,398946.0
-56955.4811293839,379071.0
-50917.79108955001,385285.0
32593.785621209536,499590.0
-66300.18560678576,372131.0
Objective Value, Total Weight
-81.82750940741971,447166.0
-33788.38851296401,405826.0
-15298.060773510253,427432.0
13975.684738129377,465194.0
22174.016885423334,477817.0
-19558.388531375094,422978.0
7830.448883578647,459346.0
4220.17106778617,451065.0
-5274.444479672122,438676.0
17462.750149379135,471763.0
39773.67176259495,504956.0
-21267.145663062693,417897.0
-39245.26775532344,400961.0
-25983.482206517598,413271.0
-44786.88290342619,396438.0
30016.228447091067,489539.0
-9779.575629027328,432093.0
26709.917691830895,482821.0
34608.60214420536,496102.0
43575.5052962749,514827.0
Objective Value, Total Weight
-34733.41869716614,412946.0
29543.609073759057,498304.0
-2529.4432505293516,447894.0
-30472.783486980712,418632.0
-7560.398465965642,445116.0
16330.106656840653,476069.0
21580.680848146207,482069.0
4103.832142637926,456988.0
25862.593923855224,491171.0
8173.077034838032,462344.0
35990.230060998816,507300.0
11523.74578313937,469998.0
-1985.481655379408,454646.0
41699.89351828303,519129.0
45017.767629954265,527686.0
-22699.143182739965,426002.0
-16250.22106243833,432660.0
-10765.449702314334,438877.0
-40899.93615374656,406231.0
48418.434051948716,535092.0
