Objective Value, Total Weight
-6314.820000000001,0.0
-2233.271140175597,3852.0
-2233.271140175597,3852.0
-6314.820000000001,0.0
-2984.9286949405323,2682.0
-2550.040474750789,3680.0
-3569.481989676722,2667.0
-3939.7431717789586,1663.0
-4262.088701412465,1461.0
-5230.566773798979,593.0
-3760.6388608759626,2118.0
-5230.566773798979,593.0
-3692.1020489857383,2212.0
-4909.52930470066,979.0
-5702.511398518774,126.0
-4609.865384713322,1260.0
-4909.52930470066,979.0
-2550.040474750789,3680.0
-5702.511398518774,126.0
-5912.826503093868,4.0
Objective Value, Total Weight
271.63570949051064,6526.0
-6314.820000000001,0.0
271.63570949051064,6526.0
-6314.820000000001,0.0
-4325.324494296813,2159.0
-3313.244532748122,3103.0
-967.5891623680709,4947.0
-883.3286872428753,5603.0
-2476.4613836104645,3518.0
-2192.944430285218,3981.0
-3529.1266162514867,2674.0
-4685.294567539203,1803.0
-5027.9085745334,1263.0
-51.08878122508213,6360.0
-5662.13830741194,404.0
-51.08878122508213,6360.0
-4919.426816628857,1540.0
-883.3286872428753,5603.0
-5373.439917885246,800.0
-5373.439917885246,800.0
Objective Value, Total Weight
-6314.820000000001,0.0
-1823.8889220656793,4966.0
-1823.8889220656793,4966.0
-6314.820000000001,0.0
-5745.483814575159,926.0
-3570.8534399195933,3457.0
-5912.826503093868,4.0
-2648.2078252519586,3464.0
-4337.348754691362,2048.0
-1911.1628603556055,4205.0
-3812.252202831829,3021.0
-4748.971613675384,1503.0
-4503.655820557133,1954.0
-4048.201703458637,2777.0
-2362.794974797206,3650.0
-4982.780165691475,1178.0
-2362.794974797206,3650.0
-1911.1628603556055,4205.0
-4781.183098676407,1180.0
-4048.201703458637,2777.0
Objective Value, Total Weight
-2712.7247241571204,4196.0
-6314.820000000001,0.0
-2712.7247241571204,4196.0
-6314.820000000001,0.0
-3358.961627068982,2458.0
-3348.945539289971,3535.0
-4227.534811754119,1876.0
-4227.534811754119,1876.0
-5163.995233158212,1228.0
-5499.50084224374,564.0
-5163.995233158212,1228.0
-3348.945539289971,3535.0
-5878.651816707961,96.0
-3358.961627068982,2458.0
-5433.938681125463,746.0
-5433.938681125463,746.0
-5878.651816707961,96.0
-6114.103496393258,2.0
-5998.851080152602,49.0
-5998.851080152602,49.0
Objective Value, Total Weight
-6314.820000000001,0.0
-1589.8975356456476,5288.0
-1589.8975356456476,5288.0
-6314.820000000001,0.0
-2616.623344956639,4783.0
-1791.2960127296992,5088.0
-5700.151958013524,562.0
-4235.913728354466,1862.0
-3025.3469360471627,3909.0
-2841.3978075921095,4146.0
-6013.324697986581,200.0
-5177.455655119888,844.0
-3531.2401399683986,2959.0
-4068.804320119064,2174.0
-3531.2401399683986,2959.0
-4068.804320119064,2174.0
-3330.2743860788887,3296.0
-5177.455655119888,844.0
-3330.2743860788887,3296.0
-4684.065658644781,1457.0
Objective Value, Total Weight
-6314.820000000001,0.0
-2257.3019159608157,5181.0
-2257.3019159608157,5181.0
-6314.820000000001,0.0
-2759.931455130836,3819.0
-5372.711729862323,1240.0
-4756.219448078163,1556.0
-2759.931455130836,3819.0
-3454.0267067403274,3083.0
-5434.53969024837,484.0
-3454.0267067403274,3083.0
-4532.504786589834,2076.0
-4026.7282497464485,2701.0
-3924.6940136751036,2955.0
-5568.57331397912,206.0
-5912.826503093868,4.0
-4223.299033322088,2425.0
-4532.504786589834,2076.0
-4223.299033322088,2425.0
-5912.826503093868,4.0
Objective Value, Total Weight
-6314.820000000001,0.0
-1307.2682180987995,5897.0
-1307.2682180987995,5897.0
-6314.820000000001,0.0
-2636.509086807766,4804.0
-5016.284933492981,653.0
-4405.616743092133,1164.0
-2747.8352103966845,3717.0
-2851.9782669420774,3329.0
-1412.9785230027373,5796.0
-3761.2163423100365,2474.0
-5567.407155655166,190.0
-2636.509086807766,4804.0
-1412.9785230027373,5796.0
-4137.293289346282,1747.0
-4137.293289346282,1747.0
-3400.715198977052,2843.0
-5567.407155655166,190.0
-3560.8491205939563,2476.0
-3400.715198977052,2843.0
Objective Value, Total Weight
-6314.820000000001,0.0
-627.9414761974222,6287.0
-627.9414761974222,6287.0
-6314.820000000001,0.0
-2562.9513629700887,4170.0
-2933.839164007918,3249.0
-1610.6546831439227,4241.0
-1476.7359421559013,4727.0
-3460.718600245431,3130.0
-4045.862105997693,1878.0
-739.3433101500614,5229.0
-4799.096633797618,1293.0
-3791.161826028908,2515.0
-4799.096633797618,1293.0
-5958.328272328869,305.0
-3791.161826028908,2515.0
-4045.862105997693,1878.0
-940.117572105768,5227.0
-5407.519849078628,768.0
-5407.519849078628,768.0
Objective Value, Total Weight
-2472.828745083909,5592.0
-6314.820000000001,0.0
-2472.828745083909,5592.0
-6314.820000000001,0.0
-4006.7552976711822,2534.0
-4006.7552976711822,2534.0
-4127.050197958965,2382.0
-4772.5584097640885,1669.0
-5760.923195528403,444.0
-5105.3018927020485,882.0
-4920.8554457875625,1082.0
-5768.105723756367,188.0
-4473.850124928151,2111.0
-5288.763221911526,743.0
-6124.45401059407,139.0
-5489.383024610477,741.0
-4473.850124928151,2111.0
-4685.651163669844,1807.0
-4685.651163669844,1807.0
-4920.8554457875625,1082.0
Objective Value, Total Weight
-6314.820000000001,0.0
-106.5139998859795,6604.0
-106.5139998859795,6604.0
-6314.820000000001,0.0
-2249.2979111699115,3803.0
-1843.0100855697792,4472.0
-5509.995211047249,877.0
-1318.8465474949908,4771.0
-5926.691314260606,202.0
-4393.527963592931,1562.0
-2766.29762743451,3348.0
-1013.6848890934862,5384.0
-3799.7671179986764,1984.0
-4393.527963592931,1562.0
-774.5458386299506,5595.0
-5509.995211047249,877.0
-2933.8460198445664,2979.0
-3799.7671179986764,1984.0
-3193.516232207663,2735.0
-774.5458386299506,5595.0
