Objective Value, Total Weight
-5768.105723756367,188.0
4167.047935862012,8120.0
-5768.105723756367,188.0
-1015.5206227352364,3390.0
3594.688826880303,7210.0
-5007.475764227955,773.0
911.8668894600323,4494.0
-4129.00735443151,1066.0
-3305.927580201511,1156.0
238.74655241534128,3879.0
3081.0618594391835,6725.0
2175.7494776869326,5679.0
-2709.350147635557,1578.0
-1433.9453919442767,2777.0
-1699.7973030162484,2508.0
1615.4744274851719,5484.0
-2538.4417455059156,2280.0
2384.1412411345646,6329.0
238.74655241534128,3879.0
1435.31492791444,4957.0
Objective Value, Total Weight
-4216.108243312597,719.0
4322.945428281588,8275.0
4322.945428281588,8275.0
-4216.108243312597,719.0
688.8215503881429,4162.0
1489.4415974101512,4898.0
-189.42146891675293,3404.0
-3624.055722062846,1281.0
1965.6067897879966,5311.0
3802.6074280238645,7484.0
3293.3715632149406,6712.0
2466.8396479237463,5946.0
-1990.368233211947,2146.0
-2938.793241430868,1554.0
-1776.3560981966539,2667.0
4221.038265287516,7665.0
-1247.0339473890108,2855.0
2666.539364946647,6333.0
-2608.316214859975,2024.0
2748.3798258471106,6692.0
Objective Value, Total Weight
4356.923532160672,8224.0
-5738.691451168838,105.0
-5738.691451168838,105.0
4356.923532160672,8224.0
3651.8201817820263,7485.0
162.4443431992695,4211.0
2194.3095766136703,5759.0
-5246.608289188601,462.0
3192.2159273071156,7106.0
890.3344744891074,5125.0
-2131.398813422027,2082.0
-894.2849945411499,3481.0
-3293.4848856750905,1399.0
-3953.2521312417,1357.0
-1744.884234323932,2506.0
-4273.7018683197275,755.0
2489.7084848933246,6556.0
-1163.2855588650846,2994.0
2595.617129202483,6655.0
1738.6301000806989,5331.0
Objective Value, Total Weight
-5527.585974257957,545.0
4179.373005111154,8054.0
-5527.585974257957,545.0
4179.373005111154,8054.0
-2034.8054845731067,2273.0
-3283.291782886883,1792.0
-804.9821299746236,2988.0
-3745.7906477221322,1141.0
-4278.745682532925,740.0
472.4317698290406,4158.0
1203.5825177543202,5297.0
3757.0204005108926,7274.0
2744.6667344232537,6308.0
2134.8104778536326,5734.0
-5125.643036837129,549.0
-144.996662973198,3777.0
-588.3691043335266,3414.0
773.6433479195157,4765.0
1839.2688873174275,5526.0
2966.7973654342177,6527.0
Objective Value, Total Weight
-5928.983698808379,125.0
4308.801057032926,8063.0
-5928.983698808379,125.0
4308.801057032926,8063.0
-2111.1746931590296,2071.0
-3630.567869513796,1375.0
3370.143615976025,6846.0
-1390.8789425025434,2626.0
1242.579623582612,4877.0
1695.4281740565693,5665.0
2373.2903221996658,6606.0
-4066.857403168863,1126.0
2333.1781169370142,5916.0
4044.681779100618,7659.0
-5027.553975510906,784.0
-803.7226156019087,3270.0
-532.5883318441238,3355.0
39.53594050057927,4034.0
-89.85991606752395,3903.0
767.6551170577077,4446.0
Objective Value, Total Weight
4332.418076467744,7968.0
-4424.191989354302,544.0
4332.418076467744,7968.0
-4424.191989354302,544.0
1194.923347528982,4591.0
3549.011685849986,6748.0
2521.491930135946,6073.0
-3773.0141516993754,1286.0
2030.4308275893263,5351.0
569.4311850834829,4113.0
-2761.552750079046,1924.0
-3032.3881074785204,1292.0
-231.343257835003,3376.0
158.51827821199367,3747.0
-1282.0879316898381,2513.0
-1596.5645477317157,2459.0
-810.8330503063671,2954.0
3912.665351731195,7341.0
4213.060237389642,7728.0
-711.9953096675299,3063.0
Objective Value, Total Weight
4100.616054042252,7835.0
-5462.10674436723,146.0
-5462.10674436723,146.0
4100.616054042252,7835.0
2527.2629897520346,5878.0
-4532.424968105298,459.0
1692.3001763215116,5051.0
-2359.277369989585,1833.0
3428.7107855761114,6920.0
-3124.148675214892,1341.0
-98.66179991053923,3733.0
535.694611751147,4039.0
-1814.1629530286646,2296.0
3163.713531463509,6440.0
1002.3472156900316,4364.0
1299.585913893663,4685.0
-3827.1562019915746,1107.0
-1434.834225022616,2498.0
-568.9017171172482,3239.0
-1046.1373866544536,3163.0
Objective Value, Total Weight
-5939.051892841315,103.0
4308.134782730147,8232.0
4308.134782730147,8232.0
-5939.051892841315,103.0
-4644.38548041235,436.0
2343.348770828865,5922.0
-2131.128869969345,2342.0
2866.546206841548,6344.0
-1114.4386758194978,3115.0
3627.958109135341,7033.0
-2366.0734265649635,1859.0
1137.0980720289963,5100.0
853.2998867853239,4406.0
-3387.200665779963,1456.0
-433.7602937071442,3824.0
-701.4643501802257,3211.0
-3587.6313752581955,1454.0
3883.122405364621,7516.0
3893.585137360349,7948.0
220.353240797308,4038.0
Objective Value, Total Weight
-5132.743560975191,302.0
-5132.743560975191,302.0
4357.463978144506,8249.0
-3383.565380668382,1134.0
-2778.8117189956783,1704.0
-213.39620075244602,3623.0
2689.808580519949,6143.0
-749.5700786288344,3160.0
2029.4080797385159,5722.0
1579.8185083261988,5226.0
138.86567676592676,4367.0
3746.423878112888,7663.0
-1297.1955437781808,2672.0
2888.3938615312145,6919.0
942.6145209711831,4786.0
-4531.464784787579,724.0
-2076.6884490615557,2100.0
667.8887796758545,4628.0
-1868.6509179798713,2580.0
3282.2792156491123,7123.0
Objective Value, Total Weight
-4682.054046485063,609.0
4331.5575124447805,8157.0
-4682.054046485063,609.0
4331.5575124447805,8157.0
-493.0007035595472,3333.0
344.0427246822819,3909.0
3410.5101697988866,7594.0
2308.8724537263997,5700.0
-2490.815982626961,1798.0
-3784.7017616277863,815.0
1709.800246349244,5412.0
527.2743782273674,4313.0
-954.360521129006,2835.0
1047.2709452902454,4801.0
3234.8856451866295,6841.0
-3211.1800415842463,1501.0
2447.8308822675417,6338.0
1326.317743167735,5025.0
-1283.1218733127744,2611.0
2950.354635104017,6350.0
