Objective Value, Total Weight
-3103.1390099447644,2302.0
3603.126715375036,7725.0
3603.126715375036,7725.0
-3103.1390099447644,2302.0
-98.48521533200983,4699.0
-456.5799958233538,4060.0
2760.794426227958,6161.0
915.2725392265993,4905.0
3377.8835175900012,6788.0
1668.7479094128666,5857.0
2073.502081911083,5936.0
3550.5513118333038,7586.0
-1119.8392100529463,3609.0
-1119.8392100529463,3609.0
-1893.4330059543427,3100.0
-2391.0514444260043,3058.0
1190.8233487816178,5391.0
3377.8835175900012,6788.0
-2644.2138193008022,2818.0
1190.8233487816178,5391.0
Objective Value, Total Weight
-4586.242064294772,1006.0
3054.4024482220248,7188.0
-4586.242064294772,1006.0
3054.4024482220248,7188.0
-2789.6924305412576,2740.0
-1894.557828547032,3146.0
-99.65127510205821,4572.0
1996.3011035979653,5968.0
-2866.636448966804,2025.0
1775.0802617880972,5687.0
-706.3940615934425,3698.0
905.6343813776039,5058.0
-3625.3865477138306,1981.0
991.6861157293552,5425.0
2360.942704043673,7131.0
2237.250853504809,6850.0
-3708.824798004992,1657.0
-247.29815885455992,4433.0
-1462.7942151959187,3325.0
-706.3940615934425,3698.0
Objective Value, Total Weight
-4646.1877299091675,1200.0
3077.534509528048,7878.0
-4646.1877299091675,1200.0
3077.534509528048,7878.0
1781.2979204542426,6028.0
1978.7248306158472,7132.0
-3642.980594786125,1261.0
-2748.579359109289,1949.0
-2242.8755920830617,2596.0
2785.042969752003,7248.0
-1802.6576609439498,2833.0
-734.1698852679401,4093.0
-1329.8468514041997,3317.0
-2748.579359109289,1949.0
934.8973660084985,5842.0
-54.27993620838606,4811.0
-1329.8468514041997,3317.0
579.2865554509754,5488.0
-247.23588896467663,4281.0
579.2865554509754,5488.0
Objective Value, Total Weight
-4725.141908647874,1102.0
2826.5159561981745,7754.0
2826.5159561981745,7754.0
-4725.141908647874,1102.0
-2224.1973905821287,3475.0
-2452.596034281695,2538.0
1472.3502329134626,6443.0
-801.718591867384,3812.0
-3824.1797884856896,1629.0
1288.3876608750588,5753.0
-86.39150841142418,4553.0
98.52249009938714,5028.0
-3824.1797884856896,1629.0
-3198.736315423361,2033.0
-3198.736315423361,2033.0
796.8699473675279,5604.0
-1387.8630873014708,3555.0
2309.2657707475228,7224.0
-86.39150841142418,4553.0
-801.718591867384,3812.0
Objective Value, Total Weight
-5803.490907946381,334.0
3407.287916228628,8258.0
-5803.490907946381,334.0
3407.287916228628,8258.0
563.7970418026816,4792.0
-1420.1389344249292,3227.0
-3138.895275496009,1659.0
2648.1861447614683,7189.0
-4301.193795468302,1551.0
1494.2716226665434,5721.0
-2275.4096849593634,2493.0
1799.3153306855893,6545.0
-386.645445948473,4598.0
-2275.4096849593634,2493.0
-621.3569769983742,4317.0
-5309.779988233162,1024.0
2648.1861447614683,7189.0
1494.2716226665434,5721.0
-688.5092807360134,3489.0
-4602.870595622515,1164.0
Objective Value, Total Weight
-4482.390809727476,1564.0
3846.8381652674343,8361.0
3846.8381652674343,8361.0
-4482.390809727476,1564.0
-1343.2571591976202,3743.0
3231.8442120602886,7173.0
-288.4236220013381,4731.0
632.5896456897135,5782.0
-1147.5941118296132,4348.0
548.2039864124908,5132.0
-2637.6195937935554,2684.0
-2250.532326286765,3214.0
1575.891577373217,6002.0
-3852.3922321003492,1662.0
2078.4829116106102,6406.0
-566.1331325178608,4520.0
-3332.951902733028,2283.0
2920.0552512989934,6807.0
3725.9605268920077,7939.0
-2250.532326286765,3214.0
Objective Value, Total Weight
3438.0455052893158,7730.0
-2586.492686625177,2336.0
-2586.492686625177,2336.0
3438.0455052893158,7730.0
-1501.613146493526,3042.0
886.0308550783839,5106.0
-73.63666482488043,4189.0
2566.1758851940613,6434.0
1848.2602274681776,6188.0
1539.006093007887,5695.0
422.5274741235635,5085.0
-2214.7692785075315,2676.0
-734.24109246013,4021.0
-845.7141445713578,3654.0
2900.3106817710277,6961.0
1539.006093007887,5695.0
2900.3106817710277,6961.0
3225.7122343333886,7571.0
150.41158638134038,4498.0
-845.7141445713578,3654.0
Objective Value, Total Weight
3007.8497114513775,7859.0
-5038.8828980148455,799.0
-5038.8828980148455,799.0
3007.8497114513775,7859.0
1683.6156359160432,6743.0
-1497.4864083382226,3477.0
-2738.2904088383502,2803.0
83.05296790693774,4858.0
-3433.1078292588936,2004.0
-347.4360116539474,4106.0
2552.733285835264,7232.0
-1750.566982603349,2987.0
866.3118674856742,5586.0
1430.7464776628167,5910.0
-542.7870208555623,3984.0
-3874.487725756172,1391.0
-4808.191911520186,893.0
457.9158255063621,5024.0
2552.733285835264,7232.0
