Objective Value, Total Weight
-402.05706095872483,3408.0
1411.5285308199063,5126.0
-3100.606775416515,1965.0
1250.2744340576082,4779.0
3269.120103684776,7038.0
-2659.0864139553396,2035.0
531.2582732206702,4210.0
3710.3065196220523,7604.0
1726.691272718418,5482.0
-3357.4331500424505,1725.0
-1076.7782415410766,2819.0
2210.9357513036157,6029.0
-842.4053531388936,3172.0
-1877.220338344936,2271.0
-1453.3149627795983,2745.0
2122.1595413631812,5592.0
3030.8476578417267,6575.0
958.0849111346142,4556.0
53.32985215190365,3727.0
2591.9670733051053,6363.0
Objective Value, Total Weight
2940.3620339704075,7059.0
-2872.4277877318964,1843.0
195.32574160707554,4174.0
-2573.8936442907134,2124.0
-637.3914541747354,3440.0
1893.1601112396538,5883.0
-3114.6710255080716,1462.0
-1780.338164289592,2848.0
-4161.646883557644,1358.0
-1117.7910256443984,3037.0
482.1088639666332,4511.0
2745.455592372842,6499.0
3309.3038374374537,7383.0
-2034.8818492507853,2343.0
1174.9062718372415,5234.0
1516.8692205686948,5505.0
-171.42746464503944,3833.0
788.7380725113026,4867.0
3801.727542898304,7651.0
2364.9673385117085,6272.0
Objective Value, Total Weight
-548.2210537282181,3629.0
-2764.284587683438,1668.0
1710.7638456379036,5622.0
-26.879566993861772,3754.0
4149.511366970097,7990.0
3172.1557887957406,6762.0
-1678.3062731069222,2523.0
1297.8901846799654,5008.0
1441.5070352312414,5356.0
2125.7339425639457,5773.0
-1080.1790197586142,2883.0
3836.319163124166,7450.0
2468.003051935949,6118.0
221.62629367332465,3981.0
-569.1530512305444,3293.0
489.99377849012944,4399.0
833.5383063956542,4745.0
2766.721018959227,6400.0
3467.0753962676445,7203.0
-2563.007809884036,2115.0
Objective Value, Total Weight
2206.7770603012814,5807.0
626.7174274336267,4757.0
2434.862406670547,6232.0
-616.2010531731694,3559.0
3600.760256075756,7341.0
492.66765870850486,4247.0
2811.196094785196,6423.0
1790.2350313340994,5780.0
-1504.9589059664204,2661.0
1471.87277810453,5063.0
3076.4135427552274,6671.0
1747.2272100451537,5471.0
1019.8772304897511,4869.0
217.65226090409305,4006.0
3734.4408379374872,8089.0
-142.4174199558165,3766.0
-1451.022168740802,3023.0
-2051.6556307873925,2619.0
-2911.7558456579054,2399.0
-1001.3979119013147,3155.0
Objective Value, Total Weight
3429.5393811121085,7832.0
-347.8227955381053,3778.0
897.7907922854038,4730.0
-2736.025933584655,1705.0
3007.5311913611276,7018.0
-1424.002111255406,3030.0
-973.9430979870358,3238.0
96.47492783569942,4008.0
1850.60747338477,5694.0
-2260.1275566801833,2462.0
3821.4857451904136,7873.0
3345.8909604678684,7245.0
1162.377127605464,5001.0
2137.7914570379035,6039.0
1486.8759012469818,5413.0
-2531.429583738084,2030.0
-686.7244855125273,3519.0
374.0231502077604,4405.0
-1880.0326201282296,2664.0
2592.7121738633095,6384.0
Objective Value, Total Weight
-457.7738735295152,3398.0
1808.1624124871441,5403.0
-2416.1566279654126,1931.0
854.8782878128659,4590.0
3329.377631880843,7213.0
1589.582921111496,5212.0
-1055.3946126452993,2994.0
-36.31679565585,3879.0
1235.724773683406,4797.0
3679.837979475453,7657.0
-2080.209118513345,2543.0
252.22760144148197,4091.0
2674.15086966765,6369.0
-1647.2996039972086,2733.0
3024.93173151442,6772.0
2252.9670154123833,5967.0
3802.7353532592515,8097.0
-816.3166201730737,3245.0
513.098251631538,4477.0
-337.23068940354915,3601.0
Objective Value, Total Weight
2129.2599960266607,5957.0
2430.898122775886,6007.0
931.4167946785456,4644.0
-780.318444501735,3218.0
1633.3727532875746,5402.0
3427.2658745695926,7140.0
2967.927449919337,6682.0
3847.1215858864925,7818.0
3716.449235000069,7470.0
2014.03222415223,5590.0
546.121188040067,4382.0
-1394.0326466922006,3074.0
-77.61590484669068,3885.0
-427.3437238772958,3574.0
3960.966778911419,8096.0
1294.4520474181609,4984.0
3227.2590761227975,6851.0
2786.2879407112696,6373.0
186.61996878732225,4176.0
-700.4168523176768,3440.0
Objective Value, Total Weight
-2624.0589537826454,1998.0
1152.452616995669,4898.0
1801.627675903249,5567.0
1992.7958473732087,5998.0
3511.334293866954,7312.0
-105.91070219929588,3801.0
2770.5960124811554,6566.0
-2935.0728935367342,1626.0
-786.2229128133222,3129.0
-2046.991591730074,2154.0
-3363.189304723868,1380.0
-464.6235144853481,3434.0
3771.5928743519853,7717.0
2623.6109843849445,6163.0
412.1097989095888,4129.0
-1556.473421287863,2466.0
-1079.9153766006511,2866.0
1463.007489890554,5199.0
770.6994817575896,4541.0
3116.197999311593,6768.0
Objective Value, Total Weight
-2646.627198857497,1793.0
-340.22828166107865,3842.0
-1328.77542451108,2731.0
-632.7959737240844,3379.0
378.0581398461891,4414.0
2522.815035091724,6135.0
-1599.1344703516443,2483.0
3478.1878978920686,7315.0
2175.68518695654,5769.0
658.2273744854119,4687.0
1755.1550695190053,5643.0
1744.0676739126975,5275.0
3090.725218663011,6621.0
3960.0359442029403,7831.0
1026.506721098659,4776.0
-2155.1989918235213,2214.0
-411.7777099194436,3581.0
-895.8954481925248,3110.0
1214.4892917558554,5137.0
25.795255968742822,3973.0
Objective Value, Total Weight
-28.787075709064993,3900.0
2827.1245777676877,6796.0
978.9124689493419,5362.0
2414.0208253944193,6313.0
-1127.2232224860081,3033.0
-4111.604766638577,1284.0
-1941.7091204343196,2370.0
-1683.9507843837446,2752.0
2984.4792240810093,7245.0
3405.3293718503337,7610.0
-3278.0936412831115,1663.0
-2634.0932598815825,2091.0
3847.3422923888684,7853.0
-531.8264033846672,3696.0
830.8438503698935,4748.0
-872.6974907441918,3354.0
2094.041610978319,6072.0
365.0176106754052,4402.0
1810.3813570386028,5703.0
1468.1566756671182,5412.0
