Objective Value, Total Weight
-13587.52021780538,11959.0
-10710.83234348043,13631.0
-23555.75465199574,3760.0
-17012.46703052256,8617.0
2916.7792322788227,28235.0
-1623.6833913137089,22885.0
-18537.549332900293,7429.0
-12396.808437503896,12406.0
5475.981743163189,32167.0
-8521.020060766106,15705.0
-2693.546869047699,21761.0
-60.389722985775734,24682.0
-4371.247218207944,19911.0
-5910.01038454485,18186.0
1697.199500923598,26714.0
3921.003346238016,29537.0
-7321.027423211657,16822.0
-14893.655156637546,10448.0
-21497.40480254488,5174.0
-27785.547372157467,1073.0
Objective Value, Total Weight
-16502.147308532516,9320.0
5081.824141011057,33534.0
-1328.102485635769,23665.0
-2898.2990193134538,21895.0
-1794.5612821505783,22883.0
1649.7063946441995,27448.0
-10158.456684028777,14684.0
-22533.38511655602,4921.0
-23902.52140264548,3651.0
723.429312442684,25798.0
-6590.814901478392,18039.0
-25688.55352718496,1961.0
-4704.425967182302,19984.0
3847.06026115032,30775.0
-17872.371399009873,8106.0
-11342.27260052738,13608.0
-12712.106653860406,12260.0
-20054.952013145492,6424.0
-8037.871725372435,16917.0
-15210.992363395584,10126.0
Objective Value, Total Weight
-4804.021476674323,19708.0
-10032.024172605168,14751.0
-8190.045990268274,16607.0
-3954.030088339772,20637.0
-10817.318396509305,14183.0
4705.053467489619,31501.0
-13669.507558811067,11560.0
-17137.880802841588,8661.0
-15576.425846833317,9982.0
-6946.402211137389,17817.0
-875.182727760468,24233.0
2820.99521620811,28751.0
-2541.7274056591414,22310.0
155.29409670856694,25391.0
-12374.893787570276,12526.0
-18531.11108221744,7436.0
1624.1184566364973,27091.0
6381.287774145778,34869.0
-21363.007489150277,5419.0
-23509.159844477577,3869.0
Objective Value, Total Weight
-2397.5617082882673,22022.0
1447.9417049402473,26364.0
-13563.035074238665,11270.0
-8849.390641339058,15327.0
2532.8172178208188,27981.0
5539.813845473662,32533.0
-790.8310050966829,23732.0
-20240.42537767142,5860.0
-7610.140998480205,16626.0
