Objective Value, Total Weight
-10658.700950669474,15049.0
-16059.695134797686,10470.0
-9707.692183590021,16109.0
-13088.338166708014,13374.0
-5516.563664544199,20457.0
-5041.196793732677,21147.0
-3873.4061599821944,22541.0
-8052.972042351423,17582.0
-7214.906107706149,18416.0
-14228.172607911307,12262.0
-18788.32529953525,7976.0
-22358.500221465703,4501.0
-2330.517156840295,24537.0
-19833.665600393273,6995.0
-14791.023206699523,11767.0
-20942.933078864848,6106.0
-17796.142671297595,9001.0
-22963.640239535216,4079.0
-26314.242563925065,2242.0
-27434.649682604584,1052.0
Objective Value, Total Weight
-24814.014592953834,3380.0
-3424.786702145808,25510.0
-2161.892448047569,27158.0
-12324.485223778167,14835.0
-11009.964881815926,16371.0
-14533.404890572183,12593.0
-7470.826262027993,20125.0
-13741.149629653035,13651.0
-8429.77426914937,18876.0
-21937.30686137256,5659.0
-9511.213820065583,17919.0
-5839.668976071851,21849.0
-4997.081428376419,23410.0
-18498.209301071147,8531.0
-19704.6056822924,7576.0
-15720.990084850997,11423.0
-849.004183402707,29751.0
-16954.355649001194,10078.0
-23655.013112137116,4224.0
-27787.95828768809,924.0
Objective Value, Total Weight
-8585.472045998366,17927.0
-12919.042110029193,13370.0
-6538.269436633462,20667.0
-17550.404443871554,8727.0
-14816.913987190444,11496.0
-10103.38121447423,16315.0
-2071.7771260715454,25629.0
-4420.895134949264,22488.0
-3779.8011513101883,23622.0
-736.2333021186496,28648.0
-9152.517113162983,17223.0
-12307.62656588771,13979.0
-15119.737944090903,10677.0
-23627.06315892461,3968.0
-19265.716043433855,7259.0
1596.0631835077584,33037.0
-20957.553447880982,6012.0
-25424.537511460574,2574.0
-21727.809264696894,5284.0
-29116.39905073988,281.0
Objective Value, Total Weight
1139.8107608717037,33308.0
-21463.643318995877,4917.0
-8226.74867724609,18619.0
-10684.57872999843,14859.0
-3816.0291060443487,26903.0
-18292.78846513494,7784.0
-772.662247983586,30216.0
-5058.338416059116,24844.0
-16391.335505256335,9104.0
-13137.926487076715,12167.0
1818.8301649841014,35255.0
-20428.545288371537,5744.0
-19480.734069629845,6668.0
-9764.986222402466,15709.0
-7089.672556361875,19709.0
-23974.180920485924,2927.0
-14608.734295628055,10584.0
-2149.8409559108404,28777.0
-12150.349762546568,13263.0
-28321.73074162194,492.0
Objective Value, Total Weight
-15715.922492968471,9844.0
-3821.198241253267,23363.0
-15211.497853632398,10324.0
-11912.470928412182,13995.0
-2151.202716214495,25306.0
-12926.601633361453,13020.0
-6804.340073678242,19583.0
288.62042531144107,30709.0
-8820.007406338344,17363.0
-8001.138458544039,18318.0
-24864.051616846216,2859.0
-16803.849859367867,8899.0
-18005.1345961169,7911.0
-10609.26612877498,15571.0
-19422.332500807726,6446.0
-5169.288839406036,21557.0
-21833.060584408337,4918.0
-1383.801662434089,26709.0
-24168.30396600808,3531.0
-27930.96199974576,919.0
Objective Value, Total Weight
-1644.0245247453058,27090.0
-6234.9103660510955,21670.0
-16628.406029414487,10263.0
-3944.6461058255445,23702.0
-7930.847593528892,19342.0
-5610.961231169706,22462.0
-12051.613983695952,14930.0
-21763.62336135573,5743.0
-195.13678387219989,29356.0
-2432.729177465364,26030.0
-9282.393034977693,18106.0
-12930.20697782321,13799.0
1120.7595239157818,32703.0
-25330.720062704597,2598.0
-15566.905165237553,11337.0
-17947.079798646926,8729.0
-19748.953683132902,7155.0
-10049.803115622894,17345.0
-23802.169895875504,3818.0
-27911.297460178615,1220.0
Objective Value, Total Weight
-1632.921931050936,27236.0
-7956.195898279351,20009.0
-21193.532150357667,5900.0
-6008.269904615787,21616.0
-4598.365197780047,22960.0
-6390.10970818482,21086.0
-43.65479618453537,29688.0
-2842.0699455599897,24963.0
-13269.038935983048,13758.0
-16347.913036029317,10488.0
-11636.98408722721,15437.0
-17906.847760741766,9120.0
-19395.455131581333,7474.0
-14404.357892878226,12536.0
-24183.25590471131,3314.0
-10521.979514792532,16554.0
-15344.42194355333,11418.0
-22669.404748055153,4555.0
-9516.437236761238,18097.0
-28332.118391719865,388.0
Objective Value, Total Weight
-9142.365586318574,17699.0
-24988.89155652618,2962.0
-10341.715967760701,15798.0
-2708.4060618881995,25005.0
-6445.150593188613,21247.0
-24246.063607990152,3524.0
-13794.851410892777,12225.0
245.04864120453567,30655.0
-11807.894068399768,14345.0
-7683.426489487087,18919.0
-1771.370505189152,26606.0
-20393.29405264125,7754.0
-16087.28593857857,9829.0
-5017.715362613533,23486.0
-12769.065482663598,13200.0
-15434.993404464294,10568.0
-23162.81727428437,4784.0
-26970.39451616728,1716.0
-21956.29616892136,5868.0
-28848.529256942315,494.0
Objective Value, Total Weight
-6024.885193996735,21272.0
-10941.781544816575,15650.0
-3031.5354513447382,24493.0
-9763.52300701028,16628.0
-8285.729500305748,18357.0
-12979.626564497863,13291.0
-7364.995977428847,19207.0
-15265.133289279282,10944.0
-6514.405971656939,20512.0
-16203.012238307885,10102.0
-21016.04905617894,5775.0
-1684.2199017251405,25793.0
-12190.221922289766,14291.0
-18007.203945030822,8281.0
-4780.662451457385,22603.0
-23078.01395874756,4342.0
-17358.012423100135,9017.0
-19631.971103797234,6946.0
-14015.846426288717,12233.0
-25957.537653406012,2475.0
Objective Value, Total Weight
-10156.690003506843,15358.0
-12842.017542848796,12915.0
823.1131825537377,30681.0
-1432.5305079340906,27790.0
-11710.179978242893,13937.0
-8768.649819816805,17564.0
-2996.9182115544318,25858.0
-22789.647858656917,3988.0
-4886.269176617134,22166.0
-15182.455183624159,10746.0
-7552.233419555145,18739.0
-24999.776088096165,2511.0
-14204.408208551024,11745.0
-21373.592429243727,5187.0
-19020.266031630363,7221.0
-10156.690003506843,15358.0
-6080.000455991176,20664.0
-17672.27669570411,8515.0
-16477.809658328035,9563.0
-26970.536630229144,963.0
