Objective Value, Total Weight
-129.82401067430328,23437.0
4548.240008438857,29165.0
5873.916154132705,31404.0
5284.773701839949,30401.0
8814.120922481728,36569.0
-5505.980952978065,18660.0
-1504.325160004213,22307.0
575.7367214926344,24515.0
-1979.5944920404363,21766.0
6906.698929539176,32874.0
4077.4196660867747,28532.0
3023.145256298725,27540.0
2420.835970653512,26712.0
7507.874383754657,33870.0
8171.809186927596,35326.0
9289.651511648866,38001.0
6289.146308985364,32028.0
-3320.3064639132463,20451.0
1375.668679589442,25555.0
-7275.798911830047,17920.0
Objective Value, Total Weight
4982.339942414415,29980.0
8393.919588536955,35133.0
3949.7887847595703,28390.0
6216.918630191954,31385.0
9772.469961938332,38911.0
3186.16317860024,27390.0
833.0121082167607,24703.0
6825.049844441441,32322.0
-250.11554738150153,23632.0
7342.212827486765,33321.0
4594.5674201244765,29207.0
2156.591647566187,26169.0
-3817.466660817445,20419.0
8996.560461413115,36456.0
5612.492189467397,30511.0
9571.68860027763,38090.0
-2230.8628131240475,21785.0
8121.777367082461,34705.0
1190.9281909673591,25217.0
-1282.270892940207,22647.0
Objective Value, Total Weight
9473.868750854643,39993.0
8371.695069783062,35945.0
-2929.193350511923,21384.0
8000.356669582099,34904.0
857.4944348698336,25222.0
5906.94025272422,31522.0
7202.951273964092,33523.0
5409.1538462898825,30870.0
-2302.70321849858,21986.0
2050.921141934283,26488.0
-858.0974492545283,23242.0
9229.122299892304,37969.0
6548.134042623984,32465.0
4055.212649478264,29022.0
-4958.154815689966,19976.0
2837.723562610823,27426.0
1364.6229873015182,25716.0
4832.814746922551,30034.0
3562.78174702909,28387.0
-353.6997190794282,23749.0
Objective Value, Total Weight
311.9034493943618,24062.0
9604.521670354814,38067.0
3968.493487369211,28646.0
-1967.3575514674812,22175.0
-2642.481277662715,21570.0
8843.661443590092,36147.0
6712.146875828119,32409.0
831.9612234706146,24695.0
5562.049179492518,30449.0
2223.773648524606,26463.0
1247.7513911825736,25308.0
3200.000495003849,27709.0
4688.887443175197,29336.0
9278.200408539138,37193.0
8227.568813852682,34810.0
7072.359335049259,33018.0
-945.0623683052254,22968.0
5909.689594231619,31306.0
7680.6405791019715,33932.0
2793.2477936602663,27167.0
Objective Value, Total Weight
8099.147966090437,35056.0
6333.608049505703,32040.0
7857.06967852349,34280.0
6158.531362312584,31496.0
3067.034254605467,27518.0
8344.002780235794,35582.0
9265.407158915375,37887.0
2416.749884847908,26644.0
3437.2626010497843,27847.0
412.2607387840835,24479.0
9627.568623418083,38797.0
7075.7642019747,32944.0
5091.426519018372,30251.0
-79.40141611690342,23886.0
3914.7821298101408,28577.0
-3528.0069950691395,20723.0
4471.694843987818,29389.0
1384.0222498211297,25403.0
-2048.7187379944007,22090.0
8886.850176160959,36661.0
Objective Value, Total Weight
7741.638713291031,34488.0
9744.813057011925,38719.0
7174.676045043154,33129.0
4325.711032526153,29316.0
9440.712725718593,38224.0
3303.21671684998,27740.0
6655.407277621023,32192.0
1634.2074906702328,25821.0
3629.084966631759,28259.0
-2650.48527739619,21576.0
8230.690924378141,35312.0
8646.982781698207,36186.0
-1741.3470546646931,22271.0
5700.789929561375,31165.0
-977.126229161091,23378.0
5033.749488155343,30293.0
632.8424022753898,24776.0
2353.8003757935658,26577.0
5960.1364280805865,31489.0
-121.95419034574297,24033.0
Objective Value, Total Weight
3144.9954221105218,27627.0
8305.368957806852,35223.0
521.9296578146386,24598.0
1169.5768268408938,25233.0
7200.304624153927,33361.0
9026.597686909357,37075.0
5117.644612119315,30219.0
7730.521236573688,34163.0
6907.371374886272,32823.0
6187.643078477602,31810.0
2745.015253272104,27047.0
9637.757433921455,38665.0
5606.329088392988,30970.0
4514.813017805318,29345.0
-331.4156379823471,23641.0
-4040.431910312036,20451.0
2148.560148500903,26388.0
4045.8098878380115,28817.0
-2588.8650720681762,21714.0
-2076.649428692537,22287.0
Objective Value, Total Weight
-3834.36033796399,20716.0
-2025.4367235563986,22559.0
2525.562890545909,26824.0
-98.22967492247699,24351.0
9820.828496474707,39185.0
4457.287114585248,29428.0
-625.982720470507,23622.0
4953.7339494258995,30031.0
3798.0770000991324,28372.0
1577.0366897776912,25815.0
-2876.9821217005665,21150.0
8134.934864673174,34972.0
6838.351758080542,32547.0
946.460628383029,25090.0
9443.096985034543,37572.0
5907.572220724935,31098.0
3018.065231598448,27458.0
7301.973251010262,33275.0
7795.279747249522,34149.0
8833.208506770694,36070.0
Objective Value, Total Weight
45.43740208313102,23862.0
-1187.4055210328515,22758.0
5644.87422055674,30775.0
8477.98962204178,35790.0
4961.350547513961,29742.0
6925.066220250563,32725.0
9837.790043118468,38757.0
1905.4349819517447,25982.0
9136.343224523844,37180.0
-519.6666198457824,23368.0
-3113.190789934575,20862.0
-2288.8647611609777,21732.0
6127.562991971281,31531.0
-5459.48469118293,18974.0
-6588.872006457008,18090.0
1102.2273865341922,25050.0
3858.7055238014073,28326.0
7409.08591538007,33482.0
2837.5687529620045,27280.0
8070.687570314425,34728.0
Objective Value, Total Weight
5344.421042267386,30243.0
9221.017669078828,37379.0
463.3326741861456,24639.0
4056.4338226360487,28821.0
4815.6935983154835,29758.0
7596.814633780588,33748.0
1366.017091795984,25614.0
8855.466867025592,36463.0
6663.22417772311,32318.0
8459.586072999824,35603.0
-1126.89474132975,23078.0
1906.7963922609415,26271.0
2739.991364970978,26868.0
6073.2665962600295,31303.0
8200.65771160338,35259.0
3497.6018836304283,27997.0
-3286.6603683831927,21384.0
7033.201854980471,32858.0
9733.56976189521,39150.0
-77.66933539742604,24142.0
