Objective Value, Total Weight
6187.988530540257,33050.0
-10194.207924710794,15340.0
-1893.843453480702,23731.0
-17277.286980881127,8953.0
-5259.497049886308,19754.0
-21177.28293368767,5622.0
-3162.555869721953,21612.0
1914.6606780689108,27154.0
-13876.43845640781,11918.0
7908.784026127243,36700.0
41.54297210723598,25240.0
-15763.052661461203,10297.0
-12401.309287719247,14246.0
7070.642112060916,35025.0
4500.890296720885,30897.0
8679.520428021853,38616.0
-19312.090505417644,7389.0
-9010.844247310983,16970.0
-6853.36714131384,18305.0
3089.3334200723257,29069.0
Objective Value, Total Weight
-11270.754724932292,14133.0
-633.6517983036538,24549.0
-13682.786288861884,12341.0
-8437.138230052267,17143.0
-2419.5225735458444,22593.0
-9781.467132568112,15318.0
2922.5669340321983,29405.0
-17559.525972171563,9062.0
7230.510943653186,36580.0
4376.818857995204,31556.0
648.4204495847735,25850.0
-5075.3938515832415,20014.0
-6437.30004851066,18762.0
-3632.281085911927,21199.0
1756.2184345404603,27352.0
6272.773235995803,34401.0
8973.3208273001,41040.0
8219.566104124176,38358.0
-15058.559514124892,10965.0
5540.442807983949,32849.0
Objective Value, Total Weight
-6103.321981724774,19888.0
-10425.23248490115,16125.0
-2525.0944395494225,24343.0
-12905.920084754096,13707.0
-20134.08922059699,7640.0
-16146.74413970243,11193.0
-1087.6876752743847,24965.0
-4421.951709747511,20928.0
-3105.0200183883717,22688.0
2820.3659884698645,28740.0
6340.972430016758,34103.0
7419.520607224789,36435.0
-8247.120148752321,18159.0
-17814.439338475542,9705.0
-14802.682242791601,12695.0
3842.591183787161,30242.0
1272.4165281630485,26918.0
5030.841472775326,31983.0
8650.59661209755,39662.0
-22050.222568580582,6416.0
Objective Value, Total Weight
-4100.951504449731,20835.0
-7197.144031411466,17963.0
-6329.4771046214155,18964.0
-10622.325184108508,14943.0
5116.838463154629,32544.0
4333.311942037486,30963.0
1285.5225610610505,26918.0
-2609.132917701383,22414.0
7.223365495614416,25240.0
-5362.72562804749,19837.0
-1483.589757327427,24319.0
2556.47484066576,28312.0
-12195.842409303506,13687.0
3357.6535971420817,29287.0
-9143.967266150132,16163.0
6687.546469499852,34763.0
7687.740067056075,36892.0
8494.849632822537,39406.0
-13502.664965698063,12366.0
-14831.192931759455,11188.0
Objective Value, Total Weight
-14081.692268220464,12341.0
8060.4257951491745,39657.0
5902.242210390272,33542.0
-17490.0687055656,9315.0
8641.280779429064,42620.0
-15412.987265472828,10839.0
7496.808570173853,37248.0
6879.911637270161,35216.0
-11460.461461095289,14413.0
-9818.751188423157,16336.0
-7004.662022969154,18483.0
-2700.832193653143,22574.0
-572.2673144035798,25275.0
3964.671766297608,31642.0
3227.622871124244,29819.0
2033.2889548084931,28201.0
455.4841223794356,26880.0
-5059.438793116711,20044.0
-1743.457765201776,23773.0
-19563.04727185263,7271.0
Objective Value, Total Weight
7416.82239135282,36825.0
-397.30059047729446,25070.0
2058.8077724345058,27124.0
-3945.487673472955,21959.0
8237.078556336128,38849.0
-9886.84984500886,15405.0
527.0637734925331,26223.0
-5225.553981926365,20603.0
-2429.307632207012,22197.0
6988.794594447165,35569.0
-1454.6398695061944,24013.0
4652.9026244003035,31490.0
-13276.884779744698,12595.0
-6846.219618506315,18859.0
-15301.567710449952,11495.0
-11646.526777232655,13938.0
6084.240036345946,33457.0
3364.8180242790986,29713.0
-8397.819734682605,17522.0
-17019.235426995398,9751.0
Objective Value, Total Weight
5150.59120450871,32425.0
-2656.190027388948,23150.0
2246.1610408822235,28358.0
-11554.395300875858,14957.0
3696.763277242986,30662.0
6714.403097684553,35445.0
-356.5493392987337,24955.0
7780.086992644283,37905.0
-15879.539183781304,10332.0
-17052.921313485404,8749.0
-3965.8017841428373,21140.0
-5262.781028852391,19736.0
8689.901971527775,41149.0
973.7600279197723,26605.0
-6460.751092451606,18216.0
-20295.83913653942,6623.0
-14354.195437141781,11543.0
-12988.118120117888,12947.0
-22374.04052230319,4495.0
-8719.691356438958,16212.0
Objective Value, Total Weight
-7901.285173276086,17961.0
-6584.103489331053,19571.0
-9793.10500169616,17763.0
-4925.415821415223,20607.0
4244.168679530296,30851.0
-12420.727173424126,13975.0
6153.561806979909,35165.0
2500.85596189199,29124.0
-3168.7498451638603,22170.0
-691.6705597540131,25553.0
-20145.090127475014,7384.0
-17890.3051505089,9087.0
-15928.026109809449,10949.0
7372.932999255703,37934.0
850.5234095627384,27021.0
