Objective Value, Total Weight
-13240.573982767582,12950.0
-2151.3687174064617,24228.0
-4298.213548620304,21766.0
8682.465757458936,37607.0
-10255.154827275052,18261.0
-5904.213344670177,19913.0
-779.3951715462026,25206.0
3074.7960758678455,30302.0
-21284.59096377393,7836.0
-7612.878115621024,18412.0
3673.693230302699,33635.0
-19951.895600443666,9062.0
-15500.393481281044,11230.0
9608.476137423233,41348.0
-11264.605893163614,15631.0
1178.5145572567926,29042.0
-57.83525386235851,26663.0
6452.355751995543,35401.0
-18243.21464629814,10228.0
-23088.12475648498,5439.0
Objective Value, Total Weight
5522.6300588824015,34591.0
6687.721782994311,37740.0
-20140.587336753233,7990.0
-18107.219804480956,10867.0
-1810.6017718324074,26737.0
8460.830881502887,38510.0
-7980.814082363111,20305.0
-21985.65426971925,6478.0
3419.8565282678755,30274.0
-4302.056559832243,24332.0
-10295.081350777538,18784.0
9165.766777552868,42156.0
-12951.737249012243,15244.0
-5801.791710265476,21870.0
-23828.159719747302,4605.0
-14790.657777334527,13061.0
-10361.445995877591,16215.0
948.5336518858749,28839.0
-15504.47971682352,11245.0
-25659.50731862611,2326.0
Objective Value, Total Weight
5083.685428126664,32746.0
2816.369075173876,30575.0
-15286.582568106733,11882.0
6303.530661822071,33728.0
-8382.732884213743,17767.0
-21224.268572358367,7992.0
-3699.7835992874607,24873.0
-18918.045485618528,8249.0
-6740.217180303684,20148.0
-5205.031617162233,21705.0
-11011.542511832791,15235.0
-17618.739623076242,9939.0
-1420.3014468448382,26263.0
-13082.426706925486,13263.0
7020.406157327459,36041.0
1061.6995714523873,27962.0
8217.357042671654,38136.0
8872.496413220208,40986.0
-21877.30700936595,5790.0
-23493.338946297863,4112.0
Objective Value, Total Weight
19.222132943745237,26671.0
1056.9713216776581,28915.0
-14496.430156779446,13604.0
-1772.6670703964046,24219.0
-17975.35491973915,10399.0
-11454.051251609017,15808.0
-3943.8471947096114,23260.0
2700.97922764175,30622.0
-5604.299933900125,21906.0
-7046.453897930594,20243.0
6507.560902810394,35232.0
-21238.28189611507,5771.0
5495.49947381395,32832.0
-15977.413020773154,11576.0
-19788.077780121046,7608.0
8423.951242118033,37722.0
-23392.93008068978,3892.0
-9070.904908400713,18297.0
9179.547444438722,41676.0
-25141.176268550054,2485.0
Objective Value, Total Weight
6374.5252873657155,34931.0
957.8165577504624,28626.0
-6825.095051329074,21843.0
-18679.169239552295,9435.0
-10663.978105710834,15546.0
-10523.233328839699,17393.0
7703.675825224898,38108.0
-892.8452368831786,27077.0
-20711.454005598822,7789.0
-12463.381978060781,15058.0
-8671.218552766375,18356.0
-22929.108518825728,5389.0
-3166.383545911325,24805.0
2301.7926377462063,31414.0
-14108.76357911482,13428.0
-15949.932105901411,11092.0
3510.125553349222,33109.0
-4067.493255377958,22061.0
9087.751055442546,40730.0
-24460.64350954519,3692.0
Objective Value, Total Weight
-15081.124819607474,12163.0
-1135.6979089330052,24266.0
6704.5471501379,37610.0
-16738.712576673926,10874.0
-4188.912226902685,23111.0
1753.7246360309364,28860.0
-11085.209937219086,16800.0
-18019.07011397022,9320.0
2877.671148379486,31024.0
-9140.030875814708,18882.0
5847.634112192238,34348.0
1510.05935446504,26905.0
-12694.940964968191,14086.0
-365.6915771045242,25939.0
-6306.569576654307,19993.0
4786.005234241085,31385.0
-21562.177848764448,5814.0
-23861.98459602245,4375.0
-19011.156299658833,7562.0
9310.800450513394,40796.0
Objective Value, Total Weight
2697.41791925273,30422.0
-20512.841473942935,6914.0
-16061.91659656341,12821.0
-1667.0392087735236,26016.0
-17258.842796967103,10978.0
-3744.103533007401,24522.0
-7807.478976794468,18467.0
-6540.6826590503915,20848.0
-9332.903063566602,16334.0
-13703.080069035343,13727.0
-5192.8510085523085,22586.0
-11739.867636535855,15792.0
-182.35974854027882,27588.0
4025.826330893462,32052.0
5662.0308346964885,33948.0
-22544.824732072462,5043.0
8221.322841280802,37577.0
7149.895028514067,35531.0
-18661.48891339566,8398.0
9362.876426150062,40476.0
Objective Value, Total Weight
3195.364567340999,32698.0
-5644.327851428432,21311.0
8296.618079287604,38121.0
-9923.832178856268,17210.0
5251.636811831122,33145.0
1836.7169758812015,29828.0
-17500.589116269963,11873.0
8884.373822804162,40462.0
-14709.242232292469,12884.0
-3718.5671425421533,22766.0
-12232.745048578989,14575.0
-23039.50170937154,5711.0
-594.6509555956363,27236.0
6819.335535519967,35524.0
-2704.8152784427657,24922.0
-19021.756385249068,9393.0
-21290.197511000584,7820.0
-8083.183888089494,19662.0
-11098.324901292312,16087.0
9322.349139184626,43269.0
Objective Value, Total Weight
-7230.809509053768,19666.0
-14332.217313541485,12941.0
3994.002082648236,31174.0
-12611.48658147137,13522.0
-4300.899255702774,22805.0
2489.183227197769,29656.0
-2708.0686532930413,24566.0
-9005.622595697234,17520.0
